class,method,spec,code,lines,apks,src,ev,msg
app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,1,1,UtilFunctions.java:93,c1,v=1 code=PBEKEYSPEC-NOBS-01 ev=c1 obj=PBEKeySpec val='' exp='a randomized byte[]' msg='the second argument was not observed to come from a randomized source'
app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,1,1,UtilFunctions.java:95,gen,v=1 code=SECRETKEYFACTORY-NOBS-00 ev=gen obj=SecretKeyFactory val='PBKDF2WithHmacSHA1' exp='a key spec this instrumentation observed being built from key material' msg='no construction of the key spec was observed'
at.bitfire.cert4android.CertUtils,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,6,1,CertUtils.kt:22,init,v=1 code=TRUSTMANAGERFACTORY-NOBS-00 ev=init obj=TrustManagerFactory val='X509' exp='a KeyStore this instrumentation observed being loaded' msg='no loading of the KeyStore given to TrustManagerFactory.init was observed'
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-00,24,1,HttpClientFactory.kt:211,init,v=1 code=SSLCONTEXT-NOBS-00 ev=init obj=SSLContext val='TLS' exp='a KeyManager[] an observed KeyManagerFactory returned' msg='the KeyManager[] given to SSLContext.init was not observed coming from a KeyManagerFactory'
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-01,24,1,HttpClientFactory.kt:211,init,v=1 code=SSLCONTEXT-NOBS-01 ev=init obj=SSLContext val='TLS' exp='a TrustManager[] an observed TrustManagerFactory returned' msg='the TrustManager[] given to SSLContext.init was not observed coming from a TrustManagerFactory'
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-02,24,1,HttpClientFactory.kt:211,init,v=1 code=SSLCONTEXT-NOBS-02 ev=init obj=SSLContext val='TLS' exp='a SecureRandom this instrumentation observed being created' msg='the SecureRandom given to SSLContext.init was not observed coming from a randomized source'
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,215,1,Cryptography.kt:109,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,215,1,Cryptography.kt:108,c1,v=1 code=GCMPARAMETERSPEC-NOBS-00 ev=c1 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-01,215,1,Cryptography.kt:109,use,v=1 code=IVCHAINJUNCTION-NOBS-01 ev=use obj=Cipher val='AES/GCM/NoPadding' exp='a GCMParameterSpec built over an observed randomized source' msg='no preparation of the AlgorithmParameterSpec given to Cipher.init was observed'
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,encryptWithKeyStore,CipherSpec,CIPHER-NOBS-00,169,1,Cryptography.kt:78,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,CipherSpec,CIPHER-NOBS-00,2,1,CryptoUtils.java:66,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,2,1,CryptoUtils.java:66,c1,v=1 code=GCMPARAMETERSPEC-NOBS-00 ev=c1 obj=GCMParameterSpec val='' exp='a randomized byte[]' msg='the IV material was not observed to come from a randomized source'
