cls,method,spec,code,category,mechanism,root,confidence,batch
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,hardcoded_key,,high,L6
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher$1,fetch,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,iv_equals_hardcoded_key,,high,L6
com.gelakinetic.mtgfam.helpers.tcgp.MarketPriceFetcher,decrypt,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ MarketPriceFetcher$1.fetch,high,L6
org.spongycastle.jcajce.provider.asymmetric.x509.X509CertificateObject,checkSignature,SignatureSpec,SIGNATURE-NOBS-02,LEGIT_UNOBSERVABLE,pubkey_from_certificate,,medium,L6
io.treehouses.remote.ssh.Encryptor,encrypt,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,adhoc_weak_password_kdf,,medium,L6
io.treehouses.remote.ssh.Encryptor,encrypt,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,iv_derived_from_key_digest,,medium,L6
io.treehouses.remote.ssh.Encryptor,encrypt,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ Encryptor.encrypt,high,L6
io.treehouses.remote.ssh.Encryptor,encrypt,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,MISUSE,cascade,IVPARAMETERSPEC-NOBS-00 @ Encryptor.encrypt,high,L6
org.fedorahosted.freeotp.encryptor.MasterKey,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,RULE_DECISION,random_bytes_not_credited_as_key_material,,high,L6
org.fedorahosted.freeotp.encryptor.MasterKey,decrypt,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,LEGIT_UNOBSERVABLE,salt_from_storage_or_clone,,high,L6
org.fedorahosted.freeotp.encryptor.MasterKey,decrypt,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,cascade,PBEKEYSPEC-NOBS-01 @ MasterKey.decrypt,high,L6
org.fedorahosted.freeotp.encryptor.EncryptedKey,decrypt,CipherSpec,CIPHER-NOBS-00,LEGIT_UNOBSERVABLE,cascade,PBEKEYSPEC-NOBS-01 @ MasterKey.decrypt,high,L6
org.fedorahosted.freeotp.encryptor.EncryptedKey,decrypt,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,key_from_unwrap,,high,L6
ua.com.radiokot.photoprism.features.ext.key.activation.logic.ParseEnteredKeyUseCase,getIssuerPublicKey$lambda$0,X509EncodedKeySpecSpec,X509ENCODEDKEYSPEC-NOBS-00,LEGIT_UNOBSERVABLE,embedded_public_key,,high,L6
