class,method,lines,apks,specs,codes,src,apklist
okhttp3.internal.platform.Platform,newSslSocketFactory,21875,52,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",Platform.kt:168,"app.eduroam.geteduroam_2685.apk,app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,app.pachli_50.apk,be.digitalia.fosdem_2300230.apk,cc.sovellus.vrcaa_300007.apk"
okhttp3.internal.platform.Platform,platformTrustManager,7909,54,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,Platform.kt:80,"app.eduroam.geteduroam_2685.apk,app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,app.pachli_50.apk,be.digitalia.fosdem_2300230.apk,cc.sovellus.vrcaa_300007.apk"
com.google.crypto.tink.subtle.AesSiv,encryptDeterministically,3865,7,"CipherSpec,IvChainJunctionSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",AesSiv.java:119,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
com.google.crypto.tink.integration.android.AndroidKeystoreAesGcm,decryptInternal,2536,8,"GCMParameterSpecSpec,IvChainJunctionSpec","GCMPARAMETERSPEC-NOBS-01,IVCHAINJUNCTION-NOBS-01",AndroidKeystoreAesGcm.java:113,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.celzero.bravedns_619.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk"
com.google.android.vending.licensing.AESObfuscator,<init>,1816,1,"CipherSpec,IvChainJunctionSpec,IvParameterSpecSpec,PBEKeySpecSpec,SecretKeyFactorySpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-00,IVPARAMETERSPEC-NOBS-00,PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00,SECRETKEYSPEC-NOBS-00",AESObfuscator.java:63,org.totschnig.myexpenses_858.apk
okhttp3.tls.HandshakeCertificates,sslContext,1266,2,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01",HandshakeCertificates.kt:94,"co.epitre.aelf_lectures_86.apk,net.phbwt.paperwork_1003007.apk"
com.google.crypto.tink.subtle.PrfAesCmac,<init>,1180,7,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,PrfAesCmac.java:57,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,1180,7,CipherSpec,CIPHER-NOBS-00,PrfAesCmac.java:110,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
com.google.crypto.tink.subtle.AesSiv,encryptInternal,1056,1,"CipherSpec,IvChainJunctionSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",AesSiv.java:191,com.hegocre.nextcloudpasswords_38.apk
okhttp3.OkHttpClient,newSslSocketFactory,969,2,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",OkHttpClient.java:264,"com.cointrend_10304.apk,com.faltenreich.diaguard_68.apk"
com.google.crypto.tink.subtle.PrfAesCmac,compute,967,7,CipherSpec,CIPHER-NOBS-00,PrfAesCmac.java:69,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,<init>,966,6,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,InsecureNonceAesGcmJce.java:66,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,com.tk.quicksearch_65.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,926,5,"CipherSpec,IvChainJunctionSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-01",InsecureNonceAesGcmJce.java:136,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
me.diamondforge.tokn.security.KeystoreManager,decrypt,909,1,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",KeystoreManager.kt:68,me.diamondforge.tokn_19.apk
com.leekleak.trafficlight.database.CryptoManager,decrypt,800,1,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",CryptoManager.kt:61,com.leekleak.trafficlight_38.apk
com.google.android.gms.internal.ads.zzbbe,zzb,730,1,"CipherSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",com.google.android.gms:play-services-ads@@25.3.0:10,com.tananaev.passportreader_22.apk
io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,684,4,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",GCMCipher.kt:74,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,675,4,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",GCMCipher.kt:107,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,645,1,"CipherSpec,GCMParameterSpecSpec,IvChainJunctionSpec","CIPHER-NOBS-00,GCMPARAMETERSPEC-NOBS-00,IVCHAINJUNCTION-NOBS-01",Cryptography.kt:109,com.afkanerd.deku_83.apk
org.openhab.habdroid.core.connection.ConnectionFactory,<init>,642,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",ConnectionFactory.kt:172,org.openhab.habdroid_589.apk
github.paroj.dsub2000.service.RESTMusicService,<init>,605,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01",RESTMusicService.java:138,github.paroj.dsub2000_217.apk
org.openhab.habdroid.core.connection.ConnectionFactory,updateHttpClientForClientCert,605,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",ConnectionFactory.kt:324,org.openhab.habdroid_589.apk
com.google.crypto.tink.integration.android.AndroidKeystore$AeadImpl,decrypt,528,1,"GCMParameterSpecSpec,IvChainJunctionSpec","GCMPARAMETERSPEC-NOBS-01,IVCHAINJUNCTION-NOBS-01",AndroidKeystore.java:175,com.hegocre.nextcloudpasswords_38.apk
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,getParams,463,5,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-01,InsecureNonceAesGcmJce.java:159,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
org.quantumbadger.redreader.common.General,parseConfig,462,1,"CipherSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",General.kt:701,org.quantumbadger.redreader_117.apk
io.ktor.network.tls.HashesKt,P_hash,456,4,MacSpec,MAC-NOBS-00,Hashes.kt:26,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,429,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",OkHttpBuilderExtensions.kt:32,com.nononsenseapps.feeder.play_4025.apk
com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,357,5,CipherSpec,CIPHER-NOBS-00,InsecureNonceAesGcmJce.java:93,"app.maskan.chat_90.apk,app.michaelwuensch.bitbanana_79.apk,com.afkanerd.deku_83.apk,dev.dettmer.simplenotes_41.apk,org.css_apps_m3.password_manager_16.apk"
okhttp3.internal.Util,platformTrustManager,323,2,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,Util.java:640,"com.cointrend_10304.apk,com.faltenreich.diaguard_68.apk"
github.paroj.dsub2000.util.KeyStoreUtil,decrypt,285,1,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,KeyStoreUtil.java:135,github.paroj.dsub2000_217.apk
org.conscrypt.SSLParametersImpl,createDefaultX509KeyManager,278,3,KeyManagerFactorySpec,KEYMANAGERFACTORY-NOBS-00,SSLParametersImpl.java:536,"app.pachli_50.apk,ch.rmy.android.http_shortcuts_1104060001.apk,com.etesync.syncadapter_20700.apk"
com.google.crypto.tink.prf.internal.PrfAesCmac,<init>,264,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,PrfAesCmac.java:76,com.hegocre.nextcloudpasswords_38.apk
com.google.crypto.tink.prf.internal.PrfAesCmac,compute,264,1,CipherSpec,CIPHER-NOBS-00,PrfAesCmac.java:106,com.hegocre.nextcloudpasswords_38.apk
com.google.crypto.tink.aead.internal.AesGcmJceUtil,getSecretKey,264,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,AesGcmJceUtil.java:57,com.hegocre.nextcloudpasswords_38.apk
com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,264,1,CipherSpec,CIPHER-NOBS-00,PrfAesCmac.java:155,com.hegocre.nextcloudpasswords_38.apk
rocks.poopjournal.metadataremover.viewmodel.MainViewModel,<clinit>,264,1,SecureRandomSpec,SECURERANDOM-NOBS-01,MainViewModel.kt:46,rocks.poopjournal.metadataremover_20020.apk
org.spongycastle.jcajce.provider.asymmetric.x509.X509CertificateObject,checkSignature,233,1,SignatureSpec,SIGNATURE-NOBS-02,X509CertificateObject.java:805,com.tananaev.passportreader_22.apk
io.ktor.network.tls.TLSClientHandshake,generatePreSecret,228,4,KeyAgreementSpec,KEYAGREEMENT-NOBS-08,TLSClientHandshake.kt:363,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.TLSClientHandshakeKt,generateECKeys,228,4,KeyFactorySpec,KEYFACTORY-NOBS-01,TLSClientHandshake.kt:523,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.TLSClientHandshake,handleServerDone,228,4,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,TLSClientHandshake.kt:340,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.KeysKt,masterSecret,228,4,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,Keys.kt:69,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.KeysKt,clientKey,228,4,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,Keys.kt:37,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.TLSConfigBuilderKt,findTrustManager,227,4,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,TLSConfigBuilder.kt:159,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
io.ktor.network.tls.KeysKt,serverKey,225,4,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-01,Keys.kt:30,"com.mateusrodcosta.apps.vidyamusic_2200.apk,com.sapuseven.untis_29198884.apk,com.serwylo.beatgame_35.apk,com.serwylo.retrowars_70.apk"
de.duenndns.ssl.MemorizingTrustManager,getTrustManager,214,1,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,MemorizingTrustManager.java:310,org.openhab.habdroid_589.apk
com.google.crypto.tink.subtle.AesGcmJce,<init>,214,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,AesGcmJce.java:54,org.openhab.habdroid_589.apk
com.google.crypto.tink.subtle.AesSiv,decryptDeterministically,204,1,"CipherSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",AesSiv.java:143,app.maskan.chat_90.apk
de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager,getTrustManager,194,1,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,MemorizingTrustManager.java:282,de.luhmer.owncloudnewsreader_196.apk
de.lukasneugebauer.nextcloudcookbook.core.util.OkHttpClientProvider,configureTrustAllCertificates,192,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01",OkHttpClientProvider.kt:74,de.lukasneugebauer.nextcloudcookbook_62.apk
org.flyve.inventory.CryptoUtil,stringToPublicKey,184,1,"KeyFactorySpec,X509EncodedKeySpecSpec","KEYFACTORY-NOBS-01,X509ENCODEDKEYSPEC-NOBS-00",CryptoUtil.java:108,org.glpi.inventory.agent_39469.apk
com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,encryptWithKeyStore,169,1,CipherSpec,CIPHER-NOBS-00,Cryptography.kt:78,com.afkanerd.deku_83.apk
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,derivePasswordKeyEncryptionKey,153,1,"PBEKeySpecSpec,SecretKeyFactorySpec,SecretKeySpecSpec","PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00,SECRETKEYSPEC-NOBS-00",KeyGen.kt:46,dev.leonlatsch.photok_62.apk
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,unlock,153,1,"CipherSpec,IvParameterSpecSpec,SecretKeySpecSpec","CIPHER-NOBS-00,IVPARAMETERSPEC-NOBS-00,SECRETKEYSPEC-NOBS-00",PasswordVaultProtectionHandler.kt:70,dev.leonlatsch.photok_62.apk
me.diamondforge.tokn.security.KeystoreManager,encrypt,137,1,CipherSpec,CIPHER-NOBS-00,KeystoreManager.kt:55,me.diamondforge.tokn_19.apk
com.google.crypto.tink.subtle.Hkdf,computeHkdf,136,1,"MacSpec,SecretKeySpecSpec","MAC-NOBS-00,SECRETKEYSPEC-NOBS-00",Hkdf.java:59,org.css_apps_m3.password_manager_16.apk
com.nononsenseapps.feeder.crypto.AesCbcWithIntegrity,generateKey,108,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,AesCbcWithIntegrity.kt:130,com.nononsenseapps.feeder.play_4025.apk
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,96,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",HttpClient.java:79,eu.opencloud.android_9.apk
org.flyve.inventory.CryptoUtil,encrypt,92,1,CipherSpec,CIPHER-NOBS-00,CryptoUtil.java:83,org.glpi.inventory.agent_39469.apk
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,72,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",HttpClient.java:81,com.owncloud.android_48000100.apk
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,72,1,SSLContextSpec,"SSLCONTEXT-NOBS-00,SSLCONTEXT-NOBS-01,SSLCONTEXT-NOBS-02",HttpClientFactory.kt:211,ch.rmy.android.http_shortcuts_1104060001.apk
com.google.crypto.tink.subtle.AesGcmHkdfStreaming$AesGcmHkdfStreamEncrypter,encryptSegment,68,1,"CipherSpec,IvChainJunctionSpec","CIPHER-NOBS-00,IVCHAINJUNCTION-NOBS-01",AesGcmHkdfStreaming.java:234,org.css_apps_m3.password_manager_16.apk
org.fedorahosted.freeotp.encryptor.EncryptedKey,decrypt,51,1,"CipherSpec,SecretKeySpecSpec","CIPHER-NOBS-00,SECRETKEYSPEC-NOBS-00",EncryptedKey.java:51,org.fedorahosted.freeotp_48.apk
se.arctosoft.vault.encryption.Encryption,getDirHash,47,1,"PBEKeySpecSpec,SecretKeyFactorySpec","PBEKEYSPEC-NOBS-01,SECRETKEYFACTORY-NOBS-00",Encryption.java:689,se.arctosoft.vault_41.apk
dev.leonlatsch.photok.encryption.domain.crypto.KeyGen,generateVaultMasterKey,47,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,KeyGen.kt:32,dev.leonlatsch.photok_62.apk
dev.leonlatsch.photok.encryption.domain.handlers.PasswordVaultProtectionHandler,create,47,1,CipherSpec,CIPHER-NOBS-00,PasswordVaultProtectionHandler.kt:104,dev.leonlatsch.photok_62.apk
com.google.crypto.tink.subtle.AesGcmHkdfStreaming,deriveKeySpec,34,1,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,AesGcmHkdfStreaming.java:192,org.css_apps_m3.password_manager_16.apk
