cls,method,spec,code,category,mechanism,root,confidence,batch
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,copy_loses_identity_default_config_trustall_option,,medium,L4
ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
at.bitfire.cert4android.CertUtils,getTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
com.etesync.syncadapter.HttpClient$Builder,build,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-01,MISUSE,trust_all_manager_default,,high,L4
com.nononsenseapps.jsonfeed.OkHttpBuilderExtensionsKt,trustAllCerts,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
eu.opencloud.android.lib.common.network.AdvancedX509TrustManager,<init>,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
eu.opencloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
com.owncloud.android.lib.common.network.AdvancedX509TrustManager,<init>,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,custom_validating_trust_manager,,high,L4
com.owncloud.android.lib.common.http.HttpClient,getOkHttpClient,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,high,L4
net.osmtracker.layout.TLSSocketFactory,<init>,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,high,L4
