kid,r,spec,cls,m,apk,status
193,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
201,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
202,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
206,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
208,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
220,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
221,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
225,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
227,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
239,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
240,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
252,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
253,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
265,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
266,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
270,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
272,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
284,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
285,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
297,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
298,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
302,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
304,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
316,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
317,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
321,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
323,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
335,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
336,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
348,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
349,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
361,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
362,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
374,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
375,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
387,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
388,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
400,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
401,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
413,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
414,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
426,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
427,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
439,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
440,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
444,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
446,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
458,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
459,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
471,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
472,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
476,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
478,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
490,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
491,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
495,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
497,3,CipherSpec,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,app.maskan.chat_90.apk,LEGAL_REUSE_REJECTED
509,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,compute,app.maskan.chat_90.apk,GENUINE_no
510,4,CipherSpec,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,app.maskan.chat_90.apk,GENUINE_no
