kid,nobs,art,other,r,tool,timeout,apk,status,sustained,strict,sec
0,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
1,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
2,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
3,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
4,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
5,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
6,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
7,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
8,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
9,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
10,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
11,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
12,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
13,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
14,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
15,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
16,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
17,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
18,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
19,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
20,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
21,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
22,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
23,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
24,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
25,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
26,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
27,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
28,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
29,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
30,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
31,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
32,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
33,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
34,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
35,True,True,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
36,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
37,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
38,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
39,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
40,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
41,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
42,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
43,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
44,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
45,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
46,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
47,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
48,True,False,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
49,True,True,False,1.0,droidbot:bfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
50,True,False,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
51,True,True,False,1.0,droidbot:bfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
52,True,False,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
53,True,True,False,1.0,droidbot:bfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
54,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
55,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
56,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
57,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
58,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
59,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
60,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
61,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
62,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
63,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
64,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
65,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
66,True,False,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
67,True,True,False,1.0,droidbot:bfs_naive,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
68,True,False,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
69,True,True,False,1.0,droidbot:bfs_naive,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
70,True,False,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
71,True,True,False,1.0,droidbot:bfs_naive,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
72,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
73,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
74,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
75,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
76,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
77,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
78,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
79,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
80,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
81,True,True,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
82,True,False,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
83,True,True,False,1.0,droidbot:dfs_greedy,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
84,True,False,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
85,True,True,False,1.0,droidbot:dfs_greedy,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
86,True,False,False,1.0,droidbot:dfs_greedy,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False,False,False
