cls,method,spec,code,category,mechanism,root,confidence,batch
com.google.android.gms.internal.ads.zzbbe,zzb,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,hardcoded_key,,high,L5
com.google.android.gms.internal.ads.zzbbe,zzb,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
com.google.android.gms.internal.ads.zzbbe,zzb,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ zzbbe.zzb,high,L5
org.quantumbadger.redreader.common.General,parseConfig,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,key_derived_from_public_data,,high,L5
org.quantumbadger.redreader.common.General,parseConfig,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,constant_zero_iv,,high,L5
org.quantumbadger.redreader.common.General,parseConfig,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,SECRETKEYSPEC-NOBS-00 @ General.parseConfig,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,PBEKeySpecSpec,PBEKEYSPEC-NOBS-01,MISUSE,hardcoded_salt,,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeyFactorySpec,SECRETKEYFACTORY-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,SecretKeySpecSpec,SECRETKEYSPEC-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,IvParameterSpecSpec,IVPARAMETERSPEC-NOBS-00,MISUSE,hardcoded_iv,,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,IvChainJunctionSpec,IVCHAINJUNCTION-NOBS-00,MISUSE,cascade,IVPARAMETERSPEC-NOBS-00 @ AESObfuscator.<init>,high,L5
com.google.android.vending.licensing.AESObfuscator,<init>,CipherSpec,CIPHER-NOBS-00,MISUSE,cascade,PBEKEYSPEC-NOBS-01 @ AESObfuscator.<init>,high,L5
com.leekleak.trafficlight.database.CryptoManager,decrypt,CipherSpec,CIPHER-NOBS-00,RULE_DECISION,keystore_getentry_route_not_credited_oracle_names_getKey_only,,high,L5
com.leekleak.trafficlight.database.CryptoManager,decrypt,GCMParameterSpecSpec,GCMPARAMETERSPEC-NOBS-00,LEGIT_UNOBSERVABLE,iv_from_ciphertext,,high,L5
