service,alias,canonical,openssl_provider_line,in_api30_allowlist
TrustManagerFactory,X509,PKIX,90,yes
AlgorithmParameters,2.16.840.1.101.3.4.1.2,AES,95,yes
AlgorithmParameters,2.16.840.1.101.3.4.1.22,AES,96,yes
AlgorithmParameters,2.16.840.1.101.3.4.1.42,AES,97,yes
AlgorithmParameters,TDEA,DESEDE,102,yes
AlgorithmParameters,1.2.840.113549.3.7,DESEDE,103,yes
AlgorithmParameters,2.16.840.1.101.3.4.1.6,GCM,106,no
AlgorithmParameters,2.16.840.1.101.3.4.1.26,GCM,107,no
AlgorithmParameters,2.16.840.1.101.3.4.1.46,GCM,108,no
MessageDigest,SHA1,SHA-1,115,yes
MessageDigest,SHA,SHA-1,116,yes
MessageDigest,1.3.14.3.2.26,SHA-1,117,yes
MessageDigest,SHA224,SHA-224,120,yes
MessageDigest,2.16.840.1.101.3.4.2.4,SHA-224,121,yes
MessageDigest,SHA256,SHA-256,124,yes
MessageDigest,2.16.840.1.101.3.4.2.1,SHA-256,125,yes
MessageDigest,SHA384,SHA-384,128,yes
MessageDigest,2.16.840.1.101.3.4.2.2,SHA-384,129,yes
MessageDigest,SHA512,SHA-512,132,yes
MessageDigest,2.16.840.1.101.3.4.2.3,SHA-512,133,yes
MessageDigest,1.2.840.113549.2.5,MD5,137,yes
KeyGenerator,RC4,ARC4,141,yes
KeyGenerator,1.2.840.113549.3.4,ARC4,142,yes
KeyGenerator,TDEA,DESEDE,149,yes
KeyGenerator,1.3.6.1.5.5.8.1.1,HmacMD5,152,yes
KeyGenerator,HMAC-MD5,HmacMD5,153,yes
KeyGenerator,HMAC/MD5,HmacMD5,154,yes
KeyGenerator,1.2.840.113549.2.7,HmacSHA1,157,yes
KeyGenerator,1.3.6.1.5.5.8.1.2,HmacSHA1,158,yes
KeyGenerator,HMAC-SHA1,HmacSHA1,159,yes
KeyGenerator,HMAC/SHA1,HmacSHA1,160,yes
KeyGenerator,1.2.840.113549.2.8,HmacSHA224,163,yes
KeyGenerator,HMAC-SHA224,HmacSHA224,164,yes
KeyGenerator,HMAC/SHA224,HmacSHA224,165,yes
KeyGenerator,1.2.840.113549.2.9,HmacSHA256,168,yes
KeyGenerator,2.16.840.1.101.3.4.2.1,HmacSHA256,169,yes
KeyGenerator,HMAC-SHA256,HmacSHA256,170,yes
KeyGenerator,HMAC/SHA256,HmacSHA256,171,yes
KeyGenerator,1.2.840.113549.2.10,HmacSHA384,174,yes
KeyGenerator,HMAC-SHA384,HmacSHA384,175,yes
KeyGenerator,HMAC/SHA384,HmacSHA384,176,yes
