apk,arm,rep,timeout,container,n_records,record_states,state,error_message,execution_time_seconds,c2_floor10,c2_campaign_floor,cov_method,cov_act,cov_mop,mop_unique,total_method_calls,trace_steps,logcat_lines,cov_sig_distinct,viol_lines,viol_distinct,verify_lines,ev_crash,ev_anr,ev_verify_error,ev_other,ev_proc_own,ev_proc_all,ev_first_crash_s,ev_top,fails,sa_methods_reach_mop,sa_activities,sa_activities_reach_mop,sa_complete,apk_json,excluded_in_manifest
app.eduroam.geteduroam_2685.apk,ape,1,300,gh104_00,1,COMPLETED,COMPLETED,,356,270.0,255,23.69762174405436,50.0,20.054446460980035,7.0,837.0,163,5591,2276,21,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,ape,2,300,gh104_00,1,COMPLETED,COMPLETED,,362,270.0,255,20.979614949037373,50.0,16.515426497277677,7.0,741.0,177,4406,2211,14,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,ape,3,300,gh104_00,1,COMPLETED,COMPLETED,,361,270.0,255,21.97055492638732,50.0,18.058076225045372,7.0,776.0,165,7851,2247,28,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_off_llm_off,1,300,gh104_00,1,COMPLETED,COMPLETED,,364,270.0,255,21.800679501698756,50.0,17.78584392014519,7.0,770.0,196,4530,2241,14,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_off_llm_off,2,300,gh104_00,1,COMPLETED,COMPLETED,,360,270.0,255,21.77236693091733,50.0,17.876588021778584,7.0,769.0,261,4500,2246,14,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_off_llm_off,3,300,gh104_00,1,COMPLETED,COMPLETED,,365,270.0,255,21.630804077010193,50.0,17.78584392014519,7.0,764.0,213,6466,2202,21,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_on_llm_off,1,300,gh104_00,1,COMPLETED,COMPLETED,,364,270.0,255,21.7440543601359,100.0,17.78584392014519,7.0,768.0,166,5821,2232,21,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_on_llm_off,2,300,gh104_00,1,COMPLETED,COMPLETED,,364,270.0,255,21.630804077010193,100.0,17.876588021778584,7.0,764.0,205,3853,2221,14,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.eduroam.geteduroam_2685.apk,aperv:mop_on_llm_off,3,300,gh104_00,1,COMPLETED,COMPLETED,,362,270.0,255,22.253680634201586,100.0,18.421052631578945,7.0,786.0,180,8539,2238,35,5,0,0,0,0,0,0,0,,,,1102,6,4,True,ok,False
app.maskan.chat_90.apk,ape,1,300,gh104_01,1,COMPLETED,COMPLETED,,360,270.0,255,43.31178518150174,100.0,46.48541114058355,34.0,1742.0,240,5302,2302,110,33,0,0,0,0,0,0,0,,,,1508,2,2,True,ok,False
