model,strategy,prompt_id,tokens_per_second_mean,overall_score
qwen3:0.6b,batch_action_modular,001,201.19975340842166,91.45356432677205
qwen3:0.6b,standard_modular,001,200.84059861532864,96.38296500980587
qwen3:0.6b,batch_action_modular,001,200.7698926740625,96.18965822491494
qwen3:0.6b,standard_modular,001,200.739405164449,95.2973388714395
qwen3:0.6b,batch_action_modular,001,200.2949199713351,92.64331367251093
qwen3:0.6b,standard_modular,001,200.26412587896652,81.2808495106611
qwen3:0.6b,standard_modular,001,200.07344438986297,87.34291977893953
qwen3:0.6b,batch_action_modular,001,200.02438008800556,95.24833998499214
qwen3:0.6b,standard_modular,001,200.00673252493965,89.33406935198646
qwen3:0.6b,standard_modular,001,199.94239401084502,95.10416894087116
qwen3:0.6b,batch_action_modular,001,199.91486286217147,87.43279689261904
qwen3:0.6b,batch_action_modular,001,199.8867182931649,80.88433179643698
qwen3:0.6b,batch_action_modular,001,199.84340497413567,89.69081253228191
qwen3:0.6b,standard_modular,001,199.65415862808808,92.89228383059617
qwen3:0.6b,standard_modular,001,199.60896935876465,95.47685359342096
