model,strategy,prompt_id,run_number,temperature,top_p,max_tokens,top_k,parsing_success,error_occurred,timeout_occurred,actions_count,error_type,total_duration_ms,generation_latency_ms,tokens_per_second,input_tokens,output_tokens,input_output_ratio,response_length_chars,explanation_quality_score,load_duration_ms,input_tokens_duration_ms,output_tokens_duration_ms
qwen3:0.6b,standard_modular,001,1,0.2,0.9,500,0,True,False,False,1,,1140.023298,1097.6708219999998,202.17452281742172,286,220,0.7692307692307693,1025,0.825,34.858947,9.502061,1088.168761
qwen3:0.6b,standard_modular,001,2,0.2,0.9,500,0,True,False,False,1,,1217.860112,1176.452662,200.25196682239167,286,233,0.8146853146853147,1125,0.825,33.390254,12.918522,1163.53414
qwen3:0.6b,standard_modular,001,3,0.2,0.9,500,0,True,False,False,1,,1230.997619,1190.320936,191.96294833086193,286,220,0.7692307692307693,1030,0.825,32.715652,44.26644,1146.054496
qwen3:0.6b,standard_modular,001,4,0.2,0.9,500,0,True,False,False,1,,2332.874539,2290.278104,199.4085569433067,286,454,1.5874125874125875,2058,0.825,33.387158,13.545315,2276.732789
qwen3:0.6b,standard_modular,001,5,0.2,0.9,500,0,True,False,False,1,,1195.261364,1154.873335,197.45660618920883,286,226,0.7902097902097902,1085,0.825,32.227219,10.318061,1144.555274
qwen3:0.6b,standard_modular,001,6,0.2,0.9,500,0,True,False,False,1,,1462.107458,1421.264212,195.33282337151604,286,272,0.951048951048951,1325,0.825,33.439747,28.769109,1392.495103
qwen3:0.6b,standard_modular,001,7,0.2,0.9,500,0,True,False,False,1,,1336.623027,1295.8024560000001,194.37040712144008,286,249,0.8706293706293706,1267,0.825,33.416813,14.743247,1281.059209
qwen3:0.6b,standard_modular,001,8,0.2,0.9,500,0,True,False,False,1,,1710.491824,1684.4830789999999,195.5135561837069,286,326,1.1398601398601398,1614,1.0,18.117316,17.079517,1667.403562
qwen3:0.6b,standard_modular,001,9,0.2,0.9,500,0,True,False,False,1,,1318.888516,1278.1309709999998,197.89708133674375,286,250,0.8741258741258742,1259,0.825,32.897946,14.848065,1263.282906
qwen3:0.6b,standard_modular,001,10,0.2,0.9,500,0,True,False,False,1,,1190.02341,1147.6559269999998,201.3878600906761,286,227,0.7937062937062938,1144,0.825,33.443524,20.477755,1127.178172
qwen3:0.6b,standard_modular,001,1,0.2,0.9,500,40,True,False,False,1,,1357.513714,1316.829195,201.30651508781918,286,262,0.916083916083916,1287,0.825,32.668864,15.331328,1301.497867
qwen3:0.6b,standard_modular,001,2,0.2,0.9,500,40,True,False,False,2,,2416.78614,2376.855406,202.37151789759966,286,478,1.6713286713286712,2329,0.825,32.165713,14.862943,2361.992463
qwen3:0.6b,standard_modular,001,3,0.2,0.9,500,40,True,False,False,2,,2152.068851,2112.162644,197.35857724606845,286,415,1.451048951048951,2016,0.7374999999999999,31.973709,9.391101,2102.771543
qwen3:0.6b,standard_modular,001,4,0.2,0.9,500,40,True,False,False,1,,1267.985051,1228.3757540000001,200.4289213559052,286,243,0.8496503496503497,1236,0.825,31.947842,15.975875,1212.399879
qwen3:0.6b,standard_modular,001,5,0.2,0.9,500,40,True,False,False,1,,1431.286672,1391.0058270000002,202.73709937003713,286,279,0.9755244755244755,1331,1.0,32.555408,14.839349,1376.166478
qwen3:0.6b,standard_modular,001,6,0.2,0.9,500,40,True,False,False,1,,2077.868571,2037.988333,203.33799725387394,286,412,1.4405594405594406,2045,0.825,32.152337,11.8053,2026.183033
qwen3:0.6b,standard_modular,001,7,0.2,0.9,500,40,True,False,False,1,,2503.342874,2462.636596,196.19179705174983,286,480,1.6783216783216783,2167,0.825,32.678451,16.051126,2446.58547
qwen3:0.6b,standard_modular,001,8,0.2,0.9,500,40,True,False,False,2,,2107.301763,2077.573964,197.5392671333862,286,407,1.4230769230769231,1951,0.7374999999999999,20.46519,17.224111,2060.349853
qwen3:0.6b,standard_modular,001,9,0.2,0.9,500,40,True,False,False,1,,1259.415388,1230.9229699999999,201.8412771966354,286,245,0.8566433566433567,1257,0.825,20.466102,17.097912,1213.825058
qwen3:0.6b,standard_modular,001,10,0.2,0.9,500,40,True,False,False,1,,1486.277689,1443.406804,196.31097051537526,286,280,0.9790209790209791,1378,0.825,34.353293,17.098334,1426.30847
qwen3:0.6b,standard_modular,001,1,0.2,0.9,800,0,True,False,False,1,,4164.153944,4123.605647,194.71003719683597,286,800,2.797202797202797,4024,0.1,32.841737,14.931993,4108.673654
