model,strategy,prompt_id,explanation_quality_score_mean,overall_score
llama3.2:1b,standard_modular,001,1.0,99.52123041209128
llama3.2:1b,batch_action_modular,001,0.9825,98.99376026070018
llama3.2:1b,batch_action_modular,001,0.9825,98.99219893152303
llama3.2:1b,batch_action_modular,001,0.9825,99.00646719335353
llama3.2:1b,standard_modular,001,0.9825,98.99425674058992
llama3.2:1b,standard_modular,001,0.9825,98.99881743310155
llama3.2:1b,batch_action_modular,001,0.965,98.64332042030053
llama3.2:1b,standard_modular,001,0.965,98.63575823945769
llama3.2:1b,batch_action_modular,001,0.965,98.60772656571694
llama3.2:1b,standard_modular,001,0.965,98.5897709538624
llama3.2:1b,standard_modular,001,0.9475,98.27624556258084
llama3.2:1b,batch_action_modular,001,0.9475,97.83723663373466
llama3.2:1b,standard_modular,001,0.93,97.25003891057206
llama3.2:1b,standard_modular,001,0.895,97.00538901006963
llama3.2:1b,batch_action_modular,001,0.895,96.88375491509586
