model,strategy,prompt_id,overall_success_rate,overall_score
llama3.2:1b,standard_modular,001,1.0,99.52123041209128
llama3.2:1b,batch_action_modular,001,1.0,93.63465760750191
qwen3:0.6b,batch_action_modular,001,1.0,95.24833998499214
llama3.2:1b,standard_modular,001,1.0,95.15490138245657
qwen3:0.6b,standard_modular,001,1.0,95.10416894087116
llama3.2:1b,batch_action_modular,001,1.0,99.00646719335353
llama3.2:1b,batch_action_modular,001,1.0,94.93284933941933
qwen3:0.6b,standard_modular,001,1.0,94.90895859766185
qwen3:0.6b,batch_action_modular,001,1.0,94.58541904797059
llama3.2:1b,standard_modular,001,1.0,94.57628854410515
llama3.2:1b,batch_action_modular,001,1.0,94.518206573811
llama3.2:1b,batch_action_modular,001,1.0,94.46178769843668
llama3.2:1b,standard_modular,001,1.0,93.88679198217008
llama3.2:1b,batch_action_modular,001,1.0,93.58113592876117
llama3.2:1b,batch_action_modular,001,1.0,95.35948271335603
