model,strategy,prompt_id,temperature,top_p,max_tokens,top_k,run_number_mean,run_number_median,run_number_min,run_number_max,run_number_std_dev,total_duration_ms_mean,total_duration_ms_median,total_duration_ms_min,total_duration_ms_max,total_duration_ms_std_dev,load_duration_ms_mean,load_duration_ms_median,load_duration_ms_min,load_duration_ms_max,load_duration_ms_std_dev,input_tokens_mean,input_tokens_median,input_tokens_min,input_tokens_max,input_tokens_std_dev,input_tokens_duration_ms_mean,input_tokens_duration_ms_median,input_tokens_duration_ms_min,input_tokens_duration_ms_max,input_tokens_duration_ms_std_dev,output_tokens_mean,output_tokens_median,output_tokens_min,output_tokens_max,output_tokens_std_dev,output_tokens_duration_ms_mean,output_tokens_duration_ms_median,output_tokens_duration_ms_min,output_tokens_duration_ms_max,output_tokens_duration_ms_std_dev,tokens_per_second_mean,tokens_per_second_median,tokens_per_second_min,tokens_per_second_max,tokens_per_second_std_dev,input_output_ratio_mean,input_output_ratio_median,input_output_ratio_min,input_output_ratio_max,input_output_ratio_std_dev,generation_latency_ms_mean,generation_latency_ms_median,generation_latency_ms_min,generation_latency_ms_max,generation_latency_ms_std_dev,response_length_chars_mean,response_length_chars_median,response_length_chars_min,response_length_chars_max,response_length_chars_std_dev,actions_count_mean,actions_count_median,actions_count_min,actions_count_max,actions_count_std_dev,explanation_quality_score_mean,explanation_quality_score_median,explanation_quality_score_min,explanation_quality_score_max,explanation_quality_score_std_dev,parsing_success_rate,error_rate,timeout_rate,overall_success_rate,overall_score,total_runs
llama3.2:1b,standard_modular,001,0.2,1.0,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,460.21952880000003,460.277474,452.628733,469.336401,4.673291967445931,34.922451699999996,35.566492499999995,29.461022,37.453281,2.2849410979275224,298.0,298.0,298.0,298.0,0.0,4.6252139,4.0743425,3.616995,6.260401,1.0401309673562427,51.0,51.0,51.0,51.0,0.0,418.7065514,418.98041450000005,411.390619,428.16128,4.6644335796378416,121.81722333365079,121.72409069344984,119.11399368013848,123.96976898493642,1.3506563235712883,0.17114093959731544,0.17114093959731544,0.17114093959731544,0.17114093959731544,0.0,423.33176530000003,422.733923,415.31192100000004,432.00940299999996,4.5517097022760185,181.0,181.0,181.0,181.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,99.52123041209128,10
llama3.2:1b,batch_action_modular,001,0.2,1.0,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,454.1874841,456.794257,424.032697,462.040826,10.90340682971089,36.0328879,35.7441585,34.867487,37.25365,0.8019773320345236,298.0,298.0,298.0,298.0,0.0,3.9496253,4.015475,3.179951,4.573694,0.4015116118597734,50.6,51.0,47.0,51.0,1.2649110640673518,412.0768216,414.1663,381.554206,420.863535,11.072468557534322,122.80062832984603,123.12611493533629,121.17942220867388,123.5981363058714,0.8197820777596683,0.1697986577181208,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.0042446680002260154,416.0264469,418.265254,385.715598,424.04348600000003,10.913258677234461,179.7,181.0,168.0,181.0,4.110960958218893,1.0,1.0,1.0,1.0,0.0,0.9825,1.0,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,99.00646719335353,10
llama3.2:1b,standard_modular,001,0.2,0.9,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,454.4135221,459.0118835,415.498596,465.437502,15.388266545707308,33.7953211,35.593781,19.844759,37.97705,5.494926234867407,298.0,298.0,298.0,298.0,0.0,4.6764278,4.2200555,3.135542,8.584385,1.5149253578319954,50.6,51.0,47.0,51.0,1.2649110640673518,414.0139446,417.665114,378.367524,422.566337,12.710503796652855,122.23999056622309,122.10771647084138,120.69110938195725,124.21784909848658,0.937933098070626,0.1697986577181208,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.0042446680002260154,418.6903724,421.6081575,382.24757900000003,427.920897,13.144422122894511,179.7,181.0,168.0,181.0,4.110960958218893,1.0,1.0,1.0,1.0,0.0,0.9825,1.0,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,98.99881743310155,10
llama3.2:1b,standard_modular,001,0.2,0.9,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,452.3830995,456.69903650000003,424.79714,464.045453,11.77812690475066,32.8881416,35.5302615,19.890706,37.338663,6.090309161412474,298.0,298.0,298.0,298.0,0.0,4.6845861,4.3124655,3.87737,5.983898,0.758187892051165,50.6,51.0,47.0,51.0,1.2649110640673518,412.8912834,415.381236,383.812496,422.796866,10.850038810875398,122.55820256669577,122.59731114386722,120.62530283750966,124.86992379612128,1.0794830511684703,0.1697986577181208,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.0042446680002260154,417.5758695,420.5579305,388.05039,426.74453900000003,10.994058793890016,179.7,181.0,168.0,181.0,4.110960958218893,1.0,1.0,1.0,1.0,0.0,0.9825,1.0,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,98.99425674058992,10
llama3.2:1b,batch_action_modular,001,0.2,0.9,500,0,5.5,5.5,1.0,10.0,3.0276503540974917,453.4917099,455.6698015,433.46014,461.088329,7.930580188933409,35.642823,35.866657000000004,32.415549,37.370849,1.3836012923525172,298.0,298.0,298.0,298.0,0.0,4.0952293,3.9823545,3.045227,5.609451,0.7289779742892785,50.6,51.0,47.0,51.0,1.2649110640673518,411.9368443,413.56935550000003,390.370903,417.638292,7.982118352254493,122.82433408519341,123.11518489916321,120.39831769941112,124.20213552713464,1.1319462197882655,0.1697986577181208,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.0042446680002260154,416.0320736,417.40431950000004,395.337244,423.12994399999997,7.8475512533847125,179.7,181.0,168.0,181.0,4.110960958218893,1.0,1.0,1.0,1.0,0.0,0.9825,1.0,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,98.99376026070018,10
llama3.2:1b,batch_action_modular,001,0.2,0.9,800,40,5.5,5.5,1.0,10.0,3.0276503540974917,454.4448642,456.734386,427.059606,467.595954,10.566986142533878,35.4366233,35.363965,34.815584,36.386824,0.521195686002877,298.0,298.0,298.0,298.0,0.0,4.2094167,4.139376,3.080733,6.736126,1.0679502945668138,50.6,51.0,47.0,51.0,1.2649110640673518,412.7281527,415.45222349999995,383.236956,424.644319,11.07599037488526,122.60887581783139,122.65093385744706,120.10051169435285,124.58570124337116,1.1460427600028857,0.1697986577181208,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.0042446680002260154,416.9375694,419.23398199999997,389.97308200000003,429.42195,10.441162463885126,179.7,181.0,168.0,181.0,4.110960958218893,1.0,1.0,1.0,1.0,0.0,0.9825,1.0,0.825,1.0,0.05533985905294665,1.0,0.0,0.0,1.0,98.99219893152303,10
llama3.2:1b,batch_action_modular,001,0.2,1.0,500,0,5.5,5.5,1.0,10.0,3.0276503540974917,454.2374423,459.354385,427.30051,468.225925,13.729347340455211,36.609967499999996,36.416128,35.149917,38.402534,1.0700690602299407,298.0,298.0,298.0,298.0,0.0,4.4648331,4.314553,3.487564,7.031416,1.0376079605380242,50.3,51.0,47.0,51.0,1.4944341180973262,410.98555269999997,415.818385,383.569728,424.327386,13.095889645698765,122.39869679525572,122.53854709888572,120.19021558038209,123.17148875840024,0.8302507413733147,0.16879194630872482,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.00501487959093063,415.4503858,419.805415,387.912314,429.36285699999996,13.421183595170486,178.9,181.0,168.0,181.0,4.581363212940979,1.0,1.0,1.0,1.0,0.0,0.965,1.0,0.825,1.0,0.0737864787372622,1.0,0.0,0.0,1.0,98.64332042030053,10
llama3.2:1b,standard_modular,001,0.2,1.0,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,450.8171908,454.3759835,424.358633,467.00699,13.501139131604104,35.7555653,35.8130335,31.094175,39.12158,2.0670130096798593,298.0,298.0,298.0,298.0,0.0,4.4774872,3.990018,3.02965,7.78211,1.4662036784981516,50.2,51.0,47.0,51.0,1.6865480854231356,408.7299098,414.3635835,382.896417,422.981443,13.402887984476957,122.82030445282814,122.84339821903963,120.57266540650579,124.74554629720474,1.0739653604664465,0.16845637583892617,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.005659557333634687,413.207397,418.220108,386.821517,426.182118,13.634517533461755,178.4,181.0,168.0,181.0,5.4812812776251905,1.0,1.0,1.0,1.0,0.0,0.965,1.0,0.825,1.0,0.0737864787372622,1.0,0.0,0.0,1.0,98.63575823945769,10
llama3.2:1b,batch_action_modular,001,0.2,0.9,500,40,5.5,5.5,1.0,10.0,3.0276503540974917,455.8874165,458.8704355,427.411432,469.954296,13.558015260226629,35.074497199999996,35.652578500000004,30.796006,36.147627,1.6416261598852935,298.0,298.0,298.0,298.0,0.0,4.7273671,4.6060925,3.602734,7.365041,1.0151853811676683,50.2,51.0,47.0,51.0,1.6865480854231356,414.0534068,415.91607750000003,389.900719,427.132138,12.548698996231968,121.23741756639667,121.1521174491661,119.16022515856962,123.29638334936303,1.6046814626372388,0.16845637583892617,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.005659557333634687,418.7807739,421.8524335,394.646791,431.836652,12.549535884503943,178.4,181.0,168.0,181.0,5.4812812776251905,1.0,1.0,1.0,1.0,0.0,0.965,1.0,0.825,1.0,0.0737864787372622,1.0,0.0,0.0,1.0,98.60772656571694,10
llama3.2:1b,standard_modular,001,0.2,1.0,800,0,5.5,5.5,1.0,10.0,3.0276503540974917,453.1904375,455.8342365,422.809889,474.278188,16.1824814204415,35.9037335,36.2039965,33.987413,37.123615,0.9681844354359872,298.0,298.0,298.0,298.0,0.0,3.9015266,3.9431135,3.436262,4.539195,0.37764665551785603,50.2,51.0,47.0,51.0,1.6865480854231356,411.4552046,414.655153,380.601664,432.676675,16.454839183024493,122.04867899097323,122.33488911212778,117.8709252122269,124.72948315071233,2.1372909242553355,0.16845637583892617,0.17114093959731544,0.15771812080536912,0.17114093959731544,0.005659557333634687,415.3567312,418.59826649999997,384.15469700000006,437.008306,16.584202346823297,178.4,181.0,168.0,181.0,5.4812812776251905,1.0,1.0,1.0,1.0,0.0,0.965,1.0,0.825,1.0,0.0737864787372622,1.0,0.0,0.0,1.0,98.5897709538624,10
