model,strategy,prompt_id,generation_latency_ms_mean,overall_score
llama3.2:1b,standard_modular,001,413.207397,98.63575823945769
llama3.2:1b,standard_modular,001,414.51290769999997,98.27624556258084
llama3.2:1b,standard_modular,001,415.3567312,98.5897709538624
llama3.2:1b,batch_action_modular,001,415.4503858,98.64332042030053
llama3.2:1b,standard_modular,001,415.5159365,97.00538901006963
llama3.2:1b,batch_action_modular,001,416.0264469,99.00646719335353
llama3.2:1b,batch_action_modular,001,416.0320736,98.99376026070018
llama3.2:1b,batch_action_modular,001,416.9375694,98.99219893152303
llama3.2:1b,standard_modular,001,417.5758695,98.99425674058992
llama3.2:1b,standard_modular,001,418.6903724,98.99881743310155
llama3.2:1b,batch_action_modular,001,418.7807739,98.60772656571694
llama3.2:1b,standard_modular,001,420.3228035,95.37907816171519
llama3.2:1b,batch_action_modular,001,420.8616023,96.73972131445225
llama3.2:1b,standard_modular,001,423.33176530000003,99.52123041209128
llama3.2:1b,batch_action_modular,001,424.8684522,96.88375491509586
