mop_file,rule,clauses,present,to_close,recorded,group
CipherInputStreamSpec.mop,CipherInputStream,2,0,2,0,5
CipherOutputStreamSpec.mop,CipherOutputStream,2,0,2,0,5
CipherSpec.mop,Cipher,12,5,6,1,4+5
DHGenParameterSpecSpec.mop,DHGenParameterSpec,1,1,0,0,
GCMParameterSpecSpec.mop,GCMParameterSpec,2,2,0,0,
HMACParameterSpecSpec.mop,HMACParameterSpec,1,1,0,0,
IvParameterSpec.mop,IvParameterSpec,2,2,0,0,
KeyGeneratorSpec.mop,KeyGenerator,2,1,1,0,4
KeyManagerFactorySpec.mop,KeyManagerFactory,4,2,2,0,4+5
KeyPairGeneratorSpec.mop,KeyPairGenerator,5,1,4,0,4+5
KeyPairSpec.mop,KeyPair,5,1,4,0,4
KeyStoreSpec.mop,KeyStore,4,2,2,0,4
MacSpec.mop,Mac,7,4,3,0,4
MessageDigestSpec.mop,MessageDigest,3,2,0,1,
PBEKeySpecSpec.mop,PBEKeySpec,3,3,0,0,
PBEParameterSpecSpec.mop,PBEParameterSpec,2,2,0,0,
SSLContextSpec.mop,SSLContext,5,2,3,0,3
SecretKeySpec.mop,SecretKey,2,1,1,0,4
SecretKeySpecSpec.mop,SecretKeySpec,3,2,1,0,4
SecureRandomSpec.mop,SecureRandom,7,6,0,1,
SignatureSpec.mop,Signature,6,4,2,0,4
TrustManagerFactorySpec.mop,TrustManagerFactory,4,1,3,0,3+5
