property,kind,file,line,spec,event,snippet
GENERATED_CIPHER,READ,CipherInputStreamSpec.mop,22,CipherInputStreamSpec,c1,"if (!ExecutionContext.instance().validate(Property.GENERATED_CIPHER, ciph)) {"
GENERATED_CIPHER,READ,CipherOutputStreamSpec.mop,21,CipherOutputStreamSpec,c1,"if (!ExecutionContext.instance().validate(Property.GENERATED_CIPHER, ciph)) {"
RANDOMIZED,READ,CipherSpec.mop,64,CipherSpec,<spec-body>,"if (ranGen != null && !ExecutionContext.instance().validate(Property.RANDOMIZED, ranGen)) {"
PREPARED_IV,READ,CipherSpec.mop,84,CipherSpec,<spec-body>,"&& !ExecutionContext.instance().validate(Property.PREPARED_IV, params)) {"
PREPARED_GCM,READ,CipherSpec.mop,89,CipherSpec,<spec-body>,"&& !ExecutionContext.instance().validate(Property.PREPARED_GCM, params)) {"
MACED,READ,CipherSpec.mop,102,CipherSpec,<spec-body>,"if (plainText != null && ExecutionContext.instance().validate(Property.MACED, plainText)) {"
GENERATED_KEY,READ,CipherSpec.mop,156,CipherSpec,init2,"|| ExecutionContext.instance().validate(Property.GENERATED_KEY, keyOrCert)"
GENERATED_PUBLIC_KEY,READ,CipherSpec.mop,157,CipherSpec,init2,"|| ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, keyOrCert)"
GENERATED_PRIVATE_KEY,READ,CipherSpec.mop,158,CipherSpec,init2,"|| ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, keyOrCert)"
GENERATED_CIPHER,WRITE,CipherSpec.mop,161,CipherSpec,init2,"ExecutionContext.instance().setProperty(Property.GENERATED_CIPHER, c);"
GENERATED_KEY,READ,CipherSpec.mop,177,CipherSpec,init3,"|| ExecutionContext.instance().validate(Property.GENERATED_KEY, keyOrCert)"
GENERATED_PUBLIC_KEY,READ,CipherSpec.mop,178,CipherSpec,init3,"|| ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, keyOrCert)"
GENERATED_PRIVATE_KEY,READ,CipherSpec.mop,179,CipherSpec,init3,"|| ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, keyOrCert)"
GENERATED_CIPHER,WRITE,CipherSpec.mop,188,CipherSpec,init3,"ExecutionContext.instance().setProperty(Property.GENERATED_CIPHER, c);"
GENERATED_KEY,READ,CipherSpec.mop,198,CipherSpec,init4,"ExecutionContext.instance().validate(Property.GENERATED_KEY, key)"
GENERATED_PUBLIC_KEY,READ,CipherSpec.mop,199,CipherSpec,init4,"|| ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, key)"
GENERATED_PRIVATE_KEY,READ,CipherSpec.mop,200,CipherSpec,init4,"|| ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, key)"
GENERATED_CIPHER,WRITE,CipherSpec.mop,207,CipherSpec,init4,"ExecutionContext.instance().setProperty(Property.GENERATED_CIPHER, c);"
ENCRYPTED,WRITE,CipherSpec.mop,216,CipherSpec,u1,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,225,CipherSpec,u3,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,232,CipherSpec,u5,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherBuffer);"
WRAPPED_KEY,WRITE,CipherSpec.mop,238,CipherSpec,wkb1,"ExecutionContext.instance().setProperty(Property.WRAPPED_KEY, wrappedKeyBytes);"
ENCRYPTED,WRITE,CipherSpec.mop,244,CipherSpec,f1,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,257,CipherSpec,f2,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,264,CipherSpec,f3,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,273,CipherSpec,f5,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,280,CipherSpec,f7,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherTextBuffer);"
PREPARED_DH,WRITE,DHGenParameterSpecSpec.mop,36,DHGenParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_DH, spec);"
RANDOMIZED,READ,GCMParameterSpecSpec.mop,28,GCMParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, src)"
RANDOMIZED,READ,GCMParameterSpecSpec.mop,39,GCMParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, src) &&"
PREPARED_GCM,WRITE,GCMParameterSpecSpec.mop,56,GCMParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_GCM, spec);"
PREPARED_HMAC,WRITE,HMACParameterSpecSpec.mop,35,HMACParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_HMAC, spec);"
RANDOMIZED,READ,IvParameterSpec.mop,25,IvParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, iv)"
RANDOMIZED,READ,IvParameterSpec.mop,34,IvParameterSpecSpec,c2,"ExecutionContext.instance().validate(Property.RANDOMIZED, iv) &&"
RANDOMIZED,READ,IvParameterSpec.mop,46,IvParameterSpecSpec,c3,"!ExecutionContext.instance().validate(Property.RANDOMIZED, iv)"
RANDOMIZED,READ,IvParameterSpec.mop,54,IvParameterSpecSpec,c4,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, iv)) {"
PREPARED_IV,WRITE,IvParameterSpec.mop,74,IvParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_IV, spec);"
RANDOMIZED,READ,KeyGeneratorSpec.mop,34,KeyGeneratorSpec,<spec-body>,"if (random != null && !ExecutionContext.instance().validate(Property.RANDOMIZED, random)) {"
GENERATED_KEY,WRITE,KeyGeneratorSpec.mop,114,KeyGeneratorSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, generatedKey);"
GENERATED_KEY,REMOVE,KeyGeneratorSpec.mop,124,KeyGeneratorSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY, generatedKey);"
GENERATED_KEY_STORE,READ,KeyManagerFactorySpec.mop,76,KeyManagerFactorySpec,i1,"if (keyStore != null && !ExecutionContext.instance().validate(Property.GENERATED_KEY_STORE, keyStore)) {"
GENERATED_KEY_MANAGERS,WRITE,KeyManagerFactorySpec.mop,80,KeyManagerFactorySpec,i1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, keyManagerFactory);"
GENERATED_KEY_MANAGERS,WRITE,KeyManagerFactorySpec.mop,91,KeyManagerFactorySpec,i2,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, keyManagerFactory);"
GENERATED_KEY_MANAGERS,WRITE,KeyManagerFactorySpec.mop,98,KeyManagerFactorySpec,gkm1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, keyManager);"
GENERATED_KEY_MANAGERS,REMOVE,KeyManagerFactorySpec.mop,127,KeyManagerFactorySpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_MANAGERS, keyManagerFactory);"
GENERATED_KEY_MANAGERS,REMOVE,KeyManagerFactorySpec.mop,128,KeyManagerFactorySpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_MANAGERS, keyManagers);"
PREPARED_DH,READ,KeyPairGeneratorSpec.mop,96,KeyPairGeneratorSpec,init3,"&& !ExecutionContext.instance().validate(Property.PREPARED_DH, params)) {"
PREPARED_DH,READ,KeyPairGeneratorSpec.mop,107,KeyPairGeneratorSpec,init4,"&& !ExecutionContext.instance().validate(Property.PREPARED_DH, params)) {"
GENERATED_KEY_PAIR,WRITE,KeyPairGeneratorSpec.mop,126,KeyPairGeneratorSpec,gen,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_PAIR, kp);"
GENERATED_KEY_PAIR,REMOVE,KeyPairGeneratorSpec.mop,139,KeyPairGeneratorSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_PAIR, kp);"
GENERATED_PUBLIC_KEY,READ,KeyPairSpec.mop,32,KeyPairSpec,c1,"if (publicKey != null && !ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, publicKey)) {"
GENERATED_PRIVATE_KEY,READ,KeyPairSpec.mop,36,KeyPairSpec,c1,"if (privateKey != null && !ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, privateKey)) {"
GENERATED_KEY_PAIR,WRITE,KeyPairSpec.mop,41,KeyPairSpec,c1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_PAIR, kp);"
GENERATED_PUBLIC_KEY,WRITE,KeyPairSpec.mop,47,KeyPairSpec,gpu,"ExecutionContext.instance().setProperty(Property.GENERATED_PUBLIC_KEY, publicKey);"
GENERATED_PRIVATE_KEY,WRITE,KeyPairSpec.mop,58,KeyPairSpec,gpr,"ExecutionContext.instance().setProperty(Property.GENERATED_PRIVATE_KEY, privateKey);"
GENERATED_KEY_STORE,WRITE,KeyStoreSpec.mop,48,KeyStoreSpec,load,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_STORE, keyStore);"
GENERATED_KEY,WRITE,KeyStoreSpec.mop,71,KeyStoreSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, generatedKey);"
GENERATED_PRIVATE_KEY,WRITE,KeyStoreSpec.mop,77,KeyStoreSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_PRIVATE_KEY, generatedKey);"
GENERATED_PUBLIC_KEY,WRITE,KeyStoreSpec.mop,78,KeyStoreSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_PUBLIC_KEY, generatedKey);"
GENERATED_KEY,REMOVE,KeyStoreSpec.mop,86,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY, generatedKey);"
GENERATED_PRIVATE_KEY,REMOVE,KeyStoreSpec.mop,87,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_PRIVATE_KEY, generatedKey);"
GENERATED_PUBLIC_KEY,REMOVE,KeyStoreSpec.mop,88,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_PUBLIC_KEY, generatedKey);"
