property,kind,file,line,spec,event,snippet
GENERATED_KEY,READ,CipherSpec.mop,70,CipherSpec,i2,"ExecutionContext.instance().validate(Property.GENERATED_KEY, key)"
GENERATED_PUBLIC_KEY,READ,CipherSpec.mop,71,CipherSpec,i2,"|| ExecutionContext.instance().validate(Property.GENERATED_PUBLIC_KEY, key)"
GENERATED_PRIVATE_KEY,READ,CipherSpec.mop,72,CipherSpec,i2,"|| ExecutionContext.instance().validate(Property.GENERATED_PRIVATE_KEY, key)"
ENCRYPTED,WRITE,CipherSpec.mop,84,CipherSpec,u1,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,91,CipherSpec,u2,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,98,CipherSpec,u3,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,105,CipherSpec,u4,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,112,CipherSpec,u5,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherBuffer);"
WRAPPED_KEY,WRITE,CipherSpec.mop,118,CipherSpec,wkb1,"ExecutionContext.instance().setProperty(Property.WRAPPED_KEY, wrappedKeyBytes);"
ENCRYPTED,WRITE,CipherSpec.mop,124,CipherSpec,f1,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,130,CipherSpec,f2,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,137,CipherSpec,f3,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,144,CipherSpec,f5,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,151,CipherSpec,f6,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherText);"
ENCRYPTED,WRITE,CipherSpec.mop,158,CipherSpec,f7,"ExecutionContext.instance().setProperty(Property.ENCRYPTED, cipherTextBuffer);"
PREPARED_DH,WRITE,DHGenParameterSpecSpec.mop,36,DHGenParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_DH, spec);"
RANDOMIZED,READ,GCMParameterSpecSpec.mop,28,GCMParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, src)"
RANDOMIZED,READ,GCMParameterSpecSpec.mop,39,GCMParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, src) &&"
PREPARED_GCM,WRITE,GCMParameterSpecSpec.mop,56,GCMParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_GCM, spec);"
PREPARED_HMAC,WRITE,HMACParameterSpecSpec.mop,35,HMACParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_HMAC, spec);"
RANDOMIZED,READ,IvParameterSpec.mop,25,IvParameterSpecSpec,c1,"ExecutionContext.instance().validate(Property.RANDOMIZED, iv)"
RANDOMIZED,READ,IvParameterSpec.mop,34,IvParameterSpecSpec,c2,"ExecutionContext.instance().validate(Property.RANDOMIZED, iv) &&"
RANDOMIZED,READ,IvParameterSpec.mop,46,IvParameterSpecSpec,c3,"!ExecutionContext.instance().validate(Property.RANDOMIZED, iv)"
RANDOMIZED,READ,IvParameterSpec.mop,54,IvParameterSpecSpec,c4,"condition(!ExecutionContext.instance().validate(Property.RANDOMIZED, iv)) {"
PREPARED_IV,WRITE,IvParameterSpec.mop,66,IvParameterSpecSpec,@match,"ExecutionContext.instance().setProperty(Property.PREPARED_IV, spec);"
GENERATED_KEY,WRITE,KeyGeneratorSpec.mop,67,KeyGeneratorSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, generatedKey);"
GENERATED_KEY,REMOVE,KeyGeneratorSpec.mop,75,KeyGeneratorSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY, generatedKey);"
GENERATED_KEY_MANAGERS,WRITE,KeyManagerFactorySpec.mop,57,KeyManagerFactorySpec,init,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, keyManagerFactory);"
GENERATED_KEY_MANAGERS,WRITE,KeyManagerFactorySpec.mop,63,KeyManagerFactorySpec,gkm1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_MANAGERS, keyManager);"
GENERATED_KEY_MANAGERS,REMOVE,KeyManagerFactorySpec.mop,91,KeyManagerFactorySpec,@fail,ExecutionContext.instance().remove(Property.GENERATED_KEY_MANAGERS);
GENERATED_KEY_PAIR,WRITE,KeyPairGeneratorSpec.mop,105,KeyPairGeneratorSpec,gen,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_PAIR, kp);"
GENERATED_KEY_PAIR,REMOVE,KeyPairGeneratorSpec.mop,112,KeyPairGeneratorSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY_PAIR, kp);"
GENERATED_PUBLIC_KEY,WRITE,KeyPairSpec.mop,32,KeyPairSpec,gpu,"ExecutionContext.instance().setProperty(Property.GENERATED_PUBLIC_KEY, publicKey);"
GENERATED_PUBLIC_KEY,WRITE,KeyPairSpec.mop,38,KeyPairSpec,gpr,"ExecutionContext.instance().setProperty(Property.GENERATED_PUBLIC_KEY, privateKey);"
GENERATED_KEY_STORE,WRITE,KeyStoreSpec.mop,48,KeyStoreSpec,load,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY_STORE, keyStore);"
GENERATED_KEY,WRITE,KeyStoreSpec.mop,71,KeyStoreSpec,gk1,"ExecutionContext.instance().setProperty(Property.GENERATED_KEY, generatedKey);"
GENERATED_KEY,REMOVE,KeyStoreSpec.mop,79,KeyStoreSpec,@fail,"ExecutionContext.instance().remove(Property.GENERATED_KEY, generatedKey);"
