kind,constant,predicate,specs,reason,task
constant-write-no-read,DIGESTED,digested,MessageDigestSpec,"MessageDigest ENSURES digested[out, _] and digested[out, inbytearr] in both anchors, and no rule in either REQUIRES digested. The predicate is terminal: that a byte array is a digest is stated and never consulted, so a reader would have to be invented rather than transcribed.",7.2
constant-write-no-read,GENERATED_KEY_PAIR,generatedKeypair,KeyPairGeneratorSpec; KeyPairSpec,"KeyPairGenerator ENSURES generatedKeypair[kp, alg] and KeyPair ENSURES generatedKeypair[this, _] after co; no rule in either anchor REQUIRES the predicate. What the downstream rules ask for are the pair's halves, generatedPrivkey and generatedPubkey, carried by GENERATED_PRIVATE_KEY and GENERATED_PUBLIC_KEY -- both of which are read.",7.2
constant-write-no-read,GENERATED_MAC,macced,MacSpec,"Holds the first place of macced[M, D] -- M is the MAC of D. The predicate's only consumer is the Cipher rule's !macced[_, plainText], which leaves that place anonymous, so the read projects onto the second place alone: MACED carries it and CipherSpec reads it (D-S13). The first place has no reader because of the shape of the clause, not because one was omitted.",7.2
constant-write-no-read,GENERATED_TRUST_MANAGER,generatedTrustManager,TrustManagerFactorySpec,"The API 30 TrustManagerFactory rule ensures generatedTrustManager of two different objects -- the factory itself after Init, and the array returned by getTrustManagers -- and the set carries the two places in two constants. SSLContext requires only the array, so GENERATED_TRUST_MANAGERS is the one SSLContextSpec reads. No rule in either anchor requires the factory itself.",7.2
constant-write-no-read,GENERATE_SSL_CONTEXT,generatedSSLContext,SSLContextSpec,"SSLContext ENSURES generatedSSLContext[this] after Init in both anchors and no rule REQUIRES it. The context is the end of this chain: nothing in either corpus consumes a configured SSLContext, so the predicate is terminal.",7.2
constant-write-no-read,GENERATE_SSL_ENGINE,generatedSSLEngine,SSLContextSpec,"SSLContext ENSURES generatedSSLEngine[eng] in both anchors, and CrySL 1.5.2 also has the SSLEngine rule ensure it of itself. No rule in either anchor REQUIRES it -- terminal, like generatedSSLContext.",7.2
constant-write-no-read,PREPARED_PBE,preparedPBE,PBEParameterSpecSpec,"PBEParameterSpec ENSURES preparedPBE[this] in both anchors. Its only consumer is the AlgorithmParameters rule of CrySL 1.5.2 -- the API 30 derivation drops that REQUIRES -- and AlgorithmParameters has no .mop in this set of 23. The reader is absent because the consuming rule is unmodelled here, which is D-S14's criterion seen from the producing side.",7.2
constant-write-no-read,SIGNED,signed,SignatureSpec,"Signature ENSURES signed[out, ...] after Signs in both anchors, once per input overload, and no rule REQUIRES signed. Terminal: nothing in either corpus consumes a signature.",7.2
constant-write-no-read,SPECCED_KEY,speccedKey,PBEKeySpecSpec; SecretKeySpecSpec,"PBEKeySpec and SecretKeySpec ENSURE speccedKey in both anchors and this set models both producers. The consumers are SecretKeyFactory (both anchors) and KeyFactory (1.5.2), neither of which has a .mop here, so the read cannot be transcribed without first adding the specification that would perform it (D-S14).",7.2
constant-write-no-read,VERIFIED,verified,SignatureSpec,"Signature ENSURES verified[sign] (API 30) and verified[verified, sign] after Verifies (1.5.2), and no rule in either anchor REQUIRES it. Terminal, like signed.",7.2
constant-write-no-read,WRAPPED_KEY,wrappedKey,CipherSpec,"Cipher.crysl ENSURES wrappedKey[wrappedKeyBytes, wrappedKey] and no rule in either anchor REQUIRES it; the API 30 derivation drops the ENSURES as well. The write transcribes a clause with no consumer on either side of the anchor.",7.2
predicate-no-constant,,preparedAlg,,"Consumed in this set, produced by AlgorithmParameters, which has no .mop here. Every read this change adds sits in an event body rather than a condition(...), so a read of a predicate nothing in the set writes fails on every execution and reports every conforming call -- a new defect of the family this change removes (D-S14).",5.1d
predicate-no-constant,,preparedRSA,,"Consumed in this set, produced by RSAKeyGenParameterSpec, which has no .mop here. Same mechanical reason as preparedAlg (D-S14).",5.1d
predicate-no-constant,,preparedDSA,,"Consumed in this set, produced by DSAGenParameterSpec, which has no .mop here. Same mechanical reason as preparedAlg (D-S14).",5.1d
predicate-no-constant,,generatedManagerFactoryParameters,,"Consumed in this set, produced by CertPathTrustManagerParameters and KeyStoreBuilderParameters, neither of which has a .mop here. The API 30 rules keep the producers and drop the two factory REQUIRES, so the edge is 1.5.2's; the reason not to close it is the missing producer either way (D-S14).",5.1d
predicate-no-constant,,preparedEC,,"Consumed in this set, produced by ECGenParameterSpec, which has no .mop here and no rule at all in the API 30 corpus. Same mechanical reason as preparedAlg (D-S14).",5.1d
predicate-no-constant,,preparedOAEP,,"Consumed in this set, produced by OAEPParameterSpec, which has no .mop here and no rule in the API 30 corpus. Excluded for want of a producer, which is why the choice of anchor does not bear on it (D-S14).",5.1d
predicate-no-constant,,cipheredInputStream,,"Produced in this set by CipherInputStreamSpec and required by no rule in either anchor. A constant for it would be a write with no reader, which INV-INS-111 forbids unless recorded -- and recording it is the honest outcome, against inventing a reader to satisfy the guard (D-S14).",5.1d
predicate-no-constant,,cipheredOutputStream,,Produced in this set by CipherOutputStreamSpec and required by no rule in either anchor. Same as cipheredInputStream (D-S14).,5.1d
predicate-no-constant,,generatedMessageDigest,,"MessageDigest ENSURES generatedMessageDigest[this] after Gets in CrySL 1.5.2; the API 30 derivation renames the fact into digestedInputStream/digestedOutputStream and drops it. Its consumers would be the DigestInputStream and DigestOutputStream rules, and neither has a .mop here, so it stays omitted under the criterion that made generatedCipher addable. MessageDigestSpec keeps the set-wide setObjectAsInAcceptingState marker in its place, which is inert: nineteen specifications write it and no specification in either set reads it.",4.3
