mop_file,rule,variable,rule_object,verdict,changed_from_jca,mop_literals,rule_literals,spelling_variants,aliases,unmatched,absent_from_mop,reason
CipherInputStreamSpec.mop,CipherInputStream,,,uncontradicted,,,,,,,,"the rule carries no membership constraint; the specification monitors stream sequencing, not algorithm choice"
CipherOutputStreamSpec.mop,CipherOutputStream,,,uncontradicted,,,,,,,,"the rule carries no membership constraint; the specification monitors stream sequencing, not algorithm choice"
CipherSpec.mop,Cipher,,transformation,no-anchor,,,AES AES_128 AES_256 ARC4 BLOWFISH ChaCha20 DESede RSA,,,,,"the only specification with an algorithm constraint and no allow-list of its own: it delegates to isValid() in shared Java. Closed by this change in the derived set through a utility of its own (D-S3), not in the .mop"
DHGenParameterSpecSpec.mop,DHGenParameterSpec,,,uncontradicted,,,,,,,,"the rule constrains key size through an implication, not a membership set"
GCMParameterSpecSpec.mop,GCMParameterSpec,validLengths,tLen,uncontradicted,no,96 104 112 120 128,104 112 120 128 96,,,,,
HMACParameterSpecSpec.mop,HMACParameterSpec,,,uncontradicted,,,,,,,,the rule carries no membership constraint
IvParameterSpec.mop,IvParameterSpec,,,uncontradicted,,,,,,,,"the rule constrains only the randomness of the IV, which the .mop reads as a predicate rather than a list"
KeyGeneratorSpec.mop,KeyGenerator,safeAlgorithms,alg,anchored,yes,AES ARC4 BLOWFISH ChaCha20 DESede HmacMD5 HmacSHA1 HmacSHA224 HmacSHA256 HmacSHA384 HmacSHA512 HMAC-SHA256 HMAC/SHA256 HMAC-SHA384 HMAC/SHA384 HMAC/SHA512 HMAC-SHA512,AES ARC4 BLOWFISH ChaCha20 DESede HmacMD5 HmacSHA1 HmacSHA224 HmacSHA256 HmacSHA384 HmacSHA512,HmacSHA256 HMAC-SHA256 HMAC/SHA256 | HmacSHA384 HMAC-SHA384 HMAC/SHA384 | HmacSHA512 HMAC/SHA512 HMAC-SHA512,HMAC-SHA256 HMAC-SHA384 HMAC-SHA512 HMAC/SHA256 HMAC/SHA384 HMAC/SHA512,,,
KeyManagerFactorySpec.mop,KeyManagerFactory,safeAlgorithms,algo,anchored,yes,PKIX,PKIX,,,,,
KeyPairGeneratorSpec.mop,KeyPairGenerator,safeAlgorithms,alg,anchored,yes,DH DSA RSA,DH DSA RSA,,,,,
KeyPairSpec.mop,KeyPair,,,uncontradicted,,,,,,,,the rule carries no membership constraint
KeyStoreSpec.mop,KeyStore,types,keyStoreAlg,anchored,yes,AndroidCAStore AndroidKeyStore BKS BouncyCastle PKCS12,AndroidCAStore AndroidKeyStore BKS BouncyCastle PKCS12,,,,,
MacSpec.mop,Mac,safeAlgorithms,macAlg,anchored,yes,HmacMD5 HmacSHA1 HmacSHA224 HmacSHA256 HmacSHA384 HmacSHA512 PBEwithHmacSHA PBEwithHmacSHA1 PBEwithHmacSHA224 PBEwithHmacSHA256 PBEwithHmacSHA384 PBEwithHmacSHA512 HMAC-SHA256 HMAC/SHA256 HMAC-SHA384 HMAC/SHA384 HMAC/SHA512 HMAC-SHA512,HmacMD5 HmacSHA1 HmacSHA224 HmacSHA256 HmacSHA384 HmacSHA512 PBEwithHmacSHA PBEwithHmacSHA1 PBEwithHmacSHA224 PBEwithHmacSHA256 PBEwithHmacSHA384 PBEwithHmacSHA512,HmacSHA256 HMAC-SHA256 HMAC/SHA256 | HmacSHA384 HMAC-SHA384 HMAC/SHA384 | HmacSHA512 HMAC/SHA512 HMAC-SHA512,HMAC-SHA256 HMAC-SHA384 HMAC-SHA512 HMAC/SHA256 HMAC/SHA384 HMAC/SHA512,,,
MessageDigestSpec.mop,MessageDigest,algorithms,digestAlg,anchored,yes,MD5 SHA-1 SHA-224 SHA-256 SHA-384 SHA-512 SHA256 SHA384 SHA512,MD5 SHA-1 SHA-224 SHA-256 SHA-384 SHA-512,SHA-256 SHA256 | SHA-384 SHA384 | SHA-512 SHA512,SHA256 SHA384 SHA512,,,
PBEKeySpecSpec.mop,PBEKeySpec,,,uncontradicted,,,,,,,,"the rule constrains iteration count and key length through implications, not a membership set"
PBEParameterSpecSpec.mop,PBEParameterSpec,,,uncontradicted,,,,,,,,"the rule constrains iteration count through an implication, not a membership set"
RandomStringPassword.mop,,,,no-anchor,,,,,,,,no CrySL counterpart at all. It is not a JCA specification: it propagates randomness taint through String.valueOf and toCharArray so a password derived from SecureRandom is not accused by PBEKeySpecSpec
SSLContextSpec.mop,SSLContext,protocols,protocol,anchored,yes,DEFAULT SSL TLS TLSV1 TLSV1.1 TLSV1.2 TLSV1.3,Default SSL TLS TLSv1 TLSv1.1 TLSv1.2 TLSv1.3,,DEFAULT TLSV1 TLSV1.1 TLSV1.2 TLSV1.3,,,
SecretKeySpec.mop,SecretKey,,,uncontradicted,,,,,,,,anchored to SecretKey.crysl despite the file name; the rule carries no membership constraint
SecretKeySpecSpec.mop,SecretKeySpec,algorithms,,uncontradicted,no,AES HMACSHA256 HMACSHA384 HMACSHA512 HMAC-SHA256 HMAC/SHA256 HMAC-SHA384 HMAC/SHA384 HMAC/SHA512 HMAC-SHA512,,HMACSHA256 HMAC-SHA256 HMAC/SHA256 | HMACSHA384 HMAC-SHA384 HMAC/SHA384 | HMACSHA512 HMAC/SHA512 HMAC-SHA512,,,,the derived rule imposes no membership constraint at all -- the MetaCrySL base specification dropped the one CrySL 1.5.2 carried -- so the list has no derived anchor either way and stays a declared hand translation
SecureRandomSpec.mop,SecureRandom,algorithms,randAlg,anchored,yes,SHA1PRNG,SHA1PRNG,,,,,
SignatureSpec.mop,Signature,algorithms,alg,anchored,yes,DSA DSAwithSHA1 DSS MD5withRSA NONEwithDSA NONEwithRSA SHA1withDSA SHA1withRSA SHA1withRSA/PSS SHA224withDSA SHA224withECDSA SHA224withRSA SHA224withRSA/PSS SHA256withDSA SHA256withRSA SHA256withRSA/PSS SHA384withRSA SHA384withRSA/PSS SHA512withRSA SHA512withRSA/PSS,DSA DSAwithSHA1 DSS MD5withRSA NONEwithDSA NONEwithRSA SHA1withDSA SHA1withRSA SHA1withRSA/PSS SHA224withDSA SHA224withECDSA SHA224withRSA SHA224withRSA/PSS SHA256withDSA SHA256withRSA SHA256withRSA/PSS SHA384withRSA SHA384withRSA/PSS SHA512withRSA SHA512withRSA/PSS,,,,,
TrustManagerFactorySpec.mop,TrustManagerFactory,algorithms,algo,anchored,yes,PKIX,PKIX,,,,,
