apk,declared_package,classes_before,classes_after,methods_before,methods_after,activities_before,activities_after
app.eduroam.geteduroam_2685,app.eduroam.geteduroam.debug,0,707,0,3532,0,2
app.maskan.chat_90,app.maskan.chat,740,740,4022,4022,1,1
app.michaelwuensch.bitbanana_79,app.michaelwuensch.bitbanana.debug,0,2147,0,10882,0,59
app.pachli_50,app.pachli.current,0,6453,0,36172,0,27
app.plugbrain.android_154,app.plugbrain.android.debug,0,508,0,2318,0,4
app.pwhs.universalinstaller_24,app.pwhs.universalinstaller,2486,2486,11651,11651,19,19
at.techbee.jtx_216000015,at.techbee.jtx,5363,5363,22934,22934,3,3
be.digitalia.fosdem_2300230,be.digitalia.fosdem,993,993,4113,4113,9,9
br.com.colman.petals_3040000,br.com.colman.petals.debug,0,1,0,35,0,1
cc.sovellus.vrcaa_300007,cc.sovellus.vrcaa.dev,0,2360,0,13073,0,5
ch.joshuah.bibleverseapp_8,ch.joshuah.bibleverseapp,62,62,338,338,1,1
ch.rmy.android.http_shortcuts_1104060001,ch.rmy.android.http_shortcuts.debug,0,7016,0,32548,0,10
co.epitre.aelf_lectures_86,co.epitre.aelf_lectures,133,133,715,715,3,3
com.a4a.g8invoicing_50,com.a4a.g8invoicing.beta,0,2029,0,10627,0,1
com.absinthe.libchecker_2671,com.absinthe.libchecker.debug,0,1826,0,10420,0,11
com.afkanerd.deku_83,com.afkanerd.deku,505,505,2230,2230,2,2
com.antony.muzei.pixiv_327,com.antony.muzei.pixiv.dev,0,169,0,785,0,2
com.apps.adrcotfas.goodtime_348,com.apps.adrcotfas.goodtime,2111,2111,10036,10036,2,2
com.arslan.shizuwall_40,com.arslan.shizuwall,447,447,2273,2273,7,7
com.beemdevelopment.aegis_81,com.beemdevelopment.aegis.debug,0,894,0,4659,0,14
com.blacksquircle.ui_10028,com.blacksquircle.ui,3630,3630,16451,16451,1,1
com.celzero.bravedns_619,com.celzero.bravedns,6370,6370,34306,34306,42,42
com.cointrend_10304,com.cointrend,928,928,4334,4334,1,1
com.craxiom.networksurvey_114,com.craxiom.networksurvey.dev,0,3470,0,16579,0,1
com.daniebeler.pfpixelix_40,com.daniebeler.pfpixelix,2962,2962,14626,14626,1,1
com.darkrockstudios.app.securecamera_31,com.darkrockstudios.app.securecamera.debug,0,1168,0,5618,0,1
com.darkrockstudios.apps.fasttrack_40,com.darkrockstudios.apps.fasttrack.dev,0,677,0,3064,0,4
com.defname.localshare_14,com.defname.localshare,895,895,4230,4230,1,1
