Project,ErrorType,Class,Method,ViolatedRule,Object1, Object2,Statement
de.php_tech.piggybudget_25.apk,ConstraintError,com.facebook.common.util.SecureHashUtil,java.lang.String makeSHA1HashBase64(byte[]),java.security.MessageDigest, (on Object #eac8c68fd99b1f056dd6d8c7e63c9bd668b135bcef0b8af8271446470349f651),"First parameter (with value ""SHA-1"") should be any of {SHA-256, SHA-384, SHA-512}",$r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer6892)
de.php_tech.piggybudget_25.apk,TypestateError,com.facebook.soloader.SoLoader$1,java.lang.String getLibHash(java.lang.String),java.security.MessageDigest, (on Object #967553346458ba6863064a7e5a5f3f7722a8ecaa9c309da2b2133f4202534f03),"Unexpected call to method <java.security.MessageDigest: byte[] digest()> on object of type java.security.MessageDigest. Expect a call to one of the following methods java.security.MessageDigest: void update(byte[],int,int),java.security.MessageDigest: void update(java.nio.ByteBuffer),java.security.MessageDigest: byte[] digest(byte[]),java.security.MessageDigest: void update(byte[]),java.security.MessageDigest: void update(byte)",$r7 = virtualinvoke $r5.<java.security.MessageDigest: byte[] digest()>()
de.php_tech.piggybudget_25.apk,ConstraintError,com.facebook.soloader.SoLoader$1,java.lang.String getLibHash(java.lang.String),java.security.MessageDigest, (on Object #967553346458ba6863064a7e5a5f3f7722a8ecaa9c309da2b2133f4202534f03),"First parameter (with value ""MD5"") should be any of {SHA-256, SHA-384, SHA-512}",$r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer7430)
de.php_tech.piggybudget_25.apk,ConstraintError,okhttp3.internal.platform.Platform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #347908b9539a2d612f7bb5d86886d61d06b6bb911aca50c25b4d01edc0780d99),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r4 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer9811)
de.php_tech.piggybudget_25.apk,ConstraintError,okhttp3.internal.platform.ConscryptPlatform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #29b739ab0a847bd62e6bfbe60ba11fd36b339d771908e6d30580e1451c6a2abb),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}","$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String,java.security.Provider)>(varReplacer9816, $r2)"
de.php_tech.piggybudget_25.apk,ConstraintError,okhttp3.internal.platform.AndroidPlatform,javax.net.ssl.SSLContext getSSLContext(),javax.net.ssl.SSLContext, (on Object #fc499aca23ce9487e6bd466b6501718eea987010e6c161026e217e3d1b501b75),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r3 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer9817)
de.php_tech.piggybudget_25.apk,RequiredPredicateError,com.facebook.react.modules.network.TLSSocketFactory,void <init>(),javax.net.ssl.SSLContext ,Second parameter was not properly generated as generated Trust Managers,"virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11519, varReplacer11519, varReplacer11519)"
de.php_tech.piggybudget_25.apk,ConstraintError,com.facebook.react.modules.network.TLSSocketFactory,void <init>(),javax.net.ssl.SSLContext, (on Object #d5f6a111db2fcc57b5b5ce248730dc5a6b3a85272776e87e4f76b8da9cf3c7dd),"First parameter (with value ""TLS"") should be any of {TLSv1.2, TLSv1.3}",$r1 = staticinvoke <javax.net.ssl.SSLContext: javax.net.ssl.SSLContext getInstance(java.lang.String)>(varReplacer11522)
de.php_tech.piggybudget_25.apk,RequiredPredicateError,com.facebook.react.modules.network.TLSSocketFactory,void <init>(),javax.net.ssl.SSLContext ,Third parameter was not properly generated as randomized,"virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11519, varReplacer11519, varReplacer11519)"
de.php_tech.piggybudget_25.apk,RequiredPredicateError,com.facebook.react.modules.network.TLSSocketFactory,void <init>(),javax.net.ssl.SSLContext ,First parameter was not properly generated as generated Key Managers,"virtualinvoke $r1.<javax.net.ssl.SSLContext: void init(javax.net.ssl.KeyManager[],javax.net.ssl.TrustManager[],java.security.SecureRandom)>(varReplacer11519, varReplacer11519, varReplacer11519)"
