apk,llm_calls,llm_matched,llm_tap,llm_no_match,llm_tap_rate
app.eduroam.geteduroam_2685.apk,235,196,9,30,0.03829787234042553
app.maskan.chat_90.apk,338,181,89,68,0.26331360946745563
app.michaelwuensch.bitbanana_79.apk,0,0,0,0,0.0
app.plugbrain.android_154.apk,279,257,20,2,0.07168458781362007
app.pwhs.universalinstaller_24.apk,318,251,14,53,0.0440251572327044
at.linuxtage.Eventfahrplan_1700028.apk,287,221,17,49,0.059233449477351915
at.techbee.jtx_216000015.apk,299,264,14,21,0.046822742474916385
be.digitalia.fosdem_2300230.apk,369,175,17,177,0.04607046070460705
br.com.colman.petals_3040000.apk,348,264,44,40,0.12643678160919541
cc.sovellus.vrcaa_300007.apk,396,373,14,9,0.03535353535353535
ch.digitale_gesellschaft.winterkongress.schedule_118.apk,152,93,12,47,0.07894736842105263
ch.famoser.mensa_71.apk,312,296,10,6,0.03205128205128205
ch.joshuah.bibleverseapp_8.apk,341,114,38,189,0.11143695014662756
ch.rmy.android.http_shortcuts_1104060001.apk,216,163,11,42,0.05092592592592592
co.epitre.aelf_lectures_86.apk,327,202,21,104,0.06422018348623854
com.a4a.g8invoicing_50.apk,337,165,113,59,0.3353115727002967
com.absinthe.libchecker_2671.apk,277,220,5,52,0.018050541516245487
com.antony.muzei.pixiv_327.apk,386,318,7,61,0.018134715025906734
com.apps.adrcotfas.goodtime_348.apk,344,250,66,28,0.19186046511627908
com.arslan.shizuwall_40.apk,358,209,44,105,0.12290502793296089
com.beemdevelopment.aegis_81.apk,321,224,62,35,0.19314641744548286
com.blacksquircle.ui_10028.apk,327,220,60,47,0.1834862385321101
com.celzero.bravedns_619.apk,367,274,53,40,0.1444141689373297
com.cointrend_10304.apk,334,284,28,22,0.08383233532934131
com.craxiom.networksurvey_114.apk,276,214,15,47,0.05434782608695652
com.daniebeler.pfpixelix_40.apk,302,250,37,15,0.12251655629139073
com.darkrockstudios.app.securecamera_31.apk,309,235,37,37,0.11974110032362459
com.darkrockstudios.apps.fasttrack_40.apk,305,243,18,44,0.05901639344262295
com.darkrockstudios.apps.hammer.android_303020000.apk,307,215,49,43,0.15960912052117263
com.defname.localshare_14.apk,353,244,42,67,0.11898016997167139
com.dessalines.habitmaker_5501.apk,370,229,48,93,0.12972972972972974
com.dessalines.rankmyfavs_44.apk,356,229,33,94,0.09269662921348315
com.dessalines.thumbkey_179.apk,377,261,29,87,0.07692307692307693
com.ds.avare_404.apk,343,279,16,48,0.04664723032069971
com.etesync.syncadapter_20700.apk,211,107,74,30,0.35071090047393366
com.faltenreich.diaguard_68.apk,308,137,42,129,0.13636363636363635
com.flauschcode.broccoli_1040400.apk,299,209,16,74,0.05351170568561873
com.floflacards.app_14.apk,531,509,22,0,0.04143126177024482
com.flxrs.dankchat_40038.apk,272,227,28,17,0.10294117647058823
com.fredhappyface.ewesticker_20250217.apk,371,363,0,8,0.0
com.gasperpintar.smokingtracker_12.apk,334,273,15,46,0.04491017964071856
com.gaurav.avnc_51.apk,284,183,41,60,0.1443661971830986
com.gelakinetic.mtgfam_99.apk,192,147,24,21,0.125
com.github.cvzi.screenshottile_148.apk,378,319,2,57,0.005291005291005291
com.github.gotify_35.apk,274,212,24,38,0.08759124087591241
com.github.livingwithhippos.unchained_60.apk,313,239,19,55,0.06070287539936102
com.gpl.rpg.AndorsTrail_85.apk,217,190,3,24,0.013824884792626729
com.hegocre.nextcloudpasswords_38.apk,271,230,22,19,0.08118081180811808
com.hwloc.lstopo_80283.apk,201,102,4,95,0.01990049751243781
com.ivanovsky.passnotes_11700.apk,301,235,18,48,0.059800664451827246
com.iyps_158.apk,125,120,1,4,0.008
com.js.nowakelock_87.apk,275,206,33,36,0.12
com.kin.easynotes_14.apk,286,229,27,30,0.0944055944055944
com.kolktech.linxshare_22.apk,327,240,19,68,0.0581039755351682
com.kwasow.musekit_1721768604.apk,346,174,129,43,0.37283236994219654
com.kylecorry.trail_sense_145.apk,375,208,99,68,0.264
com.learntube.app_1009.apk,283,177,14,92,0.04946996466431095
com.leekleak.trafficlight_38.apk,464,222,218,24,0.4698275862068966
com.luk.saucenao_27.apk,372,208,69,95,0.18548387096774194
com.manimarank.spell4wiki_21.apk,341,196,31,114,0.09090909090909091
com.matedroid_178120864.apk,300,253,0,47,0.0
com.mateusrodcosta.apps.share2storage_34.apk,378,258,30,90,0.07936507936507936
com.mateusrodcosta.apps.vidyamusic_2200.apk,267,172,8,87,0.0299625468164794
com.mensinator.app_24.apk,69,43,13,13,0.18840579710144928
com.micoyc.speakthat_58.apk,306,209,14,83,0.0457516339869281
com.module.notelycompose.android_33.apk,369,238,82,49,0.2222222222222222
com.nononsenseapps.feeder.play_4025.apk,337,260,34,43,0.10089020771513353
com.ominous.quickweather_112.apk,308,237,2,69,0.006493506493506494
com.orgzlyrevived_284.apk,293,227,26,40,0.08873720136518772
com.owncloud.android_48000100.apk,316,167,66,83,0.2088607594936709
com.password.monitor_102.apk,3,1,1,1,0.3333333333333333
com.phpbg.easysync_25.apk,582,500,82,0,0.140893470790378
com.quantum_prof.phantalandwaittimes_5.apk,318,260,36,22,0.11320754716981132
com.rastislavkish.vscan_24.apk,329,260,52,17,0.1580547112462006
com.rtbishop.look4sat_410.apk,376,241,50,85,0.13297872340425532
com.sakethh.linkora_50.apk,380,334,3,43,0.007894736842105263
com.sapuseven.untis_29198884.apk,296,189,55,52,0.1858108108108108
com.schwegelbin.openbible_46.apk,110,72,25,13,0.22727272727272727
com.serwylo.beatgame_35.apk,0,0,0,0,0.0
com.serwylo.retrowars_70.apk,0,0,0,0,0.0
