apk,tool,rep,timeout,vm,container,logcat_bytes,reason
app.michaelwuensch.bitbanana_79.apk,qtesting,1,60,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,2,60,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,3,60,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,1,180,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,2,180,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,3,180,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,1,300,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,2,300,m1,exp_00,88,no_launchable_activity
app.michaelwuensch.bitbanana_79.apk,qtesting,3,300,m1,exp_00,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,1,60,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,2,60,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,3,60,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,1,180,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,2,180,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,3,180,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,1,300,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,2,300,m1,exp_01,88,no_launchable_activity
com.apps.adrcotfas.goodtime_348.apk,qtesting,3,300,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,1,60,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,2,60,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,3,60,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,1,180,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,2,180,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,3,180,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,1,300,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,2,300,m1,exp_01,88,no_launchable_activity
com.celzero.bravedns_619.apk,qtesting,3,300,m1,exp_01,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,1,60,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,2,60,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,3,60,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,1,180,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,2,180,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,3,180,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,1,300,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,2,300,m1,exp_02,88,no_launchable_activity
com.daniebeler.pfpixelix_40.apk,qtesting,3,300,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,1,60,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,2,60,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,3,60,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,1,180,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,2,180,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,3,180,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,1,300,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,2,300,m1,exp_02,88,no_launchable_activity
com.dede.android_eggs_76.apk,qtesting,3,300,m1,exp_02,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,1,60,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,2,60,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,3,60,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,1,180,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,2,180,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,3,180,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,1,300,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,2,300,m1,exp_03,88,no_launchable_activity
com.gaurav.avnc_51.apk,qtesting,3,300,m1,exp_03,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,1,60,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,2,60,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,3,60,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,1,180,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,2,180,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,3,180,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,1,300,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,2,300,m2,exp_02,88,no_launchable_activity
com.sakethh.linkora_50.apk,qtesting,3,300,m2,exp_02,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,1,60,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,2,60,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,3,60,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,1,180,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,2,180,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,3,180,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,1,300,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,2,300,m2,exp_03,88,no_launchable_activity
com.tk.quicksearch_65.apk,qtesting,3,300,m2,exp_03,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,1,60,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,2,60,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,3,60,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,1,180,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,2,180,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,3,180,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,1,300,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,2,300,m3,exp_00,88,no_launchable_activity
dev.leonlatsch.photok_62.apk,qtesting,3,300,m3,exp_00,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,1,60,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,2,60,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,3,60,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,1,180,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,2,180,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,3,180,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,1,300,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,2,300,m3,exp_01,88,no_launchable_activity
inc.flide.vi8_170500.apk,qtesting,3,300,m3,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.calendar_20.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.keyboard_14.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.math_10.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.messages_20.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.musicplayer_14.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.notes_13.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.paint_7.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,1,60,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,2,60,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,3,60,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,1,180,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,2,180,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,3,180,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,1,300,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,2,300,m4,exp_01,88,no_launchable_activity
org.fossify.voicerecorder_18.apk,qtesting,3,300,m4,exp_01,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,1,60,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,2,60,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,3,60,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,1,180,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,2,180,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,3,180,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,1,300,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,2,300,m4,exp_02,88,no_launchable_activity
org.isoron.uhabits_20301.apk,qtesting,3,300,m4,exp_02,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,1,60,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,2,60,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,3,60,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,1,180,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,2,180,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,3,180,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,1,300,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,2,300,m4,exp_03,88,no_launchable_activity
org.wikipedia_50595.apk,qtesting,3,300,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,1,60,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,2,60,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,3,60,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,1,180,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,2,180,m4,exp_03,88,no_launchable_activity
ua.com.radiokot.lnaddr2invoice_8.apk,qtesting,3,180,m4,exp_03,88,no_launchable_activity
