apk,funnel_stage,manifest_package,Mneut,detected_package,relation,cov_denylisted
app.pachli_50.apk,filtered_pkgdet_scope,app.pachli.current,app.pachli,app.pachli.core,Mneut_prefix_of_detected,False
com.afkanerd.deku_83.apk,filtered_pkgdet_scope,com.afkanerd.deku,com.afkanerd.deku,com.afkanerd,detected_prefix_of_Mneut,False
com.jerboa_87.apk,filtered_pkgdet_scope,com.jerboa.debug,com.jerboa,com.jerboa.MainActivity,Mneut_prefix_of_detected,False
de.markusfisch.android.binaryeye_174.apk,filtered_pkgdet_scope,de.markusfisch.android.binaryeye.debug,de.markusfisch.android.binaryeye,de.markusfisch.android,detected_prefix_of_Mneut,False
net.osmtracker_73.apk,filtered_pkgdet_scope,net.osmtracker,net.osmtracker,net.osmtracker.activity,Mneut_prefix_of_detected,False
org.fossify.calendar_20.apk,filtered_pkgdet_scope,org.fossify.calendar.debug,org.fossify.calendar,org.fossify,detected_prefix_of_Mneut,False
org.fossify.keyboard_14.apk,filtered_pkgdet_scope,org.fossify.keyboard.debug,org.fossify.keyboard,org.fossify,detected_prefix_of_Mneut,False
org.fossify.math_10.apk,filtered_pkgdet_scope,org.fossify.math.debug,org.fossify.math,org.fossify,detected_prefix_of_Mneut,False
org.fossify.messages_20.apk,filtered_pkgdet_scope,org.fossify.messages.debug,org.fossify.messages,org.fossify,detected_prefix_of_Mneut,False
org.fossify.musicplayer_14.apk,filtered_pkgdet_scope,org.fossify.musicplayer.debug,org.fossify.musicplayer,org.fossify,detected_prefix_of_Mneut,False
org.fossify.notes_13.apk,filtered_pkgdet_scope,org.fossify.notes.debug,org.fossify.notes,org.fossify,detected_prefix_of_Mneut,False
org.fossify.paint_7.apk,filtered_pkgdet_scope,org.fossify.paint.debug,org.fossify.paint,org.fossify,detected_prefix_of_Mneut,False
org.fossify.voicerecorder_18.apk,filtered_pkgdet_scope,org.fossify.voicerecorder.debug,org.fossify.voicerecorder,org.fossify,detected_prefix_of_Mneut,False
org.wikipedia_50595.apk,filtered_pkgdet_scope,org.wikipedia,org.wikipedia,org.wikipedia.diff,Mneut_prefix_of_detected,False
swati4star.createpdf_110.apk,filtered_pkgdet_scope,swati4star.createpdf,swati4star.createpdf,swati4star.createpdf.activity,Mneut_prefix_of_detected,False
ua.com.radiokot.photoprism_67.apk,filtered_pkgdet_scope,ua.com.radiokot.photoprism.debug,ua.com.radiokot.photoprism,ua.com.radiokot,detected_prefix_of_Mneut,False
br.com.colman.petals_3040000.apk,selected,br.com.colman.petals.debug,br.com.colman.petals,br.com.colman,detected_prefix_of_Mneut,False
ch.rmy.android.http_shortcuts_1104060001.apk,selected,ch.rmy.android.http_shortcuts.debug,ch.rmy.android.http_shortcuts,ch.rmy.android,detected_prefix_of_Mneut,False
com.antony.muzei.pixiv_327.apk,selected,com.antony.muzei.pixiv.dev,com.antony.muzei.pixiv,com.antony.muzei,detected_prefix_of_Mneut,False
com.darkrockstudios.app.securecamera_31.apk,selected,com.darkrockstudios.app.securecamera.debug,com.darkrockstudios.app.securecamera,com.darkrockstudios.app,detected_prefix_of_Mneut,False
com.darkrockstudios.apps.fasttrack_40.apk,selected,com.darkrockstudios.apps.fasttrack.dev,com.darkrockstudios.apps.fasttrack,com.darkrockstudios.apps,detected_prefix_of_Mneut,False
com.github.cvzi.screenshottile_148.apk,selected,com.github.cvzi.screenshottile.debug,com.github.cvzi.screenshottile,com.github.cvzi,detected_prefix_of_Mneut,False
com.github.livingwithhippos.unchained_60.apk,selected,com.github.livingwithhippos.unchained.debug,com.github.livingwithhippos.unchained,com.github.livingwithhippos,detected_prefix_of_Mneut,False
com.mateusrodcosta.apps.share2storage_34.apk,selected,com.mateusrodcosta.apps.share2storage.debug,com.mateusrodcosta.apps.share2storage,com.mateusrodcosta.apps,detected_prefix_of_Mneut,False
com.mateusrodcosta.apps.vidyamusic_2200.apk,selected,com.mateusrodcosta.apps.vidyamusic.debug,com.mateusrodcosta.apps.vidyamusic,com.mateusrodcosta.apps,detected_prefix_of_Mneut,False
de.markusfisch.android.shadereditor_93.apk,selected,de.markusfisch.android.shadereditor.debug,de.markusfisch.android.shadereditor,de.markusfisch.android,detected_prefix_of_Mneut,False
io.github.jd1378.otphelper_52000.apk,selected,io.github.jd1378.otphelper,io.github.jd1378.otphelper,io.github.jd1378,detected_prefix_of_Mneut,False
it.niedermann.owncloud.notes_340000090.apk,selected,it.niedermann.owncloud.notes,it.niedermann.owncloud.notes,it.niedermann.owncloud,detected_prefix_of_Mneut,False
org.glpi.inventory.agent_39469.apk,selected,org.glpi.inventory.agent,org.glpi.inventory.agent,org.glpi.inventory,detected_prefix_of_Mneut,False
org.musicbrainz.picard.barcodescanner_38.apk,selected,org.musicbrainz.picard.barcodescanner.debug,org.musicbrainz.picard.barcodescanner,org.musicbrainz.picard,detected_prefix_of_Mneut,False
