app,screenshot,success,distance,response_time,parsing_success,available_elements,coordinates_x,coordinates_y,element_description,temperature,error
com.sam.hex_16.apk,011.png,True,0.0,1.310572624206543,True,3,775,1100,OK,0.05,
com.sam.hex_16.apk,012.png,True,0.0,1.5965704917907715,True,3,540,918,grid size input field,0.05,
com.sam.hex_16.apk,021.png,True,0.0,1.3379223346710205,True,5,327,685,Start Game,0.05,
com.sam.hex_16.apk,013.png,True,0.0,1.3597111701965332,True,3,540,916,Timer dropdown,0.05,
com.sam.hex_16.apk,017.png,True,0.0,2.334047555923462,True,5,540,359,Player1's Type: Computer (Will),0.05,
byrne.utilities.hashpass_2.apk,004.png,True,0.0,1.295400857925415,True,5,540,635,Generate,0.05,
byrne.utilities.hashpass_2.apk,001.png,True,0.0,1.3351209163665771,True,1,894,1100,OK button,0.05,
byrne.utilities.hashpass_2.apk,003.png,True,0.0,1.2803475856781006,True,4,856,643,SHA256,0.05,
byrne.utilities.hashpass_2.apk,007.png,True,0.0,1.4074580669403076,True,5,540,635,Generate,0.05,
byrne.utilities.hashpass_2.apk,006.png,True,0.0,1.4398455619812012,True,5,540,635,Generate,0.05,
com.github.axet.hourlyreminder_476.apk,011.png,True,0.0,1.362609624862671,True,53,772,307,Show 30-minutes checkbox,0.05,
com.github.axet.hourlyreminder_476.apk,029.png,True,0.0,1.4327178001403809,True,12,540,805,Application Theme,0.05,
com.github.axet.hourlyreminder_476.apk,012.png,True,0.0,1.5965516567230225,True,25,252,752,T (Tuesday),0.05,
com.github.axet.hourlyreminder_476.apk,027.png,True,0.0,1.3638620376586914,True,6,160,766,Duration input field,0.05,
com.github.axet.hourlyreminder_476.apk,025.png,True,0.0,1.6327269077301025,True,2,709,1050,CANCEL button in Reduce Volume popup,0.05,
