param_combination,temperature,top_p,top_k,success_rate,avg_time,avg_distance,total_tests
T0.1_P0.8_K30,0.1,0.8,30,78.83597883597884,2.3509810614207436,1.0361721746239785,189
T0.1_P0.8_K40,0.1,0.8,40,79.58115183246073,2.3485520697388975,0.7105263157894737,191
T0.1_P0.8_K50,0.1,0.8,50,80.42328042328042,2.356857868729445,0.4868421052631579,189
T0.1_P0.9_K30,0.1,0.9,30,80.10471204188482,2.3496878858636188,0.48366013071895425,191
T0.1_P0.9_K40,0.1,0.9,40,79.05759162303664,2.348903644771476,1.022448039860747,191
T0.1_P0.9_K50,0.1,0.9,50,79.16666666666666,2.362493763367335,0.7105263157894737,192
T0.1_P0.95_K30,0.1,0.95,30,80.42328042328042,2.338027593320009,0.5131578947368421,189
T0.1_P0.95_K40,0.1,0.95,40,80.72916666666666,2.3531754836440086,0.6709677419354839,192
T0.1_P0.95_K50,0.1,0.95,50,78.53403141361257,2.355131403938014,0.49333333333333335,191
T0.15_P0.8_K30,0.15,0.8,30,80.95238095238095,2.3379179220350963,0.7058823529411765,189
T0.15_P0.8_K40,0.15,0.8,40,80.85106382978722,2.361956738411112,0.4868421052631579,188
T0.15_P0.8_K50,0.15,0.8,50,80.0,2.3577460163518,0.8183529869669264,190
T0.15_P0.9_K30,0.15,0.9,30,79.25531914893617,2.3538944505630655,0.9489238524763276,188
T0.15_P0.9_K40,0.15,0.9,40,80.20833333333334,2.3545179491241774,1.1469202727043675,192
T0.15_P0.9_K50,0.15,0.9,50,78.94736842105263,2.3341836916772944,0.8292643601264854,190
T0.15_P0.95_K30,0.15,0.95,30,79.48717948717949,2.351008592507778,0.8,195
T0.15_P0.95_K40,0.15,0.95,40,78.80434782608695,2.3310034106607023,0.8578596828894677,184
T0.15_P0.95_K50,0.15,0.95,50,78.42105263157895,2.3406538913124484,0.8053691275167785,190
T0.2_P0.8_K30,0.2,0.8,30,79.14438502673798,2.324851056471228,1.1539142434996326,187
T0.2_P0.8_K40,0.2,0.8,40,80.10471204188482,2.3414257508921996,0.8512161305718942,191
T0.2_P0.8_K50,0.2,0.8,50,80.6282722513089,2.334012448475623,0.7298029481751481,191
T0.2_P0.9_K30,0.2,0.9,30,80.74866310160428,2.347273732251662,1.2053998411618903,187
T0.2_P0.9_K40,0.2,0.9,40,80.31914893617021,2.3554560554788466,0.2185430463576159,188
T0.2_P0.9_K50,0.2,0.9,50,79.8941798941799,2.3420434553156455,0.847682119205298,189
T0.2_P0.95_K30,0.2,0.95,30,77.4869109947644,2.352684157056958,0.7837837837837838,191
T0.2_P0.95_K40,0.2,0.95,40,77.77777777777779,2.3497029107714456,1.129251700680272,189
T0.2_P0.95_K50,0.2,0.95,50,79.34782608695652,2.3359550535678864,0.6393509250675171,184
T0.25_P0.8_K30,0.25,0.8,30,78.6096256684492,2.343957996623401,0.7074829931972789,187
T0.25_P0.8_K40,0.25,0.8,40,78.94736842105263,2.3343179702758787,0.7,190
T0.25_P0.8_K50,0.25,0.8,50,81.57894736842105,2.3446572027708354,0.9057397033482116,190
T0.25_P0.9_K30,0.25,0.9,30,77.720207253886,2.3584769550382783,0.4666666666666667,193
T0.25_P0.9_K40,0.25,0.9,40,80.21390374331551,2.35654947719472,0.6533333333333333,187
T0.25_P0.9_K50,0.25,0.9,50,78.94736842105263,2.3635174801475123,0.7292643601264853,190
T0.25_P0.95_K30,0.25,0.95,30,77.89473684210526,2.349178728304411,0.9662162162162162,190
T0.25_P0.95_K40,0.25,0.95,40,79.67914438502673,2.3406324641589813,1.1358125367617435,187
T0.25_P0.95_K50,0.25,0.95,50,77.77777777777779,2.351170469213415,0.5714285714285714,189
T0.3_P0.8_K30,0.3,0.8,30,77.2020725388601,2.3581042833278834,1.0924785774358765,193
T0.3_P0.8_K40,0.3,0.8,40,78.75647668393782,2.3518030668169723,0.9868421052631579,193
T0.3_P0.8_K50,0.3,0.8,50,80.52631578947368,2.3470994535245393,1.050845150574808,190
T0.3_P0.9_K30,0.3,0.9,30,79.79274611398964,2.364856917623411,1.0949722207563157,193
T0.3_P0.9_K40,0.3,0.9,40,77.77777777777779,2.347085188305567,1.1070400617607505,189
T0.3_P0.9_K50,0.3,0.9,50,77.17391304347827,2.3628285592016964,1.3830257325279776,184
T0.3_P0.95_K30,0.3,0.95,30,80.20833333333334,2.3674041156967482,1.1428571428571428,192
T0.3_P0.95_K40,0.3,0.95,40,77.54010695187165,2.3640207887333347,0.7172413793103448,187
T0.3_P0.95_K50,0.3,0.95,50,79.58115183246073,2.3718602906971076,1.2022032176238837,191
