kid,nobs,art,other,r,tool,timeout,apk,status,sustained
0,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
1,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
2,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
3,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
4,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
5,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
6,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
7,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
8,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
9,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
10,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
11,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
12,True,False,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
13,True,True,False,1.0,ape,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
14,True,False,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
15,True,True,False,1.0,ape,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
16,True,False,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
17,True,True,False,1.0,ape,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
18,True,False,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
19,True,True,False,1.0,ares,60,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
20,True,False,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
21,True,True,False,1.0,ares,180,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
22,True,False,False,1.0,ares,300,app.eduroam.geteduroam_2685.apk,NOBS:LEGIT_UNOBSERVABLE,False
