id,cls,method,spec,code,category,mechanism,root,provenance,evidence,version,confidence,notes,group
13,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,"O KeyManager[] é o literal null em sslContext.init(null, …): cliente sem certificado de cliente, sem material de chave algum.","jca_android/SSLContextSpec.mop:222-230 ; jca_android/KeyManagerFactorySpec.mop:173-176 (gkm1, ensure incondicional sobre o array retornado) ; okhttp-3.14.9/okhttp3/OkHttpClient.java:261-264",com.squareup.okhttp3:okhttp:3.14.9,alta,APKs com.cointrend e com.faltenreich.diaguard; okhttp 3.14.9 trazido por retrofit (2.11.0/2.9.0); linhas 264/640 só casam com 3.14.9 (3.12.13 tem 290/667).,G1
13,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,copy_loses_identity,,"O TrustManager[] é new TrustManager[]{trustManager}, um array novo que embrulha o elemento [0] do array devolvido por getTrustManagers() em Util.platformTrustManager() sobre o trust store padrão do sistema.","jca_android/SSLContextSpec.mop:231-239 ; jca_android/TrustManagerFactorySpec.mop:215-218 (gtm1, ensure incondicional sobre o array retornado) ; rv-monitor BaseMonitor.java:538-551 (corpo do evento emitido antes da transição) ; okhttp-3.14.9/okhttp3/OkHttpClient.java:264 ; okhttp-3.14.9/okhttp3/OkHttpClient.java:224-229 (único chamador, ramo builder.sslSocketFactory == null) ; okhttp-3.14.9/okhttp3/internal/Util.java:636-646",com.squareup.okhttp3:okhttp:3.14.9,alta,Não é cascata de TRUSTMANAGERFACTORY-NOBS-00: gtm1 garante o predicado no array retornado sem depender de veredito; o predicado se perde porque o OkHttp cria outro array. newSslSocketFactory é private static e só roda quando o app não passou sslSocketFactory próprio.,G1
13,okhttp3.OkHttpClient,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,"O SecureRandom é o literal null, que delega ao gerador padrão do provedor.",jca_android/SSLContextSpec.mop:240-248 ; jca_android/SecureRandomSpec.mop:384 ; rvsec-core PredicateStore.java:343-345 (null -> NOT_OBSERVED) ; okhttp-3.14.9/okhttp3/OkHttpClient.java:264,com.squareup.okhttp3:okhttp:3.14.9,alta,,G1
14,okhttp3.internal.Util,platformTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,trustManagerFactory.init((KeyStore) null) com literal null: pede o trust store padrão do sistema (CAs do Android).,jca_android/TrustManagerFactorySpec.mop:146-155 ; jca_android/KeyStoreSpec.mop:196 (único produtor de GENERATED_KEY_STORE) ; rvsec-core PredicateStore.java:343-345 ; okhttp-3.14.9/okhttp3/internal/Util.java:640,com.squareup.okhttp3:okhttp:3.14.9,alta,"Todas as chamadas do mesmo fator também levam TRUSTMANAGERFACTORY-ORDER-00 (Util.java:638/640/641), família fora deste censo.",G1
15,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,null_no_client_keymanager,,"O KeyManager[] é o literal null em init(null, arrayOf<TrustManager>(trustManager), null), idêntico em todas as seis versões do okhttp encontradas: cliente sem certificado de cliente.","jca_android/SSLContextSpec.mop:222-230 ; jca_android/KeyManagerFactorySpec.mop:173-176 (gkm1, ensure incondicional sobre o array retornado) ; okhttp-4.8.1/okhttp3/internal/platform/Platform.kt:157-160 ; okhttp-4.12.0/okhttp3/internal/platform/Platform.kt:165-168 ; okhttp-jvm-5.0.0-alpha.12/jvmMain/okhttp3/internal/platform/Platform.kt:177-180 ; okhttp-5.0.0-alpha.14/main/okhttp3/internal/platform/Platform.kt:188-191 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:190-194 ; okhttp-5.4.0/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:193-197",com.squareup.okhttp3:okhttp:4.8.1|4.9.x-4.12.0|5.0.0-alpha.12|5.0.0-alpha.14|5.3.2|5.4.0,alta,"52 APKs; versões por assinatura de linha: 160=4.8.x (3 APKs), 168=4.9.x-4.12.0 (24), 180=5.0.0-alpha.12 (pixiv), 191=5.0.0-alpha.14 (parceltracker), 194=5.3.2 (19), 197=5.4.0 (4). Em pachli/http_shortcuts/etesync o SSLContext é o Conscrypt empacotado (insertProviderAt 1), e esse null dispara SSLParametersImpl.createDefaultX509KeyManager (id 60).",G1
15,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,copy_loses_identity,,"O TrustManager[] é arrayOf<TrustManager>(trustManager), array novo em volta do X509TrustManager que o OkHttpClient acabou de obter de Platform.platformTrustManager() (factory.init(null) + trustManagers[0]), ou seja, o trust manager padrão do sistema.","jca_android/SSLContextSpec.mop:231-239 ; jca_android/TrustManagerFactorySpec.mop:215-218 (gtm1, ensure incondicional sobre o array retornado) ; rv-monitor BaseMonitor.java:538-551 (corpo do evento emitido antes da transição) ; okhttp-4.8.1/okhttp3/internal/platform/Platform.kt:157-160 ; okhttp-4.12.0/okhttp3/internal/platform/Platform.kt:165-168 ; okhttp-jvm-5.0.0-alpha.12/jvmMain/okhttp3/internal/platform/Platform.kt:177-180 ; okhttp-5.0.0-alpha.14/main/okhttp3/internal/platform/Platform.kt:188-191 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:190-194 ; okhttp-5.4.0/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:193-197 ; okhttp-4.12.0/okhttp3/OkHttpClient.kt:236-238 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/OkHttpClient.kt:290-292 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:78-88",com.squareup.okhttp3:okhttp:4.8.1|4.9.x-4.12.0|5.0.0-alpha.12|5.0.0-alpha.14|5.3.2|5.4.0,alta,"Único chamador de Platform.newSslSocketFactory no okhttp e nos 52 apps: OkHttpClient.init no ramo sem sslSocketFactory do builder (AndroidPlatform/Android10Platform não sobrescrevem; ConscryptPlatform não é escolhida no Android). Nenhum app chama Platform.get().newSslSocketFactory; os trust managers próprios (trust-all em passnotes, matedroid, nextcloudcookbook, pixiv, linkora, bitbanana, http_shortcuts) entram por builder.sslSocketFactory(sf, tm) e desviam deste método, logo não pertencem a este site. A falta do predicado não é cascata de TRUSTMANAGERFACTORY-NOBS-00: gtm1 garante incondicionalmente, e mesmo assim o array lido é outro objeto.",G1
15,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLContextSpec,SSLCONTEXT-NOBS-02,LEGIT_UNOBSERVABLE,null_default_securerandom,,"O SecureRandom é o literal null, que delega ao gerador padrão do provedor TLS.",jca_android/SSLContextSpec.mop:240-248 ; jca_android/SecureRandomSpec.mop:384 ; rvsec-core PredicateStore.java:343-345 (null -> NOT_OBSERVED) ; okhttp-4.8.1/okhttp3/internal/platform/Platform.kt:157-160 ; okhttp-4.12.0/okhttp3/internal/platform/Platform.kt:165-168 ; okhttp-jvm-5.0.0-alpha.12/jvmMain/okhttp3/internal/platform/Platform.kt:177-180 ; okhttp-5.0.0-alpha.14/main/okhttp3/internal/platform/Platform.kt:188-191 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:190-194 ; okhttp-5.4.0/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:193-197,com.squareup.okhttp3:okhttp:4.8.1|4.9.x-4.12.0|5.0.0-alpha.12|5.0.0-alpha.14|5.3.2|5.4.0,alta,,G1
16,okhttp3.internal.platform.Platform,platformTrustManager,TrustManagerFactorySpec,TRUSTMANAGERFACTORY-NOBS-00,LEGIT_UNOBSERVABLE,null_default_truststore,,factory.init(null as KeyStore?) com literal null: o trust store padrão do sistema; é assim em todas as versões (4.8.1 a 5.4.0).,jca_android/TrustManagerFactorySpec.mop:146-155 ; jca_android/KeyStoreSpec.mop:196 (único produtor de GENERATED_KEY_STORE) ; rvsec-core PredicateStore.java:343-345 ; okhttp-4.8.1/okhttp3/internal/platform/Platform.kt:80 ; okhttp-4.12.0/okhttp3/internal/platform/Platform.kt:80 ; okhttp-jvm-5.0.0-alpha.12/jvmMain/okhttp3/internal/platform/Platform.kt:84 ; okhttp-5.0.0-alpha.14/main/okhttp3/internal/platform/Platform.kt:85 ; okhttp-5.3.2/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:83 ; okhttp-5.4.0/commonJvmAndroid/okhttp3/internal/platform/Platform.kt:83,com.squareup.okhttp3:okhttp:4.8.1|4.9.x-4.12.0|5.0.0-alpha.12|5.0.0-alpha.14|5.3.2|5.4.0,alta,"54 APKs = os 52 do id 15 + co.epitre.aelf_lectures (4.12.0) e net.phbwt.paperwork (5.3.2), que chegam aqui por HandshakeCertificates.Builder.addPlatformTrustedCertificates() (okhttp-tls). Linha 80 = 4.x, 83 = 5.3.2/5.4.0, 84 = alpha.12, 85 = alpha.14. Todas as chamadas levam também TRUSTMANAGERFACTORY-ORDER-00.",G1
17,okhttp3.tls.HandshakeCertificates,sslContext,SSLContextSpec,SSLCONTEXT-NOBS-00,LEGIT_UNOBSERVABLE,copy_loses_identity,,"O KeyManager[] é arrayOf<KeyManager>(keyManager), array novo em volta de keyManagers[0] de um KeyManagerFactory inicializado em TlsUtil.newKeyManager sobre um KeyStore vazio carregado ali mesmo (nenhum heldCertificate nos caminhos observados).","jca_android/SSLContextSpec.mop:222-230 ; jca_android/KeyManagerFactorySpec.mop:173-176 (gkm1, ensure incondicional sobre o array retornado) ; okhttp-tls-4.12.0/okhttp3/tls/HandshakeCertificates.kt:92-96 ; okhttp-tls-5.3.2/okhttp3/tls/HandshakeCertificates.kt:95-98 ; okhttp-tls-4.12.0/okhttp3/tls/internal/TlsUtil.kt:85-105 ; okhttp-tls-5.3.2/okhttp3/tls/internal/TlsUtil.kt:88-112 ; co.epitre.aelf_lectures_86.apk/app/src/main/java/co/epitre/aelf_lectures/lectures/data/api/EpitreApi.java:124-129 ; net.phbwt.paperwork_1003007.apk/app/src/main/java/net/phbwt/paperwork/data/Repository.kt:169-190",com.squareup.okhttp3:okhttp-tls:4.12.0|5.3.2,alta,"aelf (4.12.0, linha 94) nunca define heldCertificate; paperwork (5.3.2, linha 97) só define se clientPem existir, o que exige pareamento prévio. Chave vazia = sem autenticação de cliente.",G1
17,okhttp3.tls.HandshakeCertificates,sslContext,SSLContextSpec,SSLCONTEXT-NOBS-01,LEGIT_UNOBSERVABLE,copy_loses_identity,,"O TrustManager[] é arrayOf<TrustManager>(trustManager), array novo em volta de trustManagers[0] de um TrustManagerFactory inicializado em TlsUtil.newTrustManager sobre um KeyStore montado pelo app com raízes explícitas (ISRG Root X1 + raízes da plataforma no aelf; CA do servidor ou raízes da plataforma no paperwork).","jca_android/SSLContextSpec.mop:231-239 ; jca_android/TrustManagerFactorySpec.mop:215-218 (gtm1, ensure incondicional sobre o array retornado) ; rv-monitor BaseMonitor.java:538-551 (corpo do evento emitido antes da transição) ; okhttp-tls-4.12.0/okhttp3/tls/HandshakeCertificates.kt:92-96 ; okhttp-tls-5.3.2/okhttp3/tls/HandshakeCertificates.kt:95-98 ; okhttp-tls-5.3.2/okhttp3/tls/internal/TlsUtil.kt:50-75 ; co.epitre.aelf_lectures_86.apk/app/src/main/java/co/epitre/aelf_lectures/lectures/data/api/EpitreApi.java:124-129 ; net.phbwt.paperwork_1003007.apk/app/src/main/java/net/phbwt/paperwork/data/Repository.kt:174-190 ; net.phbwt.paperwork_1003007.apk/app/src/main/java/net/phbwt/paperwork/data/helper/PairingRunner.kt:139-152",com.squareup.okhttp3:okhttp-tls:4.12.0|5.3.2,média,"Divisão no paperwork: o fluxo de pareamento (PairingRunner.kt:139-144) usa addInsecureHost(address), que embrulha o trust manager em InsecureAndroidTrustManager e aceita qualquer certificado para aquele host; a impressão digital só é conferida depois da resposta, e o segredo Basic já foi enviado (PairingRunner.kt:170-190). Esse caminho exige o conteúdo de um QR code e é improvável sob as ferramentas automáticas; o caminho dominante é Repository.buildOkHttpClientWithoutCache, sem host inseguro. O veredito cobre o caminho dominante; se as linhas vierem do pareamento, o objeto seria MISUSE (trust-all por host) mas a NOBS continuaria sendo perda de identidade. Sem NOBS-02 aqui porque SecureRandom() é construído em código tecido e SecureRandomSpec o credita.",G1
