id,lib,cls,method,codes,apks,runs,src
0,bouncycastle,org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder,createRawSig,SIGNATURE#02,1,0,Unknown Source:13
1,bouncycastle,org.bouncycastle.operator.jcajce.JcaContentVerifierProviderBuilder$1,get,SIGNATURE#02,1,1,Unknown Source:46
2,ktor,io.ktor.network.tls.HashesKt,P_hash,MAC#00,4,0,Hashes.kt:23;Hashes.kt:24;Hashes.kt:26;Hashes.kt:28;Hashes.kt:29;Hashes.kt:31
3,ktor,io.ktor.network.tls.KeysKt,clientKey,SECRETKEYSPEC#01,4,184,Keys.kt:37
4,ktor,io.ktor.network.tls.KeysKt,masterSecret,SECRETKEYSPEC#00,4,184,Keys.kt:69
5,ktor,io.ktor.network.tls.KeysKt,serverKey,SECRETKEYSPEC#01,4,183,Keys.kt:30
6,ktor,io.ktor.network.tls.TLSClientHandshake,generatePreSecret,KEYAGREEMENT#08,4,184,TLSClientHandshake.kt:338;TLSClientHandshake.kt:362;TLSClientHandshake.kt:363
7,ktor,io.ktor.network.tls.TLSClientHandshake,handleServerDone,SECRETKEYSPEC#00,4,184,TLSClientHandshake.kt:316;TLSClientHandshake.kt:339;TLSClientHandshake.kt:340
8,ktor,io.ktor.network.tls.TLSClientHandshakeKt,generateECKeys,KEYFACTORY#01,4,184,TLSClientHandshake.kt:496;TLSClientHandshake.kt:522;TLSClientHandshake.kt:523
9,ktor,io.ktor.network.tls.TLSConfigBuilderKt,findTrustManager,TRUSTMANAGERFACTORY#00,4,0,TLSConfigBuilder.kt:153;TLSConfigBuilder.kt:159
10,ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmDecryptCipher,CIPHER#00 GCMPARAMETERSPEC#00 IVCHAINJUNCTION#01,4,183,GCMCipher.kt:107
11,ktor,io.ktor.network.tls.cipher.GCMCipherKt,gcmEncryptCipher,CIPHER#00 GCMPARAMETERSPEC#00 IVCHAINJUNCTION#01,4,184,GCMCipher.kt:74
12,ktor,io.ktor.util.NonceKt$nonceGeneratorJob$1,invokeSuspend,SECURERANDOM#00,1,0,Nonce.kt:43;Nonce.kt:63;Nonce.kt:66
13,okhttp,okhttp3.OkHttpClient,newSslSocketFactory,SSLCONTEXT#00 SSLCONTEXT#01 SSLCONTEXT#02,2,197,OkHttpClient.java:264
14,okhttp,okhttp3.internal.Util,platformTrustManager,TRUSTMANAGERFACTORY#00,2,0,Util.java:640
15,okhttp,okhttp3.internal.platform.Platform,newSslSocketFactory,SSLCONTEXT#00 SSLCONTEXT#01 SSLCONTEXT#02,52,3688,Platform.kt:160;Platform.kt:168;Platform.kt:180;Platform.kt:191;Platform.kt:194;Platform.kt:197
16,okhttp,okhttp3.internal.platform.Platform,platformTrustManager,TRUSTMANAGERFACTORY#00,54,0,Platform.kt:80;Platform.kt:83;Platform.kt:84;Platform.kt:85
17,okhttp,okhttp3.tls.HandshakeCertificates,sslContext,SSLCONTEXT#00 SSLCONTEXT#01,2,198,HandshakeCertificates.kt:94;HandshakeCertificates.kt:97
18,other,app.michaelwuensch.bitbanana.util.UtilFunctions,encodePbkdf2,PBEKEYSPEC#01 SECRETKEYFACTORY#00,1,0,UtilFunctions.java:93
19,other,at.bitfire.cert4android.CertUtils,getTrustManager,TRUSTMANAGERFACTORY#00,1,0,CertUtils.kt:22
20,other,ch.rmy.android.http_shortcuts.http.HttpClientFactory,configureTLS,SSLCONTEXT#00 SSLCONTEXT#01 SSLCONTEXT#02,1,23,HttpClientFactory.kt:211
21,other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,decryptWithKeyStore,CIPHER#00 GCMPARAMETERSPEC#00 IVCHAINJUNCTION#01,1,15,Cryptography.kt:109
22,other,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography,encryptWithKeyStore,CIPHER#00,1,99,Cryptography.kt:78
23,other,com.beemdevelopment.aegis.crypto.CryptoUtils,createCipher,CIPHER#00 GCMPARAMETERSPEC#00 IVCHAINJUNCTION#01,1,2,CryptoUtils.java:66
24,other,com.beemdevelopment.aegis.crypto.CryptoUtils,deriveKey,SECRETKEYSPEC#01,1,6,CryptoUtils.java:38
