apk,aperv:mop_on_llm_off__cov_method,aperv:mop_on_llm_off__cov_act,aperv:mop_on_llm_off__cov_mop,aperv:mop_on_llm_off__mop_unique,aperv:mop_on_llm_off__mop_total,aperv:mop_on_llm_off__crashes,aperv:mop_off_llm_off__cov_method,aperv:mop_off_llm_off__cov_act,aperv:mop_off_llm_off__cov_mop,aperv:mop_off_llm_off__mop_unique,aperv:mop_off_llm_off__mop_total,aperv:mop_off_llm_off__crashes,aperv:mop_on_llm_70__cov_method,aperv:mop_on_llm_70__cov_act,aperv:mop_on_llm_70__cov_mop,aperv:mop_on_llm_70__mop_unique,aperv:mop_on_llm_70__mop_total,aperv:mop_on_llm_70__crashes
at.linuxtage.Eventfahrplan_1700028.apk,49.8486,100.0,51.5451,7.0,78.3333,0.0,50.6661,100.0,52.5076,7.0,76.3333,0.0,48.9359,100.0,50.3166,7.0,42.6667,0.0
be.digitalia.fosdem_2300230.apk,63.0359,100.0,65.9127,5.0,56.6667,0.0,60.8396,81.4815,63.6111,5.0,33.3333,0.0,61.8527,100.0,64.246,5.0,26.6667,0.0
ch.digitale_gesellschaft.winterkongress.schedule_118.apk,47.3952,100.0,47.8662,7.0,112.6667,0.0,45.2203,91.6667,45.7082,7.0,110.6667,0.0,45.1066,100.0,45.0666,7.0,142.0,0.0
com.beemdevelopment.aegis_81.apk,24.712,92.8571,20.3616,1.0,1.3333,0.0,29.756,59.5238,26.007,0.3333,0.3333,0.0,29.5199,92.8571,25.4678,1.3333,2.3333,0.0
com.cointrend_10304.apk,58.5833,100.0,69.0584,7.0,106.6667,0.0,58.268,100.0,68.2713,7.0,111.3333,0.0,57.968,100.0,67.7263,7.0,66.6667,0.0
com.darkrockstudios.app.securecamera_31.apk,10.8758,100.0,10.0498,4.0,53.3333,0.0,10.8402,100.0,9.9502,4.0,45.0,0.0,10.769,100.0,9.7512,4.0,23.3333,0.0
com.darkrockstudios.apps.hammer.android_303020000.apk,44.543,100.0,42.9472,9.0,87.3333,0.0,43.1029,40.0,41.3207,9.0,92.3333,0.0,42.9917,100.0,41.0194,9.0,61.6667,0.0
com.defname.localshare_14.apk,43.5776,100.0,48.2759,1.0,16.6667,0.0,43.948,100.0,48.3409,1.0,15.6667,0.0,41.5839,100.0,47.018,1.0,7.3333,0.0
com.dessalines.habitmaker_5501.apk,66.8117,100.0,71.8239,0.0,0.0,0.0,67.5926,100.0,72.8616,0.0,0.0,0.0,69.9241,100.0,78.0503,0.0,0.0,0.0
com.faltenreich.diaguard_68.apk,65.697,100.0,78.3333,5.0,71.6667,0.0,61.8568,100.0,77.2222,5.0,53.3333,0.0,56.8164,100.0,81.1111,5.0,43.3333,0.0
com.flauschcode.broccoli_1040400.apk,65.4021,100.0,81.2121,0.0,0.0,0.0,66.5856,100.0,81.2121,0.0,0.0,0.0,64.6401,100.0,81.2121,0.0,0.0,0.0
com.hegocre.nextcloudpasswords_38.apk,16.2597,100.0,15.9099,10.0,231.0,0.0,5.6843,60.0,3.9951,10.0,154.0,0.0,14.0935,100.0,13.4812,10.0,95.3333,0.0
com.kin.easynotes_14.apk,54.9362,50.0,57.0805,0.0,0.0,0.0,56.3015,50.0,58.5611,0.6667,1.0,0.0,54.5807,50.0,56.0934,0.0,0.0,0.0
com.manimarank.spell4wiki_21.apk,31.9827,75.0,56.0284,5.0,30.0,0.0,34.6577,68.75,51.0638,5.0,41.6667,0.0,30.4878,64.5833,55.3191,5.0,16.6667,0.0
com.ominous.quickweather_112.apk,68.4573,100.0,57.1429,5.0,18.3333,0.0,65.3065,100.0,57.1429,5.0,25.0,0.0,64.9793,88.8889,57.1429,5.0,21.6667,0.0
com.owncloud.android_48000100.apk,13.6917,91.6667,13.7121,7.0,32.3333,0.0,11.6408,54.1667,11.1237,5.0,16.6667,0.0,12.2273,69.4444,12.3737,7.0,47.0,0.0
com.rastislavkish.vscan_24.apk,57.079,100.0,58.6033,0.0,0.0,0.0,49.23,78.5714,48.0202,0.0,0.0,0.0,39.0628,80.9524,37.365,0.0,0.0,0.0
com.smartpack.packagemanager_79.apk,45.436,100.0,59.2105,3.0,36.0,0.0,43.6227,81.8182,55.7018,3.0,36.0,0.0,41.035,100.0,51.3158,3.0,23.0,0.0
com.starry.greenstash_440.apk,43.919,100.0,42.6457,0.0,0.0,0.0,39.5193,50.0,37.7737,0.0,0.0,0.0,45.7891,100.0,44.3108,0.0,0.0,0.0
de.blau.android_3404.apk,31.5986,83.3333,23.4802,12.0,98.6667,0.0,33.8585,45.5556,25.859,10.3333,81.0,0.0,30.6664,56.6667,22.7166,12.0,135.6667,0.0
de.lukasneugebauer.nextcloudcookbook_62.apk,20.8129,100.0,20.9815,7.0,106.3333,0.0,21.9186,100.0,21.8148,7.0,103.0,0.0,15.6531,100.0,14.6481,7.0,44.3333,0.0
de.saschahlusiak.freebloks_181.apk,58.1564,100.0,59.2789,0.0,0.0,0.0,52.7285,75.0,52.2672,0.0,0.0,0.0,50.5761,100.0,48.1531,0.0,0.0,0.0
fr.gaulupeau.apps.InThePoche_234.apk,28.5696,74.0741,27.9279,5.0,50.0,0.0,27.5124,59.2593,27.4775,5.3333,37.3333,0.0,24.3931,59.2593,26.1261,5.3333,29.0,0.0
info.metadude.android.clt.schedule_117.apk,47.379,100.0,47.8689,7.0,119.3333,0.0,47.3508,91.6667,47.8689,7.0,104.0,0.0,45.5328,100.0,45.4045,7.0,163.6667,0.0
info.metadude.android.datenspuren.schedule_110.apk,50.5454,100.0,51.3965,7.0,125.3333,0.0,48.8545,100.0,48.9514,7.0,109.0,0.0,44.7492,100.0,44.4767,7.0,154.6667,0.0
info.metadude.android.fosdem.schedule_117.apk,49.6558,100.0,50.7007,7.0,125.0,0.0,48.0462,100.0,48.6518,7.0,101.3333,0.0,47.4461,100.0,47.5597,7.0,109.3333,0.0
info.metadude.android.fossgis.schedule_118.apk,48.5439,100.0,49.1543,7.0,113.6667,0.0,47.6014,100.0,47.9366,7.0,124.0,0.0,46.2035,100.0,46.197,7.0,90.6667,0.0
info.metadude.android.gpn.schedule_119.apk,49.1934,100.0,49.9952,7.0,112.3333,0.0,45.9564,91.6667,46.255,7.0,125.3333,0.0,45.3846,100.0,45.5011,7.0,102.6667,0.0
info.metadude.android.protocolberg.schedule_109.apk,47.8485,100.0,48.3715,7.0,101.6667,0.0,48.6569,100.0,49.4733,7.0,110.0,0.0,45.3563,100.0,45.3175,7.0,114.6667,0.0
io.github.samolego.canta_225.apk,60.1193,100.0,62.8359,0.0,0.0,0.0,59.86,100.0,62.064,0.0,0.0,0.0,57.5651,100.0,59.0051,0.0,0.0,0.0
jwtc.android.chess_283.apk,51.71,83.3333,100.0,5.0,15.0,0.0,50.1835,83.3333,100.0,5.0,10.0,0.0,51.0788,73.3333,66.6667,3.3333,8.3333,0.0
net.pfiers.osmfocus_1009013.apk,60.1277,100.0,61.1741,5.0,66.6667,0.0,55.3879,50.0,56.5933,5.0,50.0,0.0,54.4786,100.0,54.1917,5.0,29.0,0.0
net.phbwt.paperwork_1003007.apk,58.8095,100.0,67.2812,10.0,145.3333,0.0,48.472,100.0,51.4995,9.3333,77.6667,0.0,54.1855,100.0,59.0216,10.0,86.3333,0.0
org.cry.otp_31.apk,78.6942,100.0,72.7273,3.3333,7.6667,0.0,81.4433,100.0,63.6364,1.6667,2.3333,0.0,63.2302,100.0,39.3939,2.0,6.0,0.0
org.liberty.android.fantastischmemo_241.apk,51.509,71.9298,91.954,5.0,13.3333,0.0,60.147,77.193,80.4598,5.0,11.3333,0.0,44.5057,56.1404,75.8621,5.0,5.0,0.0
org.liberty.android.freeotpplus_26.apk,47.7554,100.0,38.2395,0.6667,1.0,0.0,31.6047,57.1429,24.6753,0.0,0.0,0.0,43.3179,100.0,34.0548,0.3333,0.6667,0.0
org.prauga.messages_8.apk,41.8541,100.0,37.2884,0.0,0.0,0.0,35.6479,66.6667,33.3517,0.0,0.0,0.0,46.0717,100.0,45.8057,0.0,0.0,0.0
rocks.poopjournal.metadataremover_20020.apk,33.9474,100.0,28.8732,2.0,66.0,0.0,33.7368,80.0,28.169,2.0,26.6667,0.0,33.807,100.0,28.7559,2.0,40.0,0.0
ua.acclorite.book_story_14.apk,39.0944,100.0,40.4436,0.0,0.0,0.0,36.989,50.0,37.7468,0.0,0.0,0.0,39.0725,100.0,40.1857,0.0,0.0,0.0
ua.com.radiokot.lnaddr2invoice_8.apk,77.7385,100.0,100.0,5.0,21.6667,0.0,87.1025,100.0,100.0,5.0,36.6667,0.0,79.9764,100.0,100.0,5.0,21.6667,0.0
