arm,apk,rep,calls,time_ms,tokens_in,tokens_out,matched,llm_tap,no_match,no_match_degenerate,no_match_boundary,no_match_other,mode_new_state,mode_stagnation,mode_random
aperv:mop_on_llm_70,at.linuxtage.Eventfahrplan_1700028.apk,1,400,440707,541637,10245,298,306,94,0,17,77,52,0,348
aperv:mop_on_llm_70,at.linuxtage.Eventfahrplan_1700028.apk,2,429,491189,568030,11011,348,355,74,0,3,71,56,0,373
aperv:mop_on_llm_70,at.linuxtage.Eventfahrplan_1700028.apk,3,500,559546,652745,12799,361,370,130,0,9,121,53,1,446
aperv:mop_on_llm_70,be.digitalia.fosdem_2300230.apk,1,549,646467,759475,14157,441,473,76,0,13,63,84,0,465
aperv:mop_on_llm_70,be.digitalia.fosdem_2300230.apk,2,502,598388,690364,12949,370,392,110,0,12,98,71,0,431
aperv:mop_on_llm_70,be.digitalia.fosdem_2300230.apk,3,518,576480,698812,13394,369,403,115,0,18,97,67,1,450
aperv:mop_on_llm_70,ch.digitale_gesellschaft.winterkongress.schedule_118.apk,1,324,388013,403192,8413,139,160,164,0,7,157,37,0,287
aperv:mop_on_llm_70,ch.digitale_gesellschaft.winterkongress.schedule_118.apk,2,247,319209,323080,6486,200,207,40,0,17,23,49,0,198
aperv:mop_on_llm_70,ch.digitale_gesellschaft.winterkongress.schedule_118.apk,3,225,246963,298019,5843,179,196,29,0,7,22,42,0,183
aperv:mop_on_llm_70,com.beemdevelopment.aegis_81.apk,1,503,574632,650714,13183,238,283,220,0,3,217,44,0,459
aperv:mop_on_llm_70,com.beemdevelopment.aegis_81.apk,2,572,577784,739710,14902,162,191,381,0,3,378,49,2,521
aperv:mop_on_llm_70,com.beemdevelopment.aegis_81.apk,3,647,652787,851745,16842,340,393,254,0,3,251,70,0,577
aperv:mop_on_llm_70,com.cointrend_10304.apk,1,699,583050,892798,18531,423,484,215,0,12,203,22,4,673
aperv:mop_on_llm_70,com.cointrend_10304.apk,2,677,586300,864817,18056,495,530,147,0,15,132,20,5,652
aperv:mop_on_llm_70,com.cointrend_10304.apk,3,598,680486,762948,15804,417,448,150,0,18,132,20,2,576
aperv:mop_on_llm_70,com.darkrockstudios.app.securecamera_31.apk,1,585,523535,800868,15253,420,473,112,0,40,72,19,0,566
aperv:mop_on_llm_70,com.darkrockstudios.app.securecamera_31.apk,2,651,584860,877376,17014,439,543,108,0,24,84,11,1,639
aperv:mop_on_llm_70,com.darkrockstudios.app.securecamera_31.apk,3,572,659936,811092,14909,483,516,56,0,26,30,17,2,553
aperv:mop_on_llm_70,com.darkrockstudios.apps.hammer.android_303020000.apk,1,757,642826,949292,19999,322,482,275,0,33,242,79,0,678
aperv:mop_on_llm_70,com.darkrockstudios.apps.hammer.android_303020000.apk,2,738,733997,942081,19387,331,493,245,0,36,209,77,0,661
aperv:mop_on_llm_70,com.darkrockstudios.apps.hammer.android_303020000.apk,3,579,723952,760171,15321,372,465,114,0,12,102,76,0,503
aperv:mop_on_llm_70,com.defname.localshare_14.apk,1,987,814126,1221314,25723,365,481,506,0,7,499,24,4,959
aperv:mop_on_llm_70,com.defname.localshare_14.apk,2,899,847993,1113129,23411,320,430,469,0,17,452,26,1,872
aperv:mop_on_llm_70,com.defname.localshare_14.apk,3,724,857299,905427,18977,249,372,352,0,31,321,20,0,704
aperv:mop_on_llm_70,com.dessalines.habitmaker_5501.apk,1,732,805785,941534,19088,315,505,227,0,9,218,33,0,699
aperv:mop_on_llm_70,com.dessalines.habitmaker_5501.apk,2,742,792736,948855,19321,376,516,226,0,10,216,39,0,703
aperv:mop_on_llm_70,com.dessalines.habitmaker_5501.apk,3,715,792296,911507,18736,321,478,237,0,14,223,31,0,684
aperv:mop_on_llm_70,com.faltenreich.diaguard_68.apk,1,604,718149,849356,15798,377,435,169,0,3,166,83,0,521
aperv:mop_on_llm_70,com.faltenreich.diaguard_68.apk,2,583,661848,824870,15240,401,461,121,0,5,116,91,0,491
aperv:mop_on_llm_70,com.faltenreich.diaguard_68.apk,3,574,632312,800588,15084,360,406,168,0,6,162,80,0,494
aperv:mop_on_llm_70,com.flauschcode.broccoli_1040400.apk,1,430,536205,570946,11432,289,361,68,0,2,66,67,0,362
aperv:mop_on_llm_70,com.flauschcode.broccoli_1040400.apk,2,390,465455,523077,10472,277,340,50,0,0,50,55,0,335
aperv:mop_on_llm_70,com.flauschcode.broccoli_1040400.apk,3,455,481587,616469,12241,361,402,53,0,0,53,72,0,383
aperv:mop_on_llm_70,com.hegocre.nextcloudpasswords_38.apk,1,628,699671,759242,15340,191,219,409,0,0,409,9,6,613
