gate,resultado,fundamento_curto,ponteiros
G0,PASS,fase0 manifests complete; every round + set phase hash-froze inputs; freeze re-verified 23/23 this session; dirty-tree anomaly declared and shown not to touch audited bytes; D-batchD-1 admissibility held (contaminated batchD javap artifact quarantined; set-phase sweep 0 hits),fase0/manifest_hashes.md; set/set_exec_hashes.txt; EXEC-SET-30; batchD juiz_sintese §8.2#1
G1,PASS,"23/23 specs inventoried; 22 paired to 22 distinct api30 rules by content (two name traps resolved); RandomStringPassword has NO CrySL rule and is EXCLUDED by researcher decision of 2026-08-09 (formal scope reduction, registered in fase0/manifesto.md:26-30 and re-registered in this global judgment); 11 unmodelled api30 rules recorded as coverage bound",fase0/inventario_pareamento.md; fase0/manifesto.md:26-30
G2,FAIL,"KeyGeneratorSpec monitor does not compile standalone while both generators exit 0 (fail-open, critica per D-batchC-1; re-verified: javac exit 1 'cannot find symbol: Key'; -merge masks it via import union from CipherSpec/KeyStoreSpec); 21/22 clean; <=17-event budget met set-wide (max SRD 15); generator ceiling closed; merge cost measured and deterministic",EXEC-SET-14; EXEC-SET-01..03; batchC juiz_sintese §8.1 (KGN G2 FAIL); batchD juiz_sintese §8.1 note 3
G3,FAIL,"16/22 specs FAIL with executed separating counterexamples at the effective automaton (D-piloto-3): CIP,HMC,CIS,COS,KPR,PBK,KGN,KMF,TMF,SSL,KST,MAC,MDG,KPG,SRD,SIG; PASS: GCM,DHG,PBE,IVP,SKS,SKY; set level: canonical SecureRandom creation+nextBytes sequence FPs on the merged monitor (re-executed 3x byte-identical)",round §8.1 tables (pilot/A/B/C/D); EXEC-SET-26
G4,FAIL,"18/22 specs FAIL (PASS only IVP,KMF,TMF,SIG); includes the fail-crash class FEN-KPG-NPE surviving -merge byte-for-byte (NPE to caller re-demonstrated this session, 3 reps), MAC f3 unbound target(m) broadcast, VERIFIED written on the boxed Boolean instead of the sign bytes",round §8.1 tables; EXEC-SET-10; EXEC-SET-15; EXEC-SET-21
G5,FAIL,13/22 specs FAIL; 5 canonical capture-divergence mechanism families / 6 named instances (five-vs-six resolved in report §1.2); dead pointcuts re-verified on the production dexlib2 weave over the MERGED descriptor on both frozen jars; batch A/B PASS halves are single-half evidence (batch C §8.4); android-37.0 production-default jar captures 3 post-api30 members (extra-oracle); wrapper naming jar-dependent,batchC juiz_sintese §8.4; batchD juiz_sintese §5; EXEC-SET-05..13
G6,INCONCLUSIVE,"static halves executed (descriptor<->aspect<->monitor 119/119+140/140; host dexlib2 weave, 168 scenarios, both jars, re-executed byte-identically) but no round or phase drove a woven DEX on ART/device; §16 demands end-to-end DEX confirmation; unknown never becomes success",EXEC-SET-04; EXEC-SET-11; batchD BETA-SET-06; batchC BETA-SET-08; batchB BETA-SET-11
G7,FAIL,"19/22 specs FAIL (PASS: PBE,IVP,MDG); set graph: 11 reader-less constants (assert re-run), 4 extra-oracle gates + 2 extra-oracle reads, guaranteed-fire PREPARED_HMAC edge, RANDOMIZED material overgrant closed writer->reader end to end (rejected randomness accepted; re-executed), KPR 1-FP-per-access toll edge, dead SIGNED/VERIFIED writers, @fail-remove revocation family with zero NEGATES in the api30 rules; only ~5 clean live edges",set/set_cons_predicate_graph.csv; set_cons_report §3; EXEC-SET-16..23; EXEC-SET-29
G8,FAIL,"pre_registro §3 row 8 FAILs on observed FP/FN: the executed drives exhibit both (FPs: SRD next2, KPR toll, KMF cascade, SSL unmonitored-random; FNs: rejected-randomness acceptance, SIGNED starvation); the §11 systematic differential/mutation campaign was never executed — suite adequacy additionally INCONCLUSIVE; the drives are adjudication witnesses, not the pre-registered corpus (declared limitation). INTERPRETATION DECLARED (REF-G-03): the FAIL follows the literal FAIL cell of §3 row 8 ('FP/FN observado', no corpus qualifier); the alternative reading — INCONCLUSIVE because the pre-registered test object was never built — is acknowledged and equivalent for the READY conjunction (neither is PASS)",pre_registro §3 row 8; EXEC-SET-16; EXEC-SET-19; EXEC-SET-20; EXEC-SET-26
G9,FAIL,"22/22 audited specs FAIL — the only gate failed by every unit in every round; set level: 5 of the 14 drive error records carry expecting=unknown, exactly accompanying the executed FPs; the dedupe identity (spec,type,class,method,loc — expecting excluded) drops the second of two DISTINCT violations at one site (re-executed; identity verified at ErrorDescription.java:108-139; both collectors share it)",round §8.1 tables; EXEC-SET-24; EXEC-SET-25; set_cons_report §4
G10,INCONCLUSIVE,"no Android execution in any round or phase; consolidated replay battery named: G10-SRD-1, G10-KPG-1/2, G10-SIG-1, G10-MAC-1, G10-TMF-1, G10-SSL-2, G10-KST-1, G10-KGN-1, G10-IVP-1, G10-SKY-1, GAMA-KPR-06, GAMA-SET-16/21 batteries, Android-BC alias probe","set_cons_report §4.2, §5 G10 row; batchC juiz_sintese §8.5; batchD juiz_sintese §8.4"
G11,FAIL,"gh101 register invariance premise falsified (predicate_edges.csv:47,74-75,81 vs api30 rules — no 'present' verdict consumable without api30 anchor); false gh101-authored SRD c3 comment; unregistered inherited critical families (provenance census); gh101-introduced defects (GENCIPHER-EXTRA, SSL-RANDOMIZED-EXTRA, KPG initError placement residual); gh100 tasks open (7.4 duplicated [x]/[ ], 7.5, 7.6); repairs that held are equally on record (TMF four-defect, SSL returning(ctx), KGN i1-i5 split, D-S12, layer-2 star prefixes)","batchD juiz_sintese §1#14, §3; batchC juiz_sintese §3; fase0/estado_gh100_gh101.md; set_cons_report §2, §3.1"
G12,FAIL,"static path verified at source this session: rv_static_analysis/config.py:186 jar probe [33,29,28,27,26] lacks 30; :199-208 mop_dir defaults to the literal jca directory; rv_experiment/config.py get_static_analysis_config (:942-951) passes neither mop_dir nor targets_file nor android_jar — every jca_android run's static view is computed against the jca specs and never the api30 jar; open static/dynamic contradictions (FEN-SET-STATIC-DEAD-TARGETS; SKY both-views-blind); §13 unlock condition contradicted",EXEC-SET-28; GAMA-SET-01; GAMA-SET-03; GAMA-SET-14
G13,FAIL,"must-close set open: 174 critical FAIL claims (164 of-record + 10 pilot derived-parsed), of which 165 link to the 50 critical-carrying canonical phenomena and 9 pilot criticals remain pilot-local without canonical FEN (pre-D-piloto-4 record; REF-G-02); the 8 D-batchC-1 reconciliation rows are counted at §4's letter IN ADDITION to the 164 of-record; plus every major family (register-anchor, dedupe/unknown, arithmetic omissions) and 26 named INCONCLUSIVE pendencies; all five refutation rounds were answered objection by objection (13/9/5/8/8) — the review PROCESS is complete, but §16's letter requires no critical/major finding OPEN after refutation","set/set_cons_ledger.csv; set/set_cons_fen_registry.csv; set_cons_report §1.3, §5"
