id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca,resolucao_juiz,classificacao_final,severidade_final,fenomeno_id_final
EXEC-SET-01,set/geracao -merge 23 specs,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (geracao limpa e dentro do orcamento),MEDIDO,"scratch merge: javamop -d out -merge --emit-descriptor specs/*.mop (23 copias; freeze 23/23 vs fase0/manifest_hashes.md) exit 0 stderr vazio 0.65s/163.2MB; mv specs/*.rvm out; rv-monitor -d out -merge out/*.rvm exit 0 stderr vazio 28.42s/1.58GB; inventario: MultiSpec_1MonitorAspect.{aj,json} + MultiSpec_1RuntimeMonitor.java + 23 .rvm (set_exec_merge_times.txt)",geracao completa reproduz o registro do batch D (0.70s/174.8MB; 28.08s/1.74GB) na mesma ordem de grandeza; caveat exit-0-nao-e-sucesso mantido: os defeitos abaixo sao todos silenciosos a exit 0,procurado erro/warning em stdout/stderr das 4 execucoes: nenhum,"comando com glob expandido pelo shell (mesma lista, ordem alfabetica) vs Command de producao",n/a,n/a,0.95,PASS,FIDELIDADE_DEMONSTRADA (geracao limpa e dentro do orcamento),n/a,
EXEC-SET-02,set/determinismo da geracao -merge,reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA (2 runs byte-identicos + convergencia entre sessoes),MEDIDO,"run1 vs run2: 26/26 artefatos sha256-identicos; MultiSpec_1{aj 310fae06,json e91570ce,java d6228eac} identicos aos gerados na sessao batch D (batchD/beta_hashes.txt secao merged)",tres geracoes independentes (2 minhas + 1 batch D) byte-identicas,diff dos 26 hashes: vazio,nenhuma,n/a,n/a,0.95,PASS,FIDELIDADE_DEMONSTRADA (2 runs byte-identicos + convergencia entre sessoes),n/a,
EXEC-SET-03,set/coerencia per-spec vs -merge,reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA (per-spec .rvm == merge .rvm 23/23; regeneracao == registros das 5 rodadas),MEDIDO,cmp per-spec gen_<S>/out/<S>.rvm vs merge_run1/out/<S>.rvm: 23/23 IDENTICAL; sha256sum -c sobre os manifests: batches A-D 80/80 OK + pilot 8/8 OK (pilot/beta_hashes.txt); RandomStringPassword registrada pela 1a vez (4 artefatos em set_exec_hashes.txt),o -merge nao altera nenhum .rvm; artefatos desta fase sao byte-os-mesmos que as rodadas per-spec julgaram,procurado qualquer .rvm divergente: nenhum,nenhuma,n/a,n/a,0.95,PASS,FIDELIDADE_DEMONSTRADA (per-spec .rvm == merge .rvm 23/23; regeneracao == registros das 5 rodadas),n/a,
EXEC-SET-04,set/descriptor merged <-> aspect <-> monitor,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (integridade estrutural do descriptor merged),MEDIDO,set_exec_descriptor_lint.py: 119 advices no JSON = 119 headers no .aj; 119/119 expressions verbatim no .aj; 140/140 monitorCalls resolvem em MultiSpec_1RuntimeMonitor com aridade correta; 23 specs presentes; blocos per-spec advice-identicos (normalizado o prefixo <Spec>RuntimeMonitor -> MultiSpec_1RuntimeMonitor) 23/23,o -merge nao mascara nem colide advices: uniao exata dos descriptors per-spec; nenhuma colisao de nome de wrapper (83 nomes unicos no WrapperEmitter),procurado advice ausente/duplicado/colidido e monitorCall sem metodo: zero,lint por regex sobre o .aj (nao compilado por ajc; ajc ausente do host - so Docker),n/a,n/a,0.9,PASS,FIDELIDADE_DEMONSTRADA (integridade estrutural do descriptor merged),n/a,
EXEC-SET-05,set/pointcuts com disjuncao call()||call(),captura_eventos,FEN-SET-firstcall-disjunct,FAIL,INCORRETA (2o disjunto morto no weave dexlib2 de producao; sobrevive verbatim ao -merge),MEDIDO,"descriptor merged: CIS r1 (:read()||read(byte[])), COS w1 (write(int)||write(byte[])), KPG gen (generateKeyPair()||genKeyPair()); weave probe (producao, descriptor MERGED): cis_readB, cos_writeB, kpg_genkp UNTOUCHED em android-30 E android-37.0 (set_exec_weave_*.out)",o mecanismo first-disjunct medido no batch D (KPG) confirma-se nos CIS/COS do batch B com o descriptor merged - a adjudicacao cross-round pedida em batchD/juiz_sintese_batchD.md par.8.5 item 1 tem agora a metade executavel medida,procurado captura via wrapper alternativo p/ 2o disjunto: nenhuma,JVM host; ART nao medido (pendencia G6/G10),FN: read(byte[])/write(byte[])/genKeyPair() invisiveis ao monitor,critica,0.95,FAIL,INCORRETA (2o disjunto morto no weave dexlib2 de producao; sobrevive verbatim ao -merge),critica,FEN-SET-FIRSTCALL-DISJUNCT
EXEC-SET-06,set/KST getEntry-setEntry tipos aninhados,captura_eventos,FEN-SET-NESTED-TYPE-DESCRIPTOR,FAIL,INCORRETA (pointcuts mortos com tipos aninhados nao qualificados; sobrevivem ao -merge),MEDIDO,descriptor merged KeyStoreSpec_ge1/se1 usam Entry/ProtectionParameter nao qualificados; weave probe merged: kst_getentry e kst_setentry UNTOUCHED em ambos os jars,"identico ao registro do batch C, agora sob o descriptor MERGED consumido pela producao",procurado matching por outro caminho: nenhum,JVM host; ART pendente,FN: ge1/se1 nunca disparam,critica,0.9,FAIL,INCORRETA (pointcuts mortos com tipos aninhados nao qualificados; sobrevivem ao -merge),critica,FEN-SET-NESTED-TYPE-DESCRIPTOR
EXEC-SET-07,set/SRD membros herdados (indice declared-only),captura_eventos,FEN-SET-DECLARED-ONLY,FAIL,INCORRETA (nextInt() e ints(..) mortos; nextInt(int) capturado),MEDIDO,"weave probe merged: srd_nextint0 UNTOUCHED, srd_ints0/_l/_ii/_lii UNTOUCHED (5 rows) em ambos os jars; srd_nextint_b INLINE:next1Event e srd_nextbytes INLINE:next2Event capturados",batchD registrou next3/ints como candidatos declared-only; medido aqui com descriptor merged e nos dois jars,procurado captura de ints em qualquer aridade: zero em 4 aridades,JVM host; ART pendente,FN: next3/ints nunca disparam,critica,0.9,FAIL,INCORRETA (nextInt() e ints(..) mortos; nextInt(int) capturado),critica,FEN-SET-DECLARED-ONLY
EXEC-SET-08,set/SIG sign return-type morto,captura_eventos,FEN-SIG-SIGN-VOID,FAIL,INCORRETA (pointcut declara retorno byte; sign() retorna byte[] -> morto),MEDIDO,"descriptor merged SignatureSpec_s1: call(public byte Signature.sign()); s2: call(public byte Signature.sign(byte[],int,int)); weave probe: sig_sign0 e sig_sign3 UNTOUCHED em ambos os jars",confirma o registro batch D sob o descriptor merged,procurado wrapper p/ sign: nenhum,JVM host; ART pendente,FN: assinatura jamais monitorada; SIGNED jamais escrito (EXEC-SET-20),critica,0.95,FAIL,INCORRETA (pointcut declara retorno byte; sign() retorna byte[] -> morto),critica,FEN-SIG-SIGN-VOID
EXEC-SET-09,set/SSL createSSLEngine void morto,captura_eventos,FEN-SSL-ENGINE-VOID,FAIL,INCORRETA (pointcut declara void; createSSLEngine retorna SSLEngine -> morto),MEDIDO,descriptor merged SSLContextSpec_engine: call(public void SSLContext.createSSLEngine(..)); weave probe: ssl_cse0 e ssl_cse2 UNTOUCHED em ambos os jars,confirma o registro batch C sob o descriptor merged,procurado captura em outra aridade: zero,JVM host; ART pendente,FN: engine event nunca dispara; GENERATE_SSL_ENGINE nunca escrito,critica,0.9,FAIL,INCORRETA (pointcut declara void; createSSLEngine retorna SSLEngine -> morto),critica,FEN-SSL-ENGINE-VOID
EXEC-SET-10,set/MAC f3 target(m) nao ligado,bindings_clausulas,FEN-MAC-F3-UNBOUND,FAIL,INCORRETA (target(m) sem parametro m sobrevive verbatim no descriptor merged),MEDIDO,"descriptor merged MacSpec_f3: params=[outOffset,output] mas expression contem target(m); weave probe: mac_df_out WRAPPED (dispara sem binding de Mac) em ambos os jars; monitor merged: Prop_1_event_f3 recupera m de Ref_m e faz broadcast (linhas 6596-6615 de MultiSpec_1RuntimeMonitor.java)",o -merge preserva o defeito exatamente como o per-spec do batch D mediu (avanco de monitor alheio),procurado m nos parameters do advice: ausente,JVM host,FP: broadcast atinge todo monitor Mac vivo,critica,0.9,FAIL,INCORRETA (target(m) sem parametro m sobrevive verbatim no descriptor merged),critica,FEN-MAC-F3-UNBOUND
EXEC-SET-11,set/BETA-SET-07 equivalencia de captura android-30 vs android-37.0 (membros api30),toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (capturas identicas nos 168 cenarios; WeaveReports identicos),MEDIDO,weave probe producao (DescriptorReader->TypeResolver->AndroidClassIndex->WrapperEmitter->DexWeaver) com descriptor MERGED sobre android-30 (96ccfdc8) e android-37.0 (bf1b4387): secao Site capture identica linha a linha (diff so em nomes de wrapper MDG - EXEC-SET-13); WeaveReport identico (45 matches/73 wrappers/18 ctor-inline/10 skip-aliasing); 2 reps por jar byte-identicos,"resolve a metade host-executavel de BETA-SET-07 (batchD par.8.4, REF-E-08): os cinco mecanismos divergentes sao jar-robustos; a metade ART/dispositivo continua pendente",procurado cenario com captura divergente entre jars: zero de 168,so os 168 cenarios cobertos; membros api30 fora deles nao medidos; ART pendente,n/a,n/a,0.9,PASS,FIDELIDADE_DEMONSTRADA (capturas identicas nos 168 cenarios; WeaveReports identicos),n/a,
