spec,error,class,className,method
5,Found: "1024",InsecureAsymmetricCipherABICase3,InsecureAsymmetricCipherABICase3,-
5,Found: "1024",InsecureAsymmetricCipherABICase1,InsecureAsymmetricCipherABICase1,-
5,Found: "1024",InsecureAsymmetricCipherBBCase1,InsecureAsymmetricCipherBBCase1,-
5,Found: "1024",InsecureAsymmetricCipherABMCCase1,InsecureAsymmetricCipherABMCCase1,-
5,Found: "1024",InsecureAsymmetricCipherABPSCase1,InsecureAsymmetricCipherABPSCase1,-
1,Found: "DES/ECB/PKCS5Padding",BrokenCryptoABMCCase1,BrokenCryptoABMCCase1,-
1,Found: "RC2",BrokenCryptoABMCCase4,BrokenCryptoABMCCase4,-
1,Found: "RC2",BrokenCryptoABSCase4,BrokenCryptoABSCase4,-
1,Found: "Blowfish",BrokenCryptoBBCase2,BrokenCryptoBBCase2,-
1,Found: "RC2",BrokenCryptoABPSCase4,BrokenCryptoABPSCase4,-
1,Found: "DES/ECB/PKCS5Padding",BrokenCryptoABICase11,BrokenCryptoABICase11,-
1,Found: "AES/ECB/PKCS5Padding",EcbInSymmCryptoABPSCase1,EcbInSymmCryptoABPSCase1,-
1,Found: "AES/ECB/PKCS5Padding",EcbInSymmCryptoABICase2,EcbInSymmCryptoABICase2,-
1,Found: "RC4",BrokenCryptoABMCCase3,BrokenCryptoABMCCase3,-
1,Found: "AES/ECB/PKCS5Padding",EcbInSymmCryptoABMCCase1,EcbInSymmCryptoABMCCase1,-
1,Found: "DES/ECB/PKCS5Padding",BrokenCryptoABSCase1,BrokenCryptoABSCase1,-
1,Found: "RC2",BrokenCryptoABICase14,BrokenCryptoABICase14,-
1,Found: "RC4",BrokenCryptoABICase13,BrokenCryptoABICase13,-
1,Found: "DES/ECB/PKCS5Padding",BrokenCryptoABPSCase1,BrokenCryptoABPSCase1,-
1,Found: "AES/ECB/PKCS5Padding",EcbInSymmCryptoABICase1,EcbInSymmCryptoABICase1,-
1,Found: "Blowfish",BrokenCryptoABICase6,BrokenCryptoABICase6,-
1,Found: "Blowfish",BrokenCryptoABICase2,BrokenCryptoABICase2,-
1,Found: "RC4",BrokenCryptoABPSCase3,BrokenCryptoABPSCase3,-
1,Found: "AES/ECB/PKCS5Padding",EcbInSymmCryptoABICase3,EcbInSymmCryptoABICase3,-
1,Found: "IDEA",BrokenCryptoABMCCase5,BrokenCryptoABMCCase5,-
1,Found: "Blowfish",BrokenCryptoABICase12,BrokenCryptoABICase12,-
1,Found: "IDEA",BrokenCryptoABICase15,BrokenCryptoABICase15,-
1,Found: "IDEA",BrokenCryptoABICase10,BrokenCryptoABICase10,-
