ErrorType;Class;Method;ViolatedRule;Object;Statement
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #2ef627793ce9649778584636d89eaac356ba4f51d7a78f0bcd994aa2e2aedf8f);First parameter (with value "RC2") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #9e04044c2e994de6ca92a3a5df63113a0a9d81c19ab55184c8bc915c89968d62);First parameter (with value "RC2") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase4;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer0, r2)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer1, r2)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15;void method1(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #c60184b26682b6511441d8460452f8120c7c6fe7d13df0b0f684b82be2ebbc4b);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABICase15;void method1(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #30cac82c09bfce9be60cab9cd17e735a8e4726e0751b135cc9e8df0bd130b2bc);First parameter (with value "IDEA") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase2;void go(int);violating CrySL rule for javax.crypto.Cipher (on Object #39d55cca967ede0dd2e5f2b5e8731fab74c66f85754cb48bf02a2b7fcf69d1e3);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(varReplacer2)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABPSCase2;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer3, r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto3;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #faa19c5cde0685adb4051ab6e7863a7bdb322319637da70c56a7d2fddee92987);First parameter (with value "Blowfish") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r5 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>($r4)
RequiredPredicateError;org.cryptoapi.bench.brokencrypto.Crypto3;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r5.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer6, r3)
TypestateError;org.cryptoapi.bench.brokencrypto.Crypto3;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #faa19c5cde0685adb4051ab6e7863a7bdb322319637da70c56a7d2fddee92987);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r8 = virtualinvoke r5.<javax.crypto.Cipher: byte[] doFinal(byte[])>(r7)
ConstraintError;org.cryptoapi.bench.brokencrypto.Crypto3;byte[] encrypt(java.lang.String,java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #ebf0f60c074db6fc5a430bdb2421df3842784576ad4743cefaea7d95eda3dd5a);First parameter (with value "Blowfish") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r2 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>($r1)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5;void go(java.lang.String);violating CrySL rule for javax.crypto.KeyGenerator (on Object #ee9242483502f79219beda06ec06b0d5d9a522e61e0f974eaa8d4a2a5d6de779);First parameter (with value "IDEA") should be any of {AES, HmacSHA256, HmacSHA384, HmacSHA512};r1 = staticinvoke <javax.crypto.KeyGenerator: javax.crypto.KeyGenerator getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokencrypto.BrokenCryptoABMC5;void go(java.lang.String);violating CrySL rule for javax.crypto.Cipher (on Object #b81cdfde66e4e5dd99aec831acda07eab93fa58caf4f9e4d127415d99a0bfeff);First parameter (with value "IDEA") should be any of {AES, PBEWithHmacSHA224AndAES_128, PBEWithHmacSHA256AndAES_128, PBEWithHmacSHA384AndAES_128, PBEWithHmacSHA512AndAES_128, PBEWithHmacSHA224AndAES_256, PBEWithHmacSHA256AndAES_256, PBEWithHmacSHA384AndAES_256, PBEWithHmacSHA512AndAES_256};r3 = staticinvoke <javax.crypto.Cipher: javax.crypto.Cipher getInstance(java.lang.String)>(r0)
