"round","claim_id","spec","dimension","resolution","classification","severity_resolved","severity_kind","severity_s4_letter","fen_source","fen_canonical","pilot_join_source"
"pilot","ALFA-CIP-01","CipherSpec","linguagem_formal","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-CIP-02","CipherSpec","linguagem_formal","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-CIP-03","CipherSpec","linguagem_formal","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-CIP-04","CipherSpec","linguagem_formal","INCONCLUSIVE","INCONCLUSIVA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-05","CipherSpec","captura_eventos","PASS","DIVERGENCIA_EQUIVALENTE_COMPROVADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-06","CipherSpec","diagnostico","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","ALFA-CIP-07","CipherSpec","predicados_composicao","FAIL","OMITIDA","critica","derived-parsed","critica","","FEN-SET-GENERATEDKEY-2A-CASA","batchA juiz_sintese §3: 'joins pilot ALFA-CIP-07'"
"pilot","ALFA-CIP-08","CipherSpec","predicados_composicao","FAIL","INCORRETA","critica","derived-parsed","critica","","",""
"pilot","ALFA-CIP-09","CipherSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-10","CipherSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-11","CipherSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-12","CipherSpec","predicados_composicao","PASS","LIMITACAO_INEVITAVEL_DOCUMENTADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-13","CipherSpec","predicados_composicao","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-14","CipherSpec","bindings_clausulas","PASS","FIDELIDADE_DEMONSTRADA","none","derived-parsed","none","","",""
"pilot","ALFA-CIP-14a","CipherSpec","bindings_clausulas","FAIL","INCORRETA","major","derived-parsed","major","","",""
"pilot","ALFA-CIP-14b","CipherSpec","bindings_clausulas","FAIL","INCORRETA","minor","derived-parsed","minor","","",""
"pilot","ALFA-CIP-15","CipherSpec","bindings_clausulas","FAIL","OMITIDA","major","derived-parsed","major","","",""
"pilot","ALFA-CIP-16","CipherSpec","bindings_clausulas","FAIL","OMITIDA","major","derived-parsed","major","","",""
