"constant","spec_file","line","context","op","argument","arg_kind","api30_status","liveness","adjudication"
"DIGESTED","MessageDigestSpec.mop","78","event d1","write","out","material(byte[] out)","rule-grounded (ENSURES digested[output])","writer-only (terminal in both anchors, registered deliberate)","batchD ALFA-MDG-09 LIMITAÇÃO PASS"
"DIGESTED","MessageDigestSpec.mop","91","event d2","write","out","material(byte[] out)","rule-grounded (ENSURES digested[output])","writer-only (terminal in both anchors, registered deliberate)","batchD ALFA-MDG-09 LIMITAÇÃO PASS"
"DIGESTED","MessageDigestSpec.mop","98","event d3","write","out","material(byte[] out)","rule-grounded (ENSURES digested[output])","writer-only (terminal in both anchors, registered deliberate)","batchD ALFA-MDG-09 LIMITAÇÃO PASS"
"ENCRYPTED","CipherSpec.mop","216","event u1","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","225","event u3","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","232","event u5","write","cipherBuffer","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","244","event f1","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","257","event f2","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","264","event f3","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
"ENCRYPTED","CipherSpec.mop","273","event f5","write","cipherText","material(byte[]/ByteBuffer ciphertext)","rule-grounded (ENSURES encrypted[...])","live (read by MacSpec)","projection registered (pilot ALFA-CIP-19: 2nd-slot FN latent)"
