"fen_canonical","family","aliases","rounds","specs","claims_total","claims_fail","claims_critical","provenance","executed_evidence","open_pendencies","notes"
"FEN-C-CARRIER-SEQFAIL","pairing (specific error + spurious InvalidSeq, same call)","","batchC batchD","KeyGeneratorSpec KeyManagerFactorySpec KeyPairGeneratorSpec KeyStoreSpec MacSpec MessageDigestSpec SET SSLContextSpec SignatureSpec TrustManagerFactorySpec","28","25","24","jca-inherited shapes; KPG/TMF/SSL forms reshaped by gh101 (immediate->delayed conversion in KPG); partially registered (3b.11b)","batchC S1-S5; batchD D6 executed, W carrier walks x4; D3 executed the SRD counter-design (zero pairing)","G10 replay (historical attribution only)","H2 CLOSED: immediate in MAC/MDG/KPG/SIG + batch C 5; delayed in KPG/TMF; SRD decouples by design"
"FEN-C-GETS-INVISIVEL","capture-omission (getInstance domains)","","batchC batchD","KeyGeneratorSpec KeyManagerFactorySpec KeyPairGeneratorSpec MacSpec MessageDigestSpec SSLContextSpec SecureRandomSpec SignatureSpec TrustManagerFactorySpec","21","21","18","jca-inherited; Cipher twin repaired by gh101 (b532e439f79a), MAC/KPG/SIG (+ batch C KGN/KMF/TMF/SSL) not; unregistered","batchC juiz_sintese §3 (S14, tmf_c); batchD juiz_sintese §1#1 (JAVAP, W walks, D1 crash route, capture matrix)","Android replay G10-{MAC,KPG,SIG}-1","critical in 8 specs, major in SRD (halves disagree on the unsafe half)"
"FEN-STREAMS-MONITOR-GLOBAL","monitor-global (parameterless spec)","FEN-CIS-MONITOR-GLOBAL; FEN-COS-MONITOR-GLOBAL; FEN-SET-MONITOR-GLOBAL-SEM-PARAMETRO; FEN-STREAMS-monitor-global","batchB","CipherInputStreamSpec CipherOutputStreamSpec SET","10","10","6","jca-inherited (jca CIS/COS also parameterless); batch A HMC family, now parameterless","batchB J2a/J2c executed FP cascade on every 2nd legal stream","",""
"FEN-SET-FIRSTCALL-DISJUNCT","toolchain: dexlib2 first-call disjunct drop","FEN-SET-firstcall-disjunct","batchB batchD","CipherInputStreamSpec CipherOutputStreamSpec KeyPairGeneratorSpec SET","5","5","5","toolchain (WrapperEmitter.findFirstCall), jar-robust; also textually present in batch B CIS(:28)/COS(:27) — routed to global phase (batchD §6.7), batch B not reopened","batchB source-verified + measured; batchD DX-KPG-2 executed (genKeyPair unwoven)","ART half; CIS/COS dexlib2 half re-measure (host-executable)",""
"FEN-DHG-SUPRESSAO","extra-oracle condition (suppression) + downstream FP","FEN-DHG-SUPRESSAO-CONFORME; FEN-DHG-condicao-extra; FEN-DHG-supressao-condition","batchA","DHGenParameterSpecSpec","6","6","4","unregistered (extra condition exponentSize<primeSize)","batchA J2 executed FP chain into KeyPairGeneratorSpec (preparedDH denied on the suppressed path)","",""
"FEN-KPR-C1-SLICE-VAZIO","empty-slice broadcast (unbound returning)","FEN-KPR-C1-FATIA-VAZIA; FEN-KPR-c1-sem-binding","batchB","KeyPairSpec SET","6","6","4","jca-inherited (jca:23 same unbound returning); the gh101-repaired defect class, live and unregistered","batchB J2e executed cross-instance contamination","",""
"FEN-HMC-MONITOR-GLOBAL","monitor-global (spec parameter never bound)","FEN-HMC-lifecycle; FEN-HMC-linguagem; FEN-HMC-monitor-global","batchA","HMACParameterSpecSpec SET","6","5","4","predates gh101 (HMC byte-identical to frozen jca copy)","batchA J3 executed FP on legal trace (JVM harness; realizable wherever the class exists)","","platform absence does not excuse: app-bundled JSR-105 on Android"
"FEN-SET-GENCIPHER-EXTRA","extra-oracle predicate (gh101-introduced)","","batchB batchC","CipherInputStreamSpec CipherOutputStreamSpec SET","6","5","4","gh101-introduced (task 5.1, registered with the misstated api30 oracle); no api30 rule REQUIRES generatedCipher","batchB J2b executed FP; api30 CipherInputStream.cryptsl has ENSURES cipheredInputStream only (judge/consolidator-verified)","researcher scope reduction or removal",""
"FEN-MAC-F3-UNBOUND","unbound target() / weave-half divergence","","batchD","MacSpec","4","4","4","jca-inherited (twin f2 header byte-same incl. unbound target(m); bodies differ), unregistered","batchD D9 executed broadcast both directions; two independent ajc probes (dead at exit 0); RuntimeMonitor:1684 broadcast dispatch","ART half (which semantics the device realizes)","fail-open at §4 letter (D-batchC-1)"
"FEN-SET-VARARGS-ARGS-IGNORED","toolchain: dexlib2 ignores args() narrowing under trailing ..","","batchC batchD","KeyManagerFactorySpec SET SecureRandomSpec TrustManagerFactorySpec","4","4","4","toolchain (dexlib2), outside both spec sets, jar-robust","batchC measured (KMF/TMF); batchD DX-SRD-1 executed FP on the correct call; REF-D-04 sweep","ART half","SRD g2/g4 instances confirmed (halves disagree in opposite directions on one spec)"
"FEN-C-EMPTY-LABEL","diagnostics (empty 'but found .' label)","","batchD","MacSpec MessageDigestSpec SET SignatureSpec","5","5","3","jca-inherited mechanism; live in MAC/MDG/SIG via creation-at-consume (task 8.1 covered only the weaver route)","batchD MAC-T5/mdg_a/sig_a conferred; W invisible-creation walk; H4 CLOSED live","per-line historical attribution deferred (G10)",""
"FEN-SSL-ENGINE-VOID","dead events (both weave halves)","","batchC","SET SSLContextSpec","5","5","3","jca-inherited byte-for-byte, registered nowhere","batchC measured both halves dead; GENERATE_SSL_ENGINE writer unreachable","",""
"FEN-KPR-CO-OPCIONAL","ORDER divergence (co? made mandatory)","FEN-KPR-co-obrigatorio","batchB","KeyPairSpec","5","4","3","jca-inherited (jca:41 same ere), unregistered","batchB J2d executed FP on the canonical JCA route; H-KPR-1 historical link (668 lines) INCONCLUSIVE pending replay","H-KPR-1 replay battery (GAMA-KPR-06)","the 1-FP-per-pair-access toll edge (KPG->KeyPairSpec->SIG delivery)"
"FEN-PBE-C2-GAP","missing violating carrier (terminal FN)","FEN-PBE-supressao-c2","batchA","PBEParameterSpecSpec","4","4","3","jca-inherited, unregistered","batchA executed terminal FN (3-arg ctor misuse totally silent)","",""
"FEN-PBK-SENHA-EXTRA","extra-oracle requirement (randomized[password])","FEN-PBK-PASSWORD-RANDOMIZED; FEN-PBK-password-extra","batchB","PBEKeySpecSpec","4","4","3","jca-inherited (jca:38,56), unregistered","batchB J2h executed FP on the canonical PBE use + ENSURES starvation","",""
"FEN-SKY-GATE-SUPRESSAO","extra-oracle condition gate (suppression)","FEN-SKY-ENSURES-CONDICIONADO; FEN-SKY-condicao-extra","batchB","SecretKeySpec(SecretKey)","4","4","3","jca-inherited (jca/SecretKeySpec.mop:25 same gate)","batchB J2g executed ENSURES starvation","researcher scope reduction",""
