spec,code,error_type,site_kind,event,file_line,label
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-ALG-00,UnsafeAlgorithm,ALG,get,AlgorithmParameterGeneratorSpec.mop:68,violation
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-KEYSIZE-00,InvalidKeySize,KEYSIZE,initSize,AlgorithmParameterGeneratorSpec.mop:90,violation
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-KEYSIZE-01,InvalidKeySize,KEYSIZE,initSizeRandom,AlgorithmParameterGeneratorSpec.mop:110,violation
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,initSizeRandom,AlgorithmParameterGeneratorSpec.mop:116,violation
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-NOBS-00,UnsatisfiedConstraint,NOBS,initSizeRandom,AlgorithmParameterGeneratorSpec.mop:120,not-observed
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,initSpecRandom,AlgorithmParameterGeneratorSpec.mop:150,violation
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-NOBS-01,UnsatisfiedConstraint,NOBS,initSpecRandom,AlgorithmParameterGeneratorSpec.mop:154,not-observed
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,AlgorithmParameterGeneratorSpec.mop:186,creation-unobserved
AlgorithmParameterGeneratorSpec,ALGORITHMPARAMETERGENERATOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,AlgorithmParameterGeneratorSpec.mop:190,sequence
AlgorithmParametersSpec,ALGORITHMPARAMETERS-ALG-00,UnsafeAlgorithm,ALG,get,AlgorithmParametersSpec.mop:91,violation
AlgorithmParametersSpec,ALGORITHMPARAMETERS-CONSTR-00,UnsatisfiedConstraint,CONSTR,init,AlgorithmParametersSpec.mop:140,violation
AlgorithmParametersSpec,ALGORITHMPARAMETERS-NOBS-00,UnsatisfiedConstraint,NOBS,init,AlgorithmParametersSpec.mop:144,not-observed
AlgorithmParametersSpec,ALGORITHMPARAMETERS-CONSTR-01,UnsatisfiedConstraint,CONSTR,init,AlgorithmParametersSpec.mop:168,violation
AlgorithmParametersSpec,ALGORITHMPARAMETERS-NOBS-01,UnsatisfiedConstraint,NOBS,init,AlgorithmParametersSpec.mop:172,not-observed
AlgorithmParametersSpec,ALGORITHMPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,AlgorithmParametersSpec.mop:217,creation-unobserved
AlgorithmParametersSpec,ALGORITHMPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,AlgorithmParametersSpec.mop:221,sequence
CertificateFactorySpec,CERTIFICATEFACTORY-ALG-00,UnsafeAlgorithm,ALG,get,CertificateFactorySpec.mop:60,violation
CertificateFactorySpec,CERTIFICATEFACTORY-ALG-01,UnsafeAlgorithm,ALG,genCertPathEncoded,CertificateFactorySpec.mop:94,violation
CertificateFactorySpec,CERTIFICATEFACTORY-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,CertificateFactorySpec.mop:115,creation-unobserved
CertificateFactorySpec,CERTIFICATEFACTORY-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,CertificateFactorySpec.mop:119,sequence
CertPathTrustManagerParametersSpec,CERTPATHTRUSTMANAGERPARAMETERS-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,CertPathTrustManagerParametersSpec.mop:55,violation
CertPathTrustManagerParametersSpec,CERTPATHTRUSTMANAGERPARAMETERS-NOBS-00,UnsatisfiedConstraint,NOBS,c1,CertPathTrustManagerParametersSpec.mop:59,not-observed
CertPathTrustManagerParametersSpec,CERTPATHTRUSTMANAGERPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,CertPathTrustManagerParametersSpec.mop:75,creation-unobserved
CertPathTrustManagerParametersSpec,CERTPATHTRUSTMANAGERPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,CertPathTrustManagerParametersSpec.mop:79,sequence
CipherInputStreamSpec,CIPHERINPUTSTREAM-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,CipherInputStreamSpec.mop:55,violation
CipherInputStreamSpec,CIPHERINPUTSTREAM-NOBS-00,UnsatisfiedConstraint,NOBS,c1,CipherInputStreamSpec.mop:59,not-observed
CipherInputStreamSpec,CIPHERINPUTSTREAM-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherInputStreamSpec.mop:82,creation-unobserved
CipherInputStreamSpec,CIPHERINPUTSTREAM-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherInputStreamSpec.mop:86,sequence
CipherOutputStreamSpec,CIPHEROUTPUTSTREAM-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,CipherOutputStreamSpec.mop:41,violation
CipherOutputStreamSpec,CIPHEROUTPUTSTREAM-NOBS-00,UnsatisfiedConstraint,NOBS,c1,CipherOutputStreamSpec.mop:45,not-observed
CipherOutputStreamSpec,CIPHEROUTPUTSTREAM-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,CipherOutputStreamSpec.mop:82,creation-unobserved
