id,spec_clausula,posicao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-CIP-01,CipherSpec/geracao,PASS,MEDIDO,"/usr/bin/time -v javamop -d out -merge --emit-descriptor specs/*.mop; rv-monitor -d out -merge out/*.rvm (flags de runtime_verification_generator.py:211-215/267-272); .rvm 5d7b16bf…","geracao limpa exit 0 stderr vazio; 0,45s/91MB + 6,66s/1,04GB","stderr das duas fases inspecionado; repeticao no modo par e no conjunto 23 (mesmos hashes .rvm)","host difere do Docker (Temurin 25); custo pode variar com carga","nenhum","-",0.98
BETA-CIP-02,CipherSpec/alfabeto (D-S11),PASS,MEDIDO,"grep -cE '^\s*event ' =14; 14 tabelas RuntimeMonitor:405-418; 14 wrappers estaticos; CoenableProbe events=14","alegacao de 14 eventos confere no artefato; 24 da regra seria impossivel (n*(2^n-1))","contagem por tres angulos independentes (.mop, monitor, probe)","nenhuma relevante","nenhum","-",0.99
BETA-CIP-03,CipherSpec/orcamento,PASS,MEDIDO,"CoenableProbe (fsm.jar f88b066b…): coenable_sets[fail]=229362=14*(2^14-1) saturado; coenable_chars=8144778; custo real 6,66s/1,04GB; conjunto 23: 28,09s/1,71GB","dentro do teto 17 com folga de 3 eventos; formula confirmada ao unitario","saturated_predict==medido; comparado a tabela da skill (14→6s/1,0GB)","maquina carregada altera wall-clock, nao a contagem","nenhum","-",0.99
BETA-CIP-04,CipherSpec/pointcuts,PASS,MEDIDO,"PointcutBudget (matcher de producao) vs android-30 96ccfdc8…: particao exata 28 membros; DISJOINT; UNMATCHED=[getIV,unwrap,updateAAD*3]; scratch budget_cipher.out","Esperado⊆Capturado, Capturado∩Vizinhos=∅, disjuncao entre os 13 candidatos","mesma mesa contra android-37.0: conjunto de membros identico e mesmo resultado (G10 sem efeito aqui)","harness usa call-site sintetico; weave real nao exercitado","nenhum","-",0.97
BETA-CIP-05,CipherSpec/advice g1+g3,PASS,OBSERVADO_EM_ARTEFATO,"aspecto .aj:60-66 e descriptor advices[0]: 1 advice, 2 monitorCalls ordem g1;g3; guardas complementares isValid/!isValid RuntimeMonitor:461-470/478-487","exatamente um dos dois transiciona por chamada; sem double-fire estrutural","descriptor==aj conferido campo a campo; disjuncao no matcher","transformacao nao-deterministica de isValid inexistente (funcao pura de tabela)","nenhum","-",0.95
BETA-CIP-06,CipherSpec/handlers vs condition(false),FAIL,OBSERVADO_EM_ARTEFATO,"wrapper estatico checa Category_match1 sem consultar retorno do evento (RuntimeMonitor:917-924); evento suprimido retorna false antes de atualizar flags (:494-505); reset() so limpa apos fail (:684-689)","handler @match1 re-executa em evento suprimido apos um match previo do mesmo monitor","procurado guard no wrapper e clear de flags no prologo do evento: inexistentes","cenario requer evento suprimido apos match no MESMO monitor; nao exercitado em runtime","FP de predicado em specs com @match nao idempotente; benigno nas duas specs do piloto",minor(mecanismo major),0.9
BETA-CIP-07,CipherSpec/__LOC,PASS,OBSERVADO_EM_ARTEFATO,"__LOC expande para ViolationRecorder.getLineOfCode() em 10 sitios (RuntimeMonitor:501-671); filtro de frames ViolationRecorder.java:87-105","presente e propagado em todos os pontos que o .mop pede","expansao ausente procurada: nenhuma ocorrencia de __LOC literal restante","frames DEX com fileName==null NAO sao filtrados → __LOC pode apontar o monitor (sem device: INCONCLUSIVE a parte runtime)","diagnostico impreciso possivel em Android",minor,0.85
BETA-CIP-08,CipherSpec/after puro (u3 u5 f3 f5 f7),INCONCLUSIVE,INFERIDO,"ajc: after()=after-finally; dexlib2 AfterEmitter.java:9-20 insere invoke inline pos-call (doc alega finally; inline nao roda em excecao propagada)","divergencia potencial ajc×dexlib2 em completamento excepcional (BadPadding em doFinal)","nenhum weave/execucao realizado; nenhum try-catch encontrado no emissor inline","sem APK/dispositivo; comportamento do wrapper path pode diferir do inline","ajc: FP de aceitacao (transicao a end em doFinal que lancou); dexlib2: sem transicao",major(potencial),0.6
BETA-CIP-09,CipherSpec/automato efetivo,PASS,OBSERVADO_EM_ARTEFATO,"tabelas RuntimeMonitor:405-418 decodificadas em beta_autometa_efetivo_cipher.md; start∪unsafeAlg fundidos (bisimilares); implicitas→fail; fail reseta via __RESET","fiel ao bloco fsm do .mop + completamento implicito","cada linha da tabela conferida contra o .mop transicao a transicao","mapeamento de nomes de estado e reconstruido (codigos nao nomeados no artefato)","nenhum","-",0.95
BETA-CIP-10,CipherSpec/creation events,PASS-com-ameaca,OBSERVADO_EM_ARTEFATO,"14 sitios new CipherSpecMonitor() (um por wrapper); init sobre Cipher nao observado cria monitor em 0 e init:0→fail","todo evento e creation event (sem marcador creation no .rvm)","procurado marcador creation no .rvm: ausente","getInstance em codigo excluido por BaseAspect.notwithin() gera FP InvalidSequence; requer APK para quantificar","FP condicional",minor,0.85
