id,spec_clausula,posicao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
GAMA-CIP-01,CipherSpec/@fail,FAIL,PROVADO,"leitura CipherSpec.mop:330-333 + ErrorDescription.java:34-36 (3-arg => expecting=unknown); corroboracao MEDIDO errors.csv (sha256 78023def...): 70760/97018 linhas unknown; 10814/10923 no CipherSpec","todo @fail emite unknown; gate pre-registrado 'sem unknown' violado","procurado construtor 4-arg em @fail: inexistente nas duas specs","nenhuma: leitura direta de codigo + dataset","diagnostico inatribuivel a evento/estado; nao gera FP/FN de deteccao",major,0.98
GAMA-CIP-02,CipherSpec/g3->init*,FAIL,PROVADO,"autômato efetivo gen_cipher/CipherSpecRuntimeMonitor.java:405-418 (transition_init2[0]=5; estados start/unsafeAlg fundidos em 0) + ordem corpo->handleEvent->handler no metodo gerado Prop_1_event_init2","init apos g3 emite UnsafeAlgorithm (especifico) + InvalidSeq (espurio) na mesma chamada","procurada transicao init a partir do estado 0: nao existe (=fail)","geracao em scratch com jars do release; mesmos bytes da spec (hash conferido)","FP de categoria (registro espurio); mascarado no misuse key que exclui tipo",major,0.95
GAMA-CIP-03,CipherSpec/REQUIRES generatedKey (residuo D-S9),FAIL,PROVADO,"codigo gerado: condition false => return false antes de handleEvent (Prop_1_event_init2); transition_f2[3]=5; __LOC do @fail = chamada seguinte (Util.java:7-8; ViolationRecorder.java:53-59)","acusacao deslocada: evento errado (doFinal) e sitio errado; se em outro metodo, misuse key aponta metodo errado","procurado report no proprio init: inexistente (sem transicao e sem corpo executado)","residuo documentado (frozen_set_debt 3b.11b) - registrado nao aprova o gate","FP de localizacao; FN da causa-raiz no init",major,0.95
GAMA-CIP-04,CipherSpec/UnsatisfiedConstraint mesmo sitio,FAIL,PROVADO,"ErrorDescription.java:109-139 (equals/hashCode = ErrorSummary; expecting excluido) + ErrorCollector.java:36-42 (HashSet)","clausulas distintas (ranGen/IV/GCM/macced) no mesmo __LOC colidem: so a primeira e emitida por processo","procurado campo de mensagem na identidade: ausente por design documentado","dedupe por processo: reinicio re-emite (contagens dependem da tool)","FN diagnostico da 2a clausula violada no mesmo sitio",major,0.9
GAMA-CIP-05,CipherSpec/(b) spec+versao,FAIL,PROVADO,"ErrorSummary.java:123-124 (6 campos) + ErrorCollector.java:38 (+expecting): nenhum campo identifica o conjunto jca vs jca_android","linhas de errors.csv nao atribuiveis ao conjunto de specs que as gerou","procurado campo de versao/conjunto em toda a cadeia ate log.py:113: inexistente","mensagens literais identicas entre conjuntos agravam","confunde qualquer comparacao entre bracos",major,0.95
GAMA-CIP-06,CipherSpec/CONSTRAINT allow-list (mensagem),FAIL,OBSERVADO_EM_ARTEFATO,"CipherSpec.mop:56 literal '{AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...}' elide a allow-list real (AndroidCipherTransformationUtil)","conjunto esperado nao-enumerado na mensagem; nao sincronizado com a tabela","conferido que o parser preserva as virgulas da mensagem (logcat_parser.py:347-349)","mensagem estatica pode divergir da tabela em manutencao futura","nenhum em deteccao; atrito diagnostico",minor,0.9
GAMA-CIP-07,CipherSpec/serializacao (newline),FAIL,INFERIDO,"ErrorCollector.java:39-40 escape comentado (codigo morto 44-51); expecting contem string do app (transformation)","\\n na transformation fragmenta a linha logcat; continuacao nao parseia (logcat_parser.py:371)","nao exercitado dinamicamente (proibido emulador); sem ocorrencia no errors.csv atual","hipotetico ate reproducao em harness","perda/garbling de registro (FN de registro)",minor,0.7
GAMA-CIP-08,CipherSpec/handlers apos condition-false,FAIL,PROVADO,"wrapper gerado ignora retorno de Prop_1_event_* (gen_gcm RuntimeMonitor.java:38-44); flags Category_* persistem do evento anterior","@match pode re-executar espuriamente apos evento suprimido","procurado gate no retorno: inexistente no codigo gerado","semantica do gerador rv-monitor, nao da spec","efeito benigno aqui (re-marca accepting); risco latente set-wide",minor,0.85
GAMA-GCM-01,GCMParameterSpecSpec/ere c1|c2,FAIL,PROVADO,"GCMParameterSpecSpec.mop:23+34 (dois eventos 'c1') e :48 (c2 indefinido); geracao em scratch limpa; automato efetivo 1 evento","simbolo indefinido aceito sem erro/warning (fail-open do gerador); alfabeto declarado mente","procurado erro de geracao: javamop e rv-monitor saem com sucesso","linguagem preservada por acidente (ambos construtores = c1)","nenhum FP/FN hoje; armadilha latente de manutencao",minor,0.95
GAMA-GCM-02,GCMParameterSpecSpec/@fail,FAIL,PROVADO,"transition {1,2,2} (gen_gcm RuntimeMonitor.java:93); evento unico = construtor after-returning por identidade; fail exige 2o evento no mesmo monitor: impossivel","@fail e codigo morto; corroborado MEDIDO: 0 linhas GCMParameterSpecSpec em 97018","procurado caminho de 2 eventos por objeto (clone/reuso): inexistente na API","zero linhas tambem compativel com perda de emissao pre-GH100 (nao necessario aqui: prova e estrutural)","spec nao tem canal de violacao propria",major,0.95
