id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
GAMA-MAC-01,MacSpec / ORDER + CONSTRAINTS macAlg allow-list,diagnostico,FEN-C-PAIRING-IMEDIATO,FAIL,INCORRETA,@fail espurio junto de erro especifico (mesma chamada),harness mac_a (gama_harness_output.txt:1-3): g3(DES) then i1(marked key) => UnsafeAlgorithm + InvalidSequenceOfMethodCalls at the SAME __LOC; table i1[0]=4 (artifact :347); 3-arg ErrorDescription => expecting=unknown (ErrorDescription.java:34-36),the trace satisfies the rule ORDER (Gets Inits Finals; algorithm is a CONSTRAINT); pre-registered G9 FAIL criterion verbatim; message also carries a cosmetic double 'expecting expecting',"conformant path mac_e produces exactly one specific record; frozen_set_debt.md:220-250 registers only the delayed shape, not same-call",harness != woven app (G10 pendency),FP (1 spurious InvalidSeq per unsafe-then-init site),critica,0.97
GAMA-MAC-02,MacSpec i1/i2 condition(GENERATED_KEY) vs api30 Mac REQUIRES,bindings_clausulas,FEN-B-GATE-EXTRA-ORACULO,FAIL,INCORRETA,clausula extra-oraculo imposta por condition => supressao + acusacao deslocada,"Mac.cryptsl REQUIRES = {preparedHMAC[params]; !encrypted[output1,_]; !encrypted[output2,_]} - NO generatedKey; MacSpec.mop:75,94 gates i1/i2 on GENERATED_KEY; harness mac_b: safe alg + unmarked key => i1 suppressed, f1 => 1 InvalidSeq (unknown) at the doFinal site on a rule-conformant trace, no specific record",executed displaced FP; the gate also suppresses the UnsafeAlgorithm report when alg is unsafe AND key unmarked; jca-inherited (predicate_inventory_jca.csv:40-41),"upstream CrySL 1.5.2 Mac does state generatedKey[key] - oracle-anchor divergence recorded, not corrected (pre_registro RQ: api30 is the oracle)",oracle-anchor ambiguity (1.5.2 vs api30); harness != woven app,FP (displaced InvalidSeq on conformant traces; common real flow: SecretKeySpec keys not marked) + FN (specific reports suppressed),critica,0.9
GAMA-MAC-03,"MacSpec f3 (doFinal(byte[],int))",toolchain_android,FEN-D-F3-UNBOUND,FAIL,INCORRETA,pointcut com target(m) sem formal + dispatch broadcast de fatia vazia,"MacSpecMonitorAspect.aj:88 declares target(m) with m undeclared; ajc 1.9.25.1 probe (gama_ajc_mac_probe.out): exit 0 + '[warning] no match for this type name: m [Xlint:invalidAbsoluteTypeName]' => f3 NEVER matches under ajc; artifact MacSpec_f3Event dispatches to MacSpec__Map empty slice (RuntimeMonitor: f3Event body 'matchedEntry = MacSpec__Map', broadcast event_f3); harness mac_d: one f3 broadcast => false InvalidSeq at the f3 site AND poisons the sibling Mac whose own conformant doFinal then fails","under ajc: rule f3 event unobservable (FN + dead GENERATED_MAC/MACED writes for that overload); if ever dispatched (harness/dexlib2): cross-object contamination executed; new exit-0 fail-open shape: generation clean, aspect compiles, pointcut silently dead","batch B KPR-c1 empty-slice family; dexlib2 descriptor half not executed (Beta lane, named)",dexlib2 matcher behavior on target(m) not executed; lane overlap with Beta on the ajc probe (declared),FN (ajc: overload invisible) + FP (broadcast contamination if woven),critica,0.95
GAMA-MAC-04,MacSpec Gets capture vs android-30 + H4,captura,FEN-C-EMPTY-LABEL,FAIL,INCORRETA,rotulo vazio vivo + rota de criacao invisivel,"harness mac_c: i1 as first event => 'but found .' + InvalidSeq (same call); android-30 declares Mac.getInstance(String Provider) (javap over extracted bytes) with no matching event (g2 is (String,String) only); the api30 Mac rule itself models only 1-arg getInstance (g1=g2 duplicate - oracle anomaly flagged for Alfa); historical: 31/31 MacSpec empty-label lines at tink Hkdf#computeHkdf (provider-parameterized EngineFactory route) - gama_errors_batchD_output.txt:44-45",H4 closure for MAC: the empty label is reproducible in the current artifact via the first-event route; historical attribution consistent but deferred,gh101 task 8.1 attributes campaign empty labels to the weaver collision - both routes coexist; 2-arg unsafe also lands here (g3 1-arg),historical data pre-repair; provider-route realizability inferred from tink source shape not executed,FP (2 false/degraded records per unseen-creation site),major,0.9
GAMA-MAC-05,MacSpec i2 preparedHMAC read + macced/GENERATED_MAC writers + 2-arg remove,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA,leitura/escrita de predicado verificada executavel,harness mac_e: i2 with unmarked params => exactly one UnsatisfiedConstraint naming the clause; MACED(pending)=true MACED(direct)=true GENERATED_MAC(out)=true isInAcceptingState=true; mac_b: GENERATED_MAC removed by @fail 2-arg remove (=false),registered repairs (72bb15348b36 4df0374c303e fac655e536bd) hold in execution,none found: no spurious fail accompanies the specific report on the conformant-order path,harness != woven app,reduces FP/FN on the repaired paths,n/a,0.95
GAMA-MAC-06,MacSpec / registro gh101 predicate_edges,predicados_composicao,FEN-D-REGISTER-ORACLE,FAIL,INCORRETA,registro afirma clausula que o oraculo congelado nao declara,"data/gh101/predicate_edges.csv:47 'MacSpec.mop,Mac,REQUIRES,generatedKey,no,key,GENERATED_KEY,present' - the frozen api30 Mac.cryptsl (sha 17245e0c...) has no generatedKey REQUIRES; the extra-oracle gate of GAMA-MAC-02 is thereby recorded as a satisfied rule clause",register contradicts the pre-registered oracle; GH101 is hypothesis not second oracle (protocol S1),searched Mac rows in all data/gh101 CSVs for an anchor annotation: none distinguishes 1.5.2 from api30 on this row,the row may deliberately use the 1.5.2 anchor - but no anchor column exists to say so,masks GAMA-MAC-02 from register-based review,major,0.85
GAMA-MDG-01,MessageDigestSpec / ORDER + CONSTRAINTS digestAlg,diagnostico,FEN-C-PAIRING-IMEDIATO,FAIL,INCORRETA,@fail espurio junto de erro especifico + cascata de pares pos-__RESET,"harness mdg_c: g4(FOO) then update update d2 on distinct lines => 6 records: a pair (UnsafeAlgorithm+InvalidSeq) at EACH consuming call site (:173 :174 :176); update[0]=4 d2[0]=4 (artifact :239,241); historical fingerprint: 2780/2871 execution-site cells carry BOTH categories (output F)",every consuming event after an unsafe get re-accuses in both categories; pre-registered G9 FAIL criterion; all sequencing records unknown,mdg_b/mdg_d conformant controls clean (0 records),harness != woven app; historical data pre-repair (attribution deferred),FP (one spurious InvalidSeq per consuming site + repeated UnsafeAlgorithm),critica,0.97
GAMA-MDG-02,MessageDigestSpec Gets capture + H4,captura,FEN-C-EMPTY-LABEL,FAIL,INCORRETA,rotulo vazio vivo (primeira-consumo) + rotas de criacao invisiveis,"harness mdg_a: update as first event => 'but found .' + InvalidSeq; invisible-creation routes: unsafe via g2(String,String)/g3(String,Provider) conditions false with no unsafe twin (g4 is 1-arg only) and MessageDigest.clone() (no event; rule has no clone either); historical 156 empty-label lines at 2 sites incl guava MessageDigestHashFunction$MessageDigestHasher#update - a clone()-based API (output E)",H4 closure for MDG: live route executed; the guava site is exactly the clone shape,task 8.1 weaver-collision account covers TMF/SSL; these MDG sites were the H4 'unexplained residue' - now they have a live current-artifact mechanism,clone-route realizability argued from guava API shape not executed; historical attribution deferred,FP (2 false/degraded records per unseen-creation site),major,0.85
GAMA-MDG-03,MessageDigestSpec g4 condition,bindings_clausulas,FEN-D-CONDVAR-LATENTE,FAIL,DIVERGENCIA_EQUIVALENTE_COMPROVADA,condicao testa campo do monitor e nao o argumento - mascarada,MessageDigestSpec.mop:56 condition(!algorithms.contains(currentAlgorithmInstance.toUpperCase())) - every sibling tests the ARGUMENT; masked because (a) monitorCall order is g1 then g4 (aspect .aj:42-46) so g1's body updates the field before g4's condition and (b) each getInstance binds a fresh monitor with field=''; harness mdg_b: safe MD5 first call => 0 records (no double fire),equivalent under the current advice order and per-object creation - the KGN-05 latent family,searched for an order-independent counterexample: none reachable while every g event creates its own monitor,dexlib2 monitorCall order comes from the same descriptor (same order) - residual risk only if the generator reorders,none today; FP if order or binding ever changes,minor,0.85
GAMA-MDG-04,MessageDigestSpec UnsafeAlgorithm message,diagnostico,FEN-D-MSG-SET-ERRADO,FAIL,INCORRETA,mensagem afirma conjunto esperado errado,"message literal 'expecting one of {SHA-256, SHA-384, SHA-512}' (MessageDigestSpec.mop:71,89) while the enforced list is {MD5,SHA-1,SHA-224,SHA-256,SHA-384,SHA-512,SHA256,SHA384,SHA512} (mop:16-17); executed in mdg_c records",a violation report names an oracle the spec does not enforce - misattribution of the clause content (G9 item a/g),pilot GAMA-CIP elided-set precedent; here the stated set is wrong not merely elided,none material,diagnostic misdirection (no FP/FN count change),minor,0.95
