mac_gi1	javax.crypto.Mac	getInstance	Ljava/lang/String;	Ljavax/crypto/Mac;	S
mac_gi2s	javax.crypto.Mac	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljavax/crypto/Mac;	S
mac_gi2p	javax.crypto.Mac	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljavax/crypto/Mac;	S
mac_init_k	javax.crypto.Mac	init	Ljava/security/Key;	V	V
mac_init_kaps	javax.crypto.Mac	init	Ljava/security/Key;,Ljava/security/spec/AlgorithmParameterSpec;	V	V
mac_up_b	javax.crypto.Mac	update	B	V	V
mac_up_arr	javax.crypto.Mac	update	[B	V	V
mac_up_arr3	javax.crypto.Mac	update	[B,I,I	V	V
mac_up_buf	javax.crypto.Mac	update	Ljava/nio/ByteBuffer;	V	V
mac_df0	javax.crypto.Mac	doFinal	-	[B	V
mac_df_arr	javax.crypto.Mac	doFinal	[B	[B	V
mac_df_out	javax.crypto.Mac	doFinal	[B,I	V	V
n_mac_reset	javax.crypto.Mac	reset	-	V	V
mdg_gi1	java.security.MessageDigest	getInstance	Ljava/lang/String;	Ljava/security/MessageDigest;	S
mdg_gi2s	java.security.MessageDigest	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljava/security/MessageDigest;	S
mdg_gi2p	java.security.MessageDigest	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljava/security/MessageDigest;	S
mdg_up_b	java.security.MessageDigest	update	B	V	V
mdg_up_arr	java.security.MessageDigest	update	[B	V	V
mdg_up_arr3	java.security.MessageDigest	update	[B,I,I	V	V
mdg_up_buf	java.security.MessageDigest	update	Ljava/nio/ByteBuffer;	V	V
mdg_d0	java.security.MessageDigest	digest	-	[B	V
mdg_d_arr	java.security.MessageDigest	digest	[B	[B	V
mdg_d3	java.security.MessageDigest	digest	[B,I,I	I	V
n_mdg_reset	java.security.MessageDigest	reset	-	V	V
kpg_gi1	java.security.KeyPairGenerator	getInstance	Ljava/lang/String;	Ljava/security/KeyPairGenerator;	S
kpg_gi2s	java.security.KeyPairGenerator	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljava/security/KeyPairGenerator;	S
kpg_gi2p	java.security.KeyPairGenerator	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljava/security/KeyPairGenerator;	S
kpg_init_i	java.security.KeyPairGenerator	initialize	I	V	V
kpg_init_isr	java.security.KeyPairGenerator	initialize	I,Ljava/security/SecureRandom;	V	V
kpg_init_aps	java.security.KeyPairGenerator	initialize	Ljava/security/spec/AlgorithmParameterSpec;	V	V
kpg_init_apsr	java.security.KeyPairGenerator	initialize	Ljava/security/spec/AlgorithmParameterSpec;,Ljava/security/SecureRandom;	V	V
kpg_gen	java.security.KeyPairGenerator	generateKeyPair	-	Ljava/security/KeyPair;	V
kpg_genkp	java.security.KeyPairGenerator	genKeyPair	-	Ljava/security/KeyPair;	V
n_kgn_gi1	javax.crypto.KeyGenerator	getInstance	Ljava/lang/String;	Ljavax/crypto/KeyGenerator;	S
srd_c0	java.security.SecureRandom	<init>	-	V	D
srd_cb	java.security.SecureRandom	<init>	[B	V	D
srd_gi1	java.security.SecureRandom	getInstance	Ljava/lang/String;	Ljava/security/SecureRandom;	S
srd_gi2s	java.security.SecureRandom	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljava/security/SecureRandom;	S
srd_gi2p	java.security.SecureRandom	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljava/security/SecureRandom;	S
srd_gstrong	java.security.SecureRandom	getInstanceStrong	-	Ljava/security/SecureRandom;	S
srd_setseed_l	java.security.SecureRandom	setSeed	J	V	V
srd_setseed_b	java.security.SecureRandom	setSeed	[B	V	V
srd_genseed	java.security.SecureRandom	generateSeed	I	[B	V
srd_nextint_b	java.security.SecureRandom	nextInt	I	I	V
srd_nextint0	java.security.SecureRandom	nextInt	-	I	V
srd_nextbytes	java.security.SecureRandom	nextBytes	[B	V	V
srd_ints0	java.security.SecureRandom	ints	-	Ljava/util/stream/IntStream;	V
srd_ints_l	java.security.SecureRandom	ints	J	Ljava/util/stream/IntStream;	V
srd_ints_ii	java.security.SecureRandom	ints	I,I	Ljava/util/stream/IntStream;	V
srd_ints_lii	java.security.SecureRandom	ints	J,I,I	Ljava/util/stream/IntStream;	V
n_srd_nextlong	java.security.SecureRandom	nextLong	-	J	V
n_srd_nextdouble	java.security.SecureRandom	nextDouble	-	D	V
sig_gi1	java.security.Signature	getInstance	Ljava/lang/String;	Ljava/security/Signature;	S
sig_gi2s	java.security.Signature	getInstance	Ljava/lang/String;,Ljava/lang/String;	Ljava/security/Signature;	S
sig_gi2p	java.security.Signature	getInstance	Ljava/lang/String;,Ljava/security/Provider;	Ljava/security/Signature;	S
sig_isign	java.security.Signature	initSign	Ljava/security/PrivateKey;	V	V
sig_isign_sr	java.security.Signature	initSign	Ljava/security/PrivateKey;,Ljava/security/SecureRandom;	V	V
sig_iver_c	java.security.Signature	initVerify	Ljava/security/cert/Certificate;	V	V
sig_iver_p	java.security.Signature	initVerify	Ljava/security/PublicKey;	V	V
sig_up_b	java.security.Signature	update	B	V	V
sig_up_arr	java.security.Signature	update	[B	V	V
sig_up_arr3	java.security.Signature	update	[B,I,I	V	V
sig_up_buf	java.security.Signature	update	Ljava/nio/ByteBuffer;	V	V
sig_sign0	java.security.Signature	sign	-	[B	V
sig_sign3	java.security.Signature	sign	[B,I,I	I	V
sig_ver	java.security.Signature	verify	[B	Z	V
sig_ver3	java.security.Signature	verify	[B,I,I	Z	V
