class,method,parameters,signature
java.security.KeyPairGenerator,genKeyPair,"()","public KeyPair KeyPairGenerator.genKeyPair()"
java.security.KeyPairGenerator,generateKeyPair,"()","public KeyPair KeyPairGenerator.generateKeyPair()"
java.security.KeyPairGenerator,getInstance,"(String,String)","public static KeyPairGenerator KeyPairGenerator.getInstance(String, String)"
java.security.KeyPairGenerator,getInstance,"(String)","public static KeyPairGenerator KeyPairGenerator.getInstance(String)"
java.security.KeyPairGenerator,initialize,"(int,java.security.SecureRandom)","public void KeyPairGenerator.initialize(int, SecureRandom)"
java.security.KeyPairGenerator,initialize,"(java.security.spec.AlgorithmParameterSpec,java.security.SecureRandom)","public void KeyPairGenerator.initialize(AlgorithmParameterSpec, SecureRandom)"
java.security.KeyPairGenerator,initialize,"(int)","public void KeyPairGenerator.initialize(int)"
java.security.KeyPairGenerator,initialize,"(java.security.spec.AlgorithmParameterSpec)","public void KeyPairGenerator.initialize(AlgorithmParameterSpec)"
java.security.MessageDigest,digest,"(byte[],int,int)","public int MessageDigest.digest(byte[], int, int)"
java.security.MessageDigest,digest,"()","public byte[] MessageDigest.digest()"
java.security.MessageDigest,digest,"(byte[])","public byte[] MessageDigest.digest(byte[])"
java.security.MessageDigest,getInstance,"(String,String)","public static MessageDigest MessageDigest.getInstance(String, String)"
java.security.MessageDigest,getInstance,"(String)","public static MessageDigest MessageDigest.getInstance(String)"
java.security.MessageDigest,getInstance,"(String,java.security.Provider)","public static MessageDigest MessageDigest.getInstance(String, Provider)"
java.security.MessageDigest,update,"(..)","void MessageDigest.update(..)"
java.security.SecureRandom,generateSeed,"(int)","public byte[] SecureRandom.generateSeed(int)"
java.security.SecureRandom,getInstance,"(String)","public static SecureRandom SecureRandom.getInstance(String)"
java.security.SecureRandom,getInstance,"(String,..)","public static SecureRandom SecureRandom.getInstance(String, ..)"
java.security.SecureRandom,getInstanceStrong,"()","public static SecureRandom SecureRandom.getInstanceStrong()"
java.security.SecureRandom,ints,"(..)","public IntStream SecureRandom.ints(..)"
java.security.SecureRandom,new,"()","public SecureRandom.new()"
java.security.SecureRandom,new,"(byte[])","public SecureRandom.new(byte[])"
java.security.SecureRandom,nextBytes,"(byte[])","public void SecureRandom.nextBytes(byte[])"
java.security.SecureRandom,nextInt,"()","public int SecureRandom.nextInt()"
java.security.SecureRandom,nextInt,"(int)","public int SecureRandom.nextInt(int)"
java.security.SecureRandom,setSeed,"(long)","public void SecureRandom.setSeed(long)"
java.security.SecureRandom,setSeed,"(byte[])","public void SecureRandom.setSeed(byte[])"
java.security.Signature,getInstance,"(String,String)","public static Signature Signature.getInstance(String, String)"
java.security.Signature,getInstance,"(String)","public static Signature Signature.getInstance(String)"
java.security.Signature,initSign,"(java.security.PrivateKey)","public void Signature.initSign(PrivateKey)"
java.security.Signature,initSign,"(java.security.PrivateKey,java.security.SecureRandom)","public void Signature.initSign(PrivateKey, SecureRandom)"
java.security.Signature,initVerify,"(java.security.cert.Certificate)","public void Signature.initVerify(Certificate)"
java.security.Signature,initVerify,"(java.security.PublicKey)","public void Signature.initVerify(PublicKey)"
java.security.Signature,sign,"()","public byte Signature.sign()"
java.security.Signature,sign,"(byte[],int,int)","public byte Signature.sign(byte[], int, int)"
java.security.Signature,update,"(..)","public void Signature.update(..)"
java.security.Signature,verify,"(byte[])","public boolean Signature.verify(byte[])"
java.security.Signature,verify,"(byte[],int,int)","public boolean Signature.verify(byte[], int, int)"
javax.crypto.Mac,doFinal,"(byte[])","byte[] Mac.doFinal(byte[])"
javax.crypto.Mac,doFinal,"()","byte[] Mac.doFinal()"
javax.crypto.Mac,doFinal,"(byte[],int)","void Mac.doFinal(byte[], int)"
javax.crypto.Mac,getInstance,"(String)","public static Mac Mac.getInstance(String)"
javax.crypto.Mac,getInstance,"(String,String)","public static Mac Mac.getInstance(String, String)"
javax.crypto.Mac,init,"(java.security.Key)","public void Mac.init(java.security.Key)"
javax.crypto.Mac,init,"(java.security.Key,java.security.spec.AlgorithmParameterSpec)","public void Mac.init(java.security.Key, java.security.spec.AlgorithmParameterSpec)"
javax.crypto.Mac,update,"(byte)","public void Mac.update(byte)"
javax.crypto.Mac,update,"(java.nio.ByteBuffer)","public void Mac.update(ByteBuffer)"
javax.crypto.Mac,update,"(byte[],..)","public void Mac.update(byte[], ..)"
