id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-SET-01,"G2 gerabilidade dos 5 (MAC/MDG/KPG/SRD/SIG)",reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"regeneracao em scratch com toolchain congelada (/usr/bin/time -v): 5/5 artefatos byte-identicos ao round input (beta_hashes.txt); todos <=17 eventos (max 15 SRD); CoenableProbe sobre ere.jar/fsm.jar de producao: fail=n*(2^n-1) EXATO em 5/5 (beta_coenable_summary.txt)","determinismo do gerador confirmado; nenhuma spec excede o teto","buscou-se spec >17 eventos ou geracao nao-determinista entre reps: nenhuma","REF-11: identidade de bytes e determinismo, nao replicacao independente","nenhum",n/a,0.98
BETA-SET-02,"G2 SRD stress / teto de 17",reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"SRD 15 eventos: coenable[fail]=491505=15*(2^15-1) EXATO; string 24.08 MB; rv-monitor 12.57/12.06/12.95 s e 1.61 GB RSS em 3 reps; RuntimeMonitor byte-identico entre reps e ao round input (beta_coenable_summary.txt)","o teto de 17 reproduz DESTE ponto: a 15 eventos ja sao 1.6 GB; 17 seriam 2228207 conjuntos (~4.5x) => parede multi-GB","buscou-se saturacao menor que n*(2^n-1): coenable EXATO, sem folga","medicao de 1 host; RSS depende do heap da JVM","custo proximo do teto",minor,0.95
BETA-SET-03,"cadeia de artefatos descriptor<->aspect<->RuntimeMonitor (G6 estatico)",reprodutibilidade,,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"1:1 programatico advices/monitorCalls .aj vs .json em 5/5 (MAC 10/11, MDG 7/8, KPG 7/9, SRD 13/15, SIG 11/12); merge 23-spec compila limpo contra runtime de producao (javac exit 0, 57 classes); CADA RuntimeMonitor compila standalone (exit 0, 0 erros) — sem o mascaramento de import do KGN batch C","nenhuma divergencia de cardinalidade/ordem de monitorCall","buscou-se RuntimeMonitor com erro de compilacao standalone (mascaramento KGN): nenhum nos 5","execucao ART nao exercida (metade G6/G10 pendente)","nenhum",n/a,0.95
BETA-SET-04,"fail-open do gerador (P1/P2/P3)",diagnostico,FEN-SET-FAILOPEN,FAIL,INCORRETA,MEDIDO,"P1 estado fsm indefinido (SRD setSeed3->endX): jm/rm exit 0, stderr avisa, NENHUM RuntimeMonitor; P2 simbolo ere indefinido (SIG iX): exit 0, RuntimeMonitor PRESENTE com linha orfa iX; P3 paren solto (MAC): 'Logic Engine Error: null' exit 0 sem RuntimeMonitor (beta_probes_summary.txt)","todos exit 0; pipeline por exit-code nao detecta monitor perdido nem simbolo desconhecido aceito","buscou-se exit code diferente de 0 em qualquer probe: nenhum","mutacoes sinteticas, nao um defeito observado em producao","emissao perdida silenciosa se um .mop for corrompido",major,0.9
BETA-SET-05,"indexacao: raiz global + eventos por objeto (MAC/KPG/SIG/SRD/MDG)",predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"cada spec tem um Tuple2 raiz process-global (ex. MacSpec__Map RuntimeMonitor:9490) e mapas por objeto (MacSpec_m_Map por weak-ref do Mac, dispatch g1 :11-22); two-object drives isolam A/B em 4 specs (MAC-a, SIG-d, SRD-a, KPG)","isolamento por identidade confirmado nos eventos ligados","buscou-se contaminacao entre duas instancias iguais-por-identidade: nenhuma nos eventos ligados","o defeito de nao-ligacao (f3, abaixo) usa a raiz global","isolamento correto exceto eventos nao-ligados",n/a,0.92
BETA-MAC-01,"MacSpec f3 doFinal(byte[],int) / target(m) sem formal Mac m",bindings_clausulas,FEN-D-UNBOUND-EVENT,FAIL,INCORRETA,PROVADO,"f3 declara after(byte[] output,int outOffset) SEM 'Mac m' mas usa target(m): ajc emite invalidAbsoluteTypeName em MultiSpec_1MonitorAspect.aj:479 e o site fica UNCAPTURED; dexlib2 emite MacSpec_f3Event(output,outOffset) que despacha por MacSpec__Map GLOBAL (RuntimeMonitor f3Event :1684-); drive dex: DX-MAC-anon dispara InvalidSeq sem monitor vivo e DX-MAC-bcast poe B em accepting e depois InvalidSeq (broadcast) — 3 reps identicos (beta_dexdrive_run1.out)","doFinal(byte[],int) em qualquer Mac acusa/aceita monitores alheios (dexlib2) ou some (ajc)","nenhuma — mecanismo jar-independente, ambas as metades falham diferente","as duas metades DISCORDAM: ajc morto vs dexlib2 broadcast","FP critico (dexlib2) e FN de aceitacao (ajc) na 3a sobrecarga de doFinal",critica,0.96
BETA-MAC-02,"MacSpec g2 getInstance(String,String) — sobrecarga Provider omitida",captura_eventos,FEN-D-GETINSTANCE-PROVIDER,FAIL,OMITIDA,MEDIDO,"CrySL g2 = getInstance(macAlg) com o Provider coberto pelo overload; a spec casa exato getInstance(String,String); site mac_gi2p UNCAPTURED em ajc e UNTOUCHED em dexlib2 (beta_capture_matrix.txt); android-30 publica getInstance(String,Provider) (beta_member_tables.txt)","um Mac obtido via getInstance(alg,providerObj) e invisivel","o oraculo CrySL usa argumento anonimo _ que abrange ambos os overloads","MDG (g3 explicito) e SRD (..) capturam; MAC/KPG/SIG nao","FN: getInstance com Provider objeto nao monitorado",major,0.9
BETA-MAC-03,"MacSpec uBuf update(ByteBuffer) corpo vazio",predicados_composicao,FEN-D-S13-BYTEBUFFER,FAIL,LIMITAÇÃO_INEVITÁVEL_DOCUMENTADA,OBSERVADO_EM_ARTEFATO,"CrySL Mac nao modela ByteBuffer update; a spec adiciona uBuf so para manter o lugar no automato e NAO marca (MacSpec.mop:130-138); capturado em ambas as metades mas nao escreve MACED","dados alimentados via ByteBuffer nunca sao MACED; clausula Cipher !macced silenciosa sobre eles","omissao consciente registrada no proprio .mop","FN documentado — bloqueia aderencia total salvo reducao de escopo","FN de MACED para entrada via ByteBuffer",minor,0.9
BETA-MAC-04,"MacSpec uByte update(byte) marca o Byte boxed (cache)",predicados_composicao,FEN-D-BOXING,FAIL,LIMITAÇÃO_INEVITÁVEL_DOCUMENTADA,INFERIDO,"uByte faz pendingInputs.add(input) com byte->Byte; toda a faixa de byte (-128..127) esta no Byte cache, entao identidade e igualdade coincidem e um byte MACED marca todo literal igual no processo (MacSpec.mop:119-128, comentario da propria spec)","over-reporting: um byte MACED contamina MACED de qualquer byte igual","registrado no .mop (tarefa 4.4 do randomized)","nao exercitado dinamicamente aqui (inferido do cache do JDK)","FP potencial de MACED por igualdade de Byte",minor,0.75
BETA-MAC-05,"MacSpec i1 condition(validate GENERATED_KEY) suprime transicao",diagnostico,FEN-D-COND-SUPPRESS,FAIL,INCORRETA,MEDIDO,"i1 poe a checagem de chave em condition() (nao no corpo); chave nao monitorada => guard falso => nenhuma transicao i1 => doFinal seguinte vira InvalidSeq (drive MAC-d1: delta InvalidSequenceOfMethodCalls/MacSpec, sem erro especifico de chave)","o proprio .mop (comentario de i2) alerta que reads devem ir no corpo para evitar isso, mas i1 mantem em condition()","o comportamento pode ser intencional (so chaves monitoradas avancam)","o diagnostico e InvalidSeq generico, nao 'chave nao monitorada'","FP: uso legal com chave externa gera violacao de sequencia espuria",major,0.8
BETA-MAC-06,"MacSpec rota insegura g3->i1 residuo",diagnostico,FEN-D-UNSAFE-RESIDUE,FAIL,INCORRETA,MEDIDO,"Mac.getInstance(alg inseguro) => g3 (prefixo, nao avanca); init => automato so viu g3 => i1 e violacao de sequencia; drive MAC-c1: UnsafeAlgorithm=1 E InvalidSequenceOfMethodCalls=1 (beta_drive_run1.out)","o UnsafeAlgorithm correto vem acompanhado de um InvalidSeq espurio","mesma forma de residuo que KGN/SIG (FEN pilot H2)","residuo diagnostico, atribuivel mas ruidoso","FP: InvalidSeq espurio sobre o erro especifico",major,0.85
