apk,rep,timeout,tool,time,spec,class,method,source,code,event,message,unique_msg
cryptoapp.apk,1,300,aperv:sata_mop,82,SecretKeySpecSpec,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeSecretKeyOperation,CryptographyActivity.java:358,SECRETKEYSPEC-CONSTR-00,c1,"v=1 code=SECRETKEYSPEC-CONSTR-00 ev=c1 obj=SecretKeySpec val='' exp='a randomized byte[]' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to come from a randomized source'","br.unb.cic.cryptoapp.generated.CryptographyActivity:::executeSecretKeyOperation:::SecretKeySpecSpec:::UnsatisfiedConstraint:::SECRETKEYSPEC-CONSTR-00:::c1:::v=1 code=SECRETKEYSPEC-CONSTR-00 ev=c1 obj=SecretKeySpec val='' exp='a randomized byte[]' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to come from a randomized source'"
cryptoapp.apk,1,300,aperv:sata_mop,82,CipherSpec,br.unb.cic.cryptoapp.generated.CryptographyActivity,encryptWithSecretKey,CryptographyActivity.java:457,CIPHER-NOBS-00,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed',br.unb.cic.cryptoapp.generated.CryptographyActivity:::encryptWithSecretKey:::CipherSpec:::UnsatisfiedConstraint:::CIPHER-NOBS-00:::i2:::v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
cryptoapp.apk,1,300,aperv:sata_mop,91,CipherSpec,br.unb.cic.cryptoapp.generated.CryptographyActivity,encryptWithSecretKey,CryptographyActivity.java:461,CIPHER-NOBS-00,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed',br.unb.cic.cryptoapp.generated.CryptographyActivity:::encryptWithSecretKey:::CipherSpec:::UnsatisfiedConstraint:::CIPHER-NOBS-00:::i2:::v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
cryptoapp.apk,1,300,aperv:sata_mop,99,SecretKeySpecSpec,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeHmacOperation,CryptographyActivity.java:604,SECRETKEYSPEC-CONSTR-00,c1,"v=1 code=SECRETKEYSPEC-CONSTR-00 ev=c1 obj=SecretKeySpec val='' exp='a randomized byte[]' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to come from a randomized source'","br.unb.cic.cryptoapp.generated.CryptographyActivity:::executeHmacOperation:::SecretKeySpecSpec:::UnsatisfiedConstraint:::SECRETKEYSPEC-CONSTR-00:::c1:::v=1 code=SECRETKEYSPEC-CONSTR-00 ev=c1 obj=SecretKeySpec val='' exp='a randomized byte[]' msg='the keyMaterial given to SecretKeySpec(byte[], String) was not observed to come from a randomized source'"
cryptoapp.apk,1,300,aperv:sata_mop,99,MacSpec,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeHmacOperation,CryptographyActivity.java:620,MAC-ORDER-00,f1,v=1 code=MAC-ORDER-00 ev=f1 obj=Mac val='' exp='' msg='the observed call sequence is not one MacSpec accepts',br.unb.cic.cryptoapp.generated.CryptographyActivity:::executeHmacOperation:::MacSpec:::InvalidSequenceOfMethodCalls:::MAC-ORDER-00:::f1:::v=1 code=MAC-ORDER-00 ev=f1 obj=Mac val='' exp='' msg='the observed call sequence is not one MacSpec accepts'
cryptoapp.apk,1,300,aperv:sata_mop,297,KeyGeneratorSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:51,KEYGENERATOR-ALG-00,gk1,"v=1 code=KEYGENERATOR-ALG-00 ev=gk1 obj=KeyGenerator val='DES' exp='ChaCha20,ARC4,HmacSHA224,DESede,HmacSHA256,HmacMD5,HmacSHA1,HmacSHA512,AES,BLOWFISH,HmacSHA384' msg='expecting one of ChaCha20,ARC4,HmacSHA224,DESede,HmacSHA256,HmacMD5,HmacSHA1,HmacSHA512,AES,BLOWFISH,HmacSHA384 but found DES'","br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::KeyGeneratorSpec:::UnsafeAlgorithm:::KEYGENERATOR-ALG-00:::gk1:::v=1 code=KEYGENERATOR-ALG-00 ev=gk1 obj=KeyGenerator val='DES' exp='ChaCha20,ARC4,HmacSHA224,DESede,HmacSHA256,HmacMD5,HmacSHA1,HmacSHA512,AES,BLOWFISH,HmacSHA384' msg='expecting one of ChaCha20,ARC4,HmacSHA224,DESede,HmacSHA256,HmacMD5,HmacSHA1,HmacSHA512,AES,BLOWFISH,HmacSHA384 but found DES'"
cryptoapp.apk,1,300,aperv:sata_mop,297,KeyGeneratorSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:51,KEYGENERATOR-ORDER-00,gk1,v=1 code=KEYGENERATOR-ORDER-00 ev=gk1 obj=KeyGenerator val='' exp='' msg='the observed call sequence is not one KeyGeneratorSpec accepts',br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::KeyGeneratorSpec:::InvalidSequenceOfMethodCalls:::KEYGENERATOR-ORDER-00:::gk1:::v=1 code=KEYGENERATOR-ORDER-00 ev=gk1 obj=KeyGenerator val='' exp='' msg='the observed call sequence is not one KeyGeneratorSpec accepts'
cryptoapp.apk,1,300,aperv:sata_mop,297,CipherSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:54,CIPHER-NOBS-00,i2,v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed',br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::CipherSpec:::UnsatisfiedConstraint:::CIPHER-NOBS-00:::i2:::v=1 code=CIPHER-NOBS-00 ev=i2 obj=Cipher val='' exp='a key produced by one of the generators the rule names' msg='no generator of the key given to Cipher.init was observed'
cryptoapp.apk,1,300,aperv:sata_mop,297,CipherSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:54,CIPHER-ALG-01,i2,v=1 code=CIPHER-ALG-01 ev=i2 obj=Cipher val='DES' exp='a transformation admitted by Api30CipherTransformationUtil (api30 Cipher.cryptsl)' msg='expecting a transformation admitted by Api30CipherTransformationUtil (api30 Cipher.cryptsl) but found DES',br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::CipherSpec:::UnsafeAlgorithm:::CIPHER-ALG-01:::i2:::v=1 code=CIPHER-ALG-01 ev=i2 obj=Cipher val='DES' exp='a transformation admitted by Api30CipherTransformationUtil (api30 Cipher.cryptsl)' msg='expecting a transformation admitted by Api30CipherTransformationUtil (api30 Cipher.cryptsl) but found DES'
cryptoapp.apk,1,300,aperv:sata_mop,297,CipherSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:54,CIPHER-ORDER-00,i2,v=1 code=CIPHER-ORDER-00 ev=i2 obj=Cipher val='' exp='' msg='the observed call sequence is not one CipherSpec accepts',br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::CipherSpec:::InvalidSequenceOfMethodCalls:::CIPHER-ORDER-00:::i2:::v=1 code=CIPHER-ORDER-00 ev=i2 obj=Cipher val='' exp='' msg='the observed call sequence is not one CipherSpec accepts'
cryptoapp.apk,1,300,aperv:sata_mop,297,CipherSpec,br.unb.cic.cryptoapp.cipher.CipherUtil,des,CipherUtil.java:56,CIPHER-ORDER-00,f2,v=1 code=CIPHER-ORDER-00 ev=f2 obj=Cipher val='' exp='' msg='the observed call sequence is not one CipherSpec accepts',br.unb.cic.cryptoapp.cipher.CipherUtil:::des:::CipherSpec:::InvalidSequenceOfMethodCalls:::CIPHER-ORDER-00:::f2:::v=1 code=CIPHER-ORDER-00 ev=f2 obj=Cipher val='' exp='' msg='the observed call sequence is not one CipherSpec accepts'
