apk,rep,timeout,tool,time,class,method,signature,cov_class,cov_act,cov_method,cov_rv_method,cov_reachable,cov_reaches_target,cov_directly_reaches_target
cryptoapp.apk,1,300,aperv:sata_mop,0,br.unb.cic.cryptoapp.MainActivity,<init>,<br.unb.cic.cryptoapp.MainActivity: void <init>()>,68.75,25.0,0.94,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,0,br.unb.cic.cryptoapp.MainActivity,onCreate,<br.unb.cic.cryptoapp.MainActivity: void onCreate(android.os.Bundle)>,68.75,25.0,1.89,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,1,br.unb.cic.cryptoapp.MainActivity$1,<init>,<br.unb.cic.cryptoapp.MainActivity$1: void <init>(br.unb.cic.cryptoapp.MainActivity)>,68.75,25.0,2.83,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,1,br.unb.cic.cryptoapp.MainActivity,onCreateOptionsMenu,<br.unb.cic.cryptoapp.MainActivity: boolean onCreateOptionsMenu(android.view.Menu)>,68.75,25.0,3.77,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.MainActivity,showGenerated,<br.unb.cic.cryptoapp.MainActivity: void showGenerated(android.view.View)>,68.75,25.0,4.72,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.MainActivity,showScreen,<br.unb.cic.cryptoapp.MainActivity: void showScreen(java.lang.Class)>,68.75,25.0,5.66,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupInputFields,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupInputFields()>,68.75,50.0,6.6,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,validateInputs,<br.unb.cic.cryptoapp.generated.CryptographyActivity: boolean validateInputs()>,68.75,50.0,7.55,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupExecuteButton,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupExecuteButton()>,68.75,50.0,8.49,0.0,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,lambda$setupExecuteButton$0$CryptographyActivity,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void lambda$setupExecuteButton$0$CryptographyActivity(android.view.View)>,68.75,50.0,9.43,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,updateUIForTab,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void updateUIForTab()>,68.75,50.0,10.38,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,onCreate,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void onCreate(android.os.Bundle)>,68.75,50.0,11.32,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupModeRadioGroup,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupModeRadioGroup()>,68.75,50.0,12.26,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupTabLayout,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupTabLayout()>,68.75,50.0,13.21,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,<init>,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void <init>()>,68.75,50.0,14.15,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupAlgorithmSpinner,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupAlgorithmSpinner(java.lang.String[])>,68.75,50.0,15.09,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupSecretKeyUI,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupSecretKeyUI()>,68.75,50.0,16.04,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity,initializeViews,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void initializeViews()>,68.75,50.0,16.98,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity$1,<init>,<br.unb.cic.cryptoapp.generated.CryptographyActivity$1: void <init>(br.unb.cic.cryptoapp.generated.CryptographyActivity)>,68.75,50.0,17.92,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity$$ExternalSyntheticLambda0,onClick,<br.unb.cic.cryptoapp.generated.CryptographyActivity$$ExternalSyntheticLambda0: void onClick(android.view.View)>,68.75,50.0,18.87,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,3,br.unb.cic.cryptoapp.generated.CryptographyActivity$$ExternalSyntheticLambda0,<init>,<br.unb.cic.cryptoapp.generated.CryptographyActivity$$ExternalSyntheticLambda0: void <init>(br.unb.cic.cryptoapp.generated.CryptographyActivity)>,68.75,50.0,19.81,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,31,br.unb.cic.cryptoapp.generated.CryptographyActivity,access$002,"<br.unb.cic.cryptoapp.generated.CryptographyActivity: java.lang.String access$002(br.unb.cic.cryptoapp.generated.CryptographyActivity,java.lang.String)>",68.75,50.0,20.75,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,31,br.unb.cic.cryptoapp.generated.CryptographyActivity,access$100,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void access$100(br.unb.cic.cryptoapp.generated.CryptographyActivity)>,68.75,50.0,21.7,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,31,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupHmacUI,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupHmacUI()>,68.75,50.0,22.64,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,31,br.unb.cic.cryptoapp.generated.CryptographyActivity$1,onTabUnselected,<br.unb.cic.cryptoapp.generated.CryptographyActivity$1: void onTabUnselected(com.google.android.material.tabs.TabLayout$Tab)>,68.75,50.0,23.58,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,31,br.unb.cic.cryptoapp.generated.CryptographyActivity$1,onTabSelected,<br.unb.cic.cryptoapp.generated.CryptographyActivity$1: void onTabSelected(com.google.android.material.tabs.TabLayout$Tab)>,68.75,50.0,24.53,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,38,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupKeyPairUI,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupKeyPairUI()>,68.75,50.0,25.47,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,57,br.unb.cic.cryptoapp.generated.CryptographyActivity,setupHashUI,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void setupHashUI()>,68.75,50.0,26.42,3.12,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,82,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeOperation,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void executeOperation()>,68.75,50.0,27.36,6.25,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,82,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeSecretKeyOperation,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void executeSecretKeyOperation()>,68.75,50.0,28.3,9.38,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,82,br.unb.cic.cryptoapp.generated.CryptographyActivity,encryptWithSecretKey,"<br.unb.cic.cryptoapp.generated.CryptographyActivity: byte[] encryptWithSecretKey(java.lang.String,java.lang.String)>",68.75,50.0,29.25,12.5,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,82,br.unb.cic.cryptoapp.generated.CryptographyActivity,generateIV,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void generateIV()>,68.75,50.0,30.19,15.62,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,99,br.unb.cic.cryptoapp.generated.CryptographyActivity,executeHmacOperation,<br.unb.cic.cryptoapp.generated.CryptographyActivity: void executeHmacOperation()>,68.75,50.0,31.13,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,199,br.unb.cic.cryptoapp.MainActivity,showHome,<br.unb.cic.cryptoapp.MainActivity: void showHome(android.view.MenuItem)>,68.75,50.0,32.08,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,201,br.unb.cic.cryptoapp.MainActivity$1,onMenuItemClick,<br.unb.cic.cryptoapp.MainActivity$1: boolean onMenuItemClick(android.view.MenuItem)>,68.75,50.0,33.02,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,203,br.unb.cic.cryptoapp.MainActivity,showScreenMessageDigest,<br.unb.cic.cryptoapp.MainActivity: void showScreenMessageDigest(android.view.View)>,68.75,50.0,33.96,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,203,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,<init>,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: void <init>()>,68.75,75.0,34.91,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,203,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,onCreate,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: void onCreate(android.os.Bundle)>,68.75,75.0,35.85,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,204,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,validateInput,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: boolean validateInput(java.lang.String)>,68.75,75.0,36.79,18.75,85.45,43.75,23.81
cryptoapp.apk,1,300,aperv:sata_mop,204,br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity,validateAlgorithm,<br.unb.cic.cryptoapp.messagedigest.MessageDigestActivity: boolean validateAlgorithm(java.lang.String)>,68.75,75.0,37.74,18.75,85.45,43.75,23.81
