id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
ALFA-DHG-01,DHGenParameterSpecSpec/ORDER c1,linguagem_formal,FEN-DHG-linguagem,PASS,FIDELIDADE_DEMONSTRADA,PROVADO-verificacao-algoritmica,"batchA/alfa_automata_check.py + alfa_automata_output.txt; tabela efetiva c1={1,2,2} em gen_DHGenParameterSpecSpec/out/DHGenParameterSpecSpecRuntimeMonitor.java:68 (sha 90aaf45b); DHGenParameterSpec.cryptsl:16-17","dupla inclusao modulo alfa VALE sobre traces realizaveis (1 evento por instancia); transicoes 1->2 e @fail sao vacuas (2a construcao do mesmo objeto impossivel)","procurei trace separador ate o limite da tabela (nenhum); procurei evento all-fail (nenhum)","projecao satisfazedora do guard e parte de alfa; o ramo suprimido e julgado em ALFA-DHG-02/03",nenhum,minor,0.95
ALFA-DHG-02,DHGenParameterSpecSpec/c1 condition(exponentSize<primeSize),bindings_clausulas,FEN-DHG-supressao-condition,FAIL,INCORRETA (constraint extra-oraculo sem registro; supressao silenciosa sem carrier),PROVADO-artefato+harness,"DHGenParameterSpecSpec.mop:24; DHGenParameterSpec.cryptsl (sem secao CONSTRAINTS; sha b5177f43); monitor gerado :110-118 (return false antes de handleEvent); harness T4a/T4b (alfa_jvm_harness_output.txt): (1024,1024) e (512,1024) retornam normalmente","a regra api30 nao restringe primeSize/exponentSize; o MOP suprime o evento quando exponentSize>=primeSize: nenhum evento e nenhum report; nenhuma variante gerada do MetaCrySL carrega a constraint (grep exponentSize em generated/*)","procurei registro em data/gh101/{conformance_record,divergence_record,predicate_omissions,predicate_edges}.csv e frozen_set_debt.md e openspec/changes/gh101-jca-spec-conformance/{tasks,design,proposal}.md - nenhum registra a condicao do DHG (a linha do conformance_record e sobre membership e descreve mal a regra - ver ALFA-DHG-06)","provavel origem CrySL 1.5.2 upstream (INFERIDO; javadoc do .mop aponta o repo) - nao muda o veredito sob o oraculo cru pre-registrado",FP-downstream+ENSURES-perdido,critica,0.9
ALFA-DHG-03,DHGenParameterSpecSpec/ENSURES preparedDH[this],predicados_composicao,FEN-DHG-supressao-condition,FAIL,INCORRETA (ENSURES condicionalmente perdido gera FP inter-spec realizavel),PROVADO-estrutural,"escrita so em @match (monitor :135-137); supressao de c1 impede o match; leitor KeyPairGeneratorSpec.mop:96-99 e 107-110 reporta UnsatisfiedConstraint quando PREPARED_DH ausente; KeyPairGenerator.cryptsl REQUIRES alg in {DH} => preparedDH[params]; harness T4a prova realizabilidade do ctor","trace FP fim-a-fim: new DHGenParameterSpec(1024,1024) [valido sob api30] + KeyPairGenerator DH initialize(spec) -> report; o oraculo aceita e ensures preparedDH","procurei outro writer de PREPARED_DH no conjunto (grep: so DHGenParameterSpecSpec.mop:36); procurei registro (mesmos locais de ALFA-DHG-02: nada)","cadeia provada estruturalmente e nao executada em device (G10 fora do escopo Alfa); disponibilidade de KeyPairGenerator DH em API 30 INFERIDA",FP,critica,0.85
ALFA-DHG-04,DHGenParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-DHG-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"monitor indexado pelo objeto retornado s (aspecto :39-41 returning); ExecutionContext usa IdentityHashMap/identitySet (ExecutionContext.java:31-54) coincidindo com a identidade do indice JavaMOP (javadoc :18-27); 1 ctor por objeto => sem reuso/interleaving possivel","criacao do monitor no unico evento; instancias distintas isoladas por identidade; descarte via weak refs do mapa parametrico","procurei segundo evento possivel sobre o mesmo objeto (nenhum); procurei uso de equals no store (nenhum)","caminho suprimido nao cria monitor nem estado aceitante - julgado em ALFA-DHG-03",nenhum,minor,0.9
ALFA-DHG-05,DHGenParameterSpecSpec/diagnostico da supressao,diagnostico,FEN-DHG-supressao-condition,FAIL,INCORRETA (acusacao deslocada e enganosa no leitor),PROVADO-estrutural,"KeyPairGeneratorSpec.mop:98 mensagem 'initialize() for DH requires an AlgorithmParameterSpec established by a monitored DHGenParameterSpec sequence' emitida no caso FP de ALFA-DHG-03 em que a construcao monitorada OCORREU e foi suprimida","no FP a mensagem nega um fato verdadeiro (houve construcao monitorada); a causa raiz (condicao extra-oraculo no DHG) e inatribuivel a partir do report","procurei canal de diagnostico proprio no DHG para o caso suprimido (nenhum: c1 sem corpo de erro; @fail morto)","magnitude em execucao real nao medida (G10)",FP-diagnostico,major,0.8
ALFA-DHG-06,DHGenParameterSpecSpec/registro gh101,reprodutibilidade,FEN-DHG-registro-impreciso,FAIL,INCORRETA (registro descreve regra inexistente),MEDIDO,"data/gh101/conformance_record.csv linha DHGenParameterSpecSpec: reason 'the rule constrains key size through an implication, not a membership set'; DHGenParameterSpec.cryptsl nao tem secao CONSTRAINTS alguma (arquivo de 26 linhas, sha b5177f43)","a justificativa do verdict 'uncontradicted' descreve uma constraint que a regra derivada nao contem; mascara exatamente a divergencia de ALFA-DHG-02","procurei outra regra DHGen com implicacao nas variantes geradas do MetaCrySL (nenhuma tem CONSTRAINTS)","pode referir-se a regra 1.5.2 upstream sem dizer - ainda assim impreciso como registro do par api30",nenhum-direto,minor,0.85
ALFA-HMC-01,HMACParameterSpecSpec/ORDER c1,linguagem_formal,FEN-HMC-linguagem,PASS,FIDELIDADE_DEMONSTRADA,PROVADO-verificacao-algoritmica,"alfa_automata_check.py; tabela efetiva c={1,2,2} em gen_HMACParameterSpecSpec/out/HMACParameterSpecSpecRuntimeMonitor.java:94 (sha adebef51); HMACParameterSpec.cryptsl:14-15","dupla inclusao VALE (evento unico, sem condition: nenhuma supressao possivel)","trace separador (nenhum); evento sem transicao (nenhum)","-",nenhum,minor,0.95
ALFA-HMC-02,HMACParameterSpecSpec/classe-alvo em API 30,captura_eventos,FEN-HMC-classe-ausente-api30,FAIL,LIMITACAO_INEVITAVEL_DOCUMENTADA (anomalia do oraculo derivado; spec vacua na plataforma),MEDIDO,"unzip -l android-30/android.jar (sha 96ccfdc8): 0 entradas javax/xml/crypto; batchA/alfa_api30_members_output.txt; HMACParameterSpec.cryptsl existe em api30 (sha 61d06431)","javax.xml.crypto.dsig.spec.HMACParameterSpec NAO esta na API 30: Esperado da regra e vazio na plataforma; o pointcut nunca casa em codigo que usa a API do sistema; PREPARED_HMAC nunca e escrito on-platform (leitor MacSpec.mop:99)","tentei javap -classpath (cai silenciosamente no JDK do host - fallback detectado e documentado no output); procurei registro da vacuidade em fase0/inventario (so nota de pacote) e data/gh101 (nada)","app que empacota copia propria da classe poderia ser tecido (INFERIDO; raro); o defeito e do gerador do perfil api30, nao da traducao (ALFA-SET-03)",FN-vacuidade+FP-indireto-em-MacSpec,major,0.9
ALFA-HMC-03,HMACParameterSpecSpec/binding outputLength,bindings_clausulas,FEN-HMC-binding,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"HMACParameterSpecSpec.mop:21-24 (after() sem args, returning s); HMACParameterSpec.cryptsl:5 (OBJECTS outputLength) sem clausula dependente (sem CONSTRAINTS; ENSURES usa this)","outputLength nao ligado e projecao anonima fiel: nenhuma clausula da regra api30 o consome","procurei constraint sobre outputLength na regra api30 (nenhuma)","regra 1.5.2 upstream pode restringir outputLength (NAO_VERIFICADO) - oraculo cru nao restringe",nenhum,minor,0.9
ALFA-HMC-04,HMACParameterSpecSpec/ENSURES preparedHMAC[this],predicados_composicao,FEN-HMC-predicado,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"escrita @match (mop:35) constante PREPARED_HMAC sobre spec (objeto retornado = this da regra); leitor MacSpec.mop:99 valida sobre params; edge registrado present (predicate_edges.csv:21)","writer/reader com constante e objeto corretos; identidade do store = identidade do indice","procurei leitor com constante trocada (nenhum); procurei segundo writer (nenhum)","on-platform o writer e inalcancavel (ALFA-HMC-02): o edge so existe fora do Android ou com classe empacotada",nenhum,minor,0.9
ALFA-HMC-05,HMACParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-HMC-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"mesma estrutura de ALFA-DHG-04 (indexacao pelo objeto retornado; identidade; 1 evento por instancia)","ciclo de vida fiel: criacao no ctor; aceitacao imediata; sem reuso possivel","-","vacuidade on-platform (ALFA-HMC-02) torna o ciclo nunca exercitado no Android",nenhum,minor,0.9
ALFA-PBE-01,PBEParameterSpecSpec/ORDER Cons:=c1|c2 + carrier c3,linguagem_formal,FEN-PBE-linguagem-carrier,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene c3* como carrier do ramo violador),PROVADO-verificacao-algoritmica,"alfa_automata_check.py; tabelas c1/c2={1,2,2} c3={0,2,2} (gen_PBEParameterSpecSpec/...RuntimeMonitor.java:115-117, sha 42bf007b); PBEParameterSpec.cryptsl:19-23; reparo registrado em divergence_record.csv hunk 49b892006688","dupla inclusao VALE modulo alfa: projecao satisfazedora -> c1/c2 -> match; c3 loop em 0 sem match e sem @fail (nao e violacao de ORDER no CrySL)","procurei trace separador (nenhum); c3 nao alcanca estado aceitante (verificado na tabela)","equivalencia vale pela estrutura 1-ctor-por-objeto; nao generaliza",nenhum,minor,0.95
ALFA-PBE-02,PBEParameterSpecSpec/CONSTRAINT iterationCount>=10000 + REQUIRES randomized[salt] (transcricao),bindings_clausulas,FEN-PBE-constraint-transcricao,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"mop:25-28 e 35-38 (c1 e c2: iterationCount>=10000 && validate(RANDOMIZED,salt)); PBEParameterSpec.cryptsl:27 (>=10000) e :32 (randomized[salt]); .rvm gerado confirma","valor 10000 e predicado transcritos exatamente, nos dois eventos, sobre os objetos corretos (salt por posicao)","procurei valor divergente entre c1/c2/c3 (todos 10000 no codigo; a MENSAGEM do c3 diz 1000 - ALFA-PBE-04)","-",nenhum,minor,0.95
