id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-DHG-01,DHGenParameterSpecSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"/usr/bin/time -v javamop+rv-monitor em scratch: 0,42s/85,7MB + 0,88s/86,1MB exit 0 stderr vazio; CoenableProbe ere c1: coenable[fail]=1=1x(2^1-1) saturado; 1 evento <=17","geracao limpa e trivial; artefatos byte-identicos ao insumo da rodada","stderr e stdout inspecionados por strings de erro; regeneracao independente com hash-compare","carga da maquina afeta wall-clock e nao contagens","nenhum",-,0.98
BETA-DHG-02,DHGenParameterSpecSpec/pointcut c1,captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA,MEDIDO,"PointcutBudgetCtor sobre matcher de producao (instr-cli.jar 356e8b70) vs android-30 96ccfdc8 (membros por javap de .class EXTRAIDOS do jar): c1 captura ctor/2 apenas; getters UNMATCHED; DHParameterSpec ctors 0 hits; beta_capture_outputs.txt","Esperado(1 ctor)⊆Capturado; vizinhos livres; sem overlap","mesa contra android-36 e android-37.0: ctor set identico","call-site sintetico; weave real nao exercitado (G6)","nenhum",-,0.97
BETA-DHG-03,DHGenParameterSpecSpec/ORDER c1,linguagem_formal,,PASS,FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop),PROVADO,"tabela {1;2;2} DHGenParameterSpecSpecRuntimeMonitor.java:68; walk executavel BetaDrive DHG-a/c: um c1 conforme aceita; segundo evento no mesmo monitor -> fail","linguagem efetiva por objeto = exatamente um c1 = ere do .mop","tabela extraida e exercitada em execucao real do monitor compilado","comparacao com CrySL e de Alfa; aqui so artefato vs .mop","nenhum",-,0.97
BETA-DHG-04,DHGenParameterSpecSpec/@fail,diagnostico,FEN-SET-fail-morto,FAIL,INCORRETA (canal diagnostico morto),PROVADO,"fail=2 exige 2o evento no MESMO monitor indexado pelo objeto retornado (MapOfMonitor :206); construcao sempre gera objeto novo; BetaDrive DHG-c: so evento artificial duplicado dispara @fail","InvalidSequenceOfMethodCalls desta spec nunca e emitido em trace real; mesmo fenomeno do GCM no piloto","procurada rota real para 2o evento no mesmo monitor: inexistente (nenhum outro pointcut liga o objeto)","nenhuma estrutural","FN de diagnostico local (spec sem canal proprio)",major,0.95
BETA-DHG-05,DHGenParameterSpecSpec/condition exponentSize<primeSize,bindings_clausulas,FEN-DHG-condicao-extra,FAIL,INCORRETA (constraint extra-oraculo via supressao silenciosa; ancora 1.5.2 registrada),MEDIDO,"DHGenParameterSpec.cryptsl SEM secao CONSTRAINTS; .mop:24 condition(exponentSize<primeSize); BetaDrive DHG-b: construcao legal pelo oraculo suprimida com 0 erros e PREPARED_DH negado; conformance_record.csv:5 registra a ancora","objeto legal pelo oraculo cru fica sem PREPARED_DH; KeyPairGeneratorSpec.mop:96/107 acusa !validate(PREPARED_DH) -> cadeia de FP","procurado CONSTRAINTS na regra api30: ausente; registro gh101 localizado","elo final (acusacao no KPG) lido no fonte e nao executado (spec de outro lote)","FP downstream realizavel para construcao oracle-legal",major,0.85
BETA-HMC-01,HMACParameterSpecSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,42s/84,7MB + 0,93s/85,1MB exit 0; CoenableProbe: 1 evento coenable[fail]=1 saturado","geracao limpa e trivial; hashes = manifesto","stderr inspecionado; regeneracao independente","nenhuma relevante","nenhum",-,0.98
BETA-HMC-02,HMACParameterSpecSpec/classe-alvo vs API 30,captura_eventos,FEN-HMC-classe-ausente,FAIL,INCORRETA (regra api30 modela classe inexistente na plataforma declarada),MEDIDO,"unzip -l android-30/android.jar: 0 entradas HMACParameterSpec e 0 sob javax/xml/crypto (so datatype/namespace/parsers/transform/validation/xpath); idem android-36/37.0; javap resolve do JDK (armadilha demonstrada); matcher casa call-site de classe EMBARCADA no app (beta_capture_outputs.txt)","Esperado(plataforma)=vazio: a spec e irrealizavel via API da plataforma API 30; so dispara com javax.xml.crypto embarcado (JSR-105); perfil android de disponibilidade contradito","procurada a classe em todo o jar e em 36/37.0; testado matching de owner embarcado","lado ajc (tipo irresoluvel no classpath android-30) nao executavel no host: pendencia nomeada","zero-fire estrutural na plataforma; PREPARED_HMAC nunca escrito em Android -> leitor MacSpec.mop:99 acusa qualquer params nao-nulo",major,0.95
BETA-HMC-03,HMACParameterSpecSpec/parametrizacao (ciclo de vida),bindings_clausulas,FEN-HMC-monitor-global,FAIL,INCORRETA (monitor global; FP em trace legal),PROVADO,"parametro da spec hmacParameterSpec nunca ligado (evento liga s; .mop:17,21); arvore de indexacao = Tuple2 estatico unico (RuntimeMonitor:212,236-239; MultiSpec_1RuntimeMonitor.java:9462); BetaDriveHmc 3 reps identicas: 2 construcoes distintas legais -> errors=1 InvalidSequenceOfMethodCalls e 2o objeto sem PREPARED_HMAC","FP demonstrado em execucao: ciclo de vida CrySL e por this, o do artefato e por processo; 2o objeto tambem perde PREPARED_HMAC (FP de 2a ordem via MacSpec.mop:99)","procurada indexacao por objeto no wrapper: inexistente; teste discriminante global-vs-parametrico executado 3x","realizavel em Android so com classe embarcada (BETA-HMC-02); em JSE plenamente realizavel","FP direto (acusacao falsa) + FN/FP de predicado downstream",critica,0.97
BETA-HMC-04,HMACParameterSpecSpec/ORDER c,linguagem_formal,FEN-HMC-monitor-global,PASS,FIDELIDADE_DEMONSTRADA (tabela fiel ao ere c; escopo do monitor tratado em BETA-HMC-03),PROVADO,"tabela {1;2;2} RuntimeMonitor:94; backend sincronizado (AbstractSynchronizedMonitor :79) difere dos outros 4 (atomico) sem mudar semantica de tabela","transicoes = ere c; a divergencia critica esta no ESCOPO (claim irmao), nao na tabela","tabela exercitada em execucao","separacao tabela/escopo pode subestimar o defeito se lida isolada: cross-ref obrigatorio","nenhum na tabela",-,0.9
BETA-PBE-01,PBEParameterSpecSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"0,43s/86,2MB + 0,91s/87,2MB exit 0; CoenableProbe: 3 eventos coenable[fail]=21=3x(2^3-1) saturado; chars=261","geracao limpa; hashes = manifesto","stderr inspecionado; regeneracao independente","nenhuma relevante","nenhum",-,0.98
