id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca,resolucao_juiz,classificacao_final,severidade_final,justificativa_curta
ALFA-DHG-01,DHGenParameterSpecSpec/ORDER c1,linguagem_formal,FEN-DHG-linguagem,PASS,FIDELIDADE_DEMONSTRADA,PROVADO-verificacao-algoritmica,"batchA/alfa_automata_check.py + alfa_automata_output.txt; tabela efetiva c1={1,2,2} em gen_DHGenParameterSpecSpec/out/DHGenParameterSpecSpecRuntimeMonitor.java:68 (sha 90aaf45b); DHGenParameterSpec.cryptsl:16-17",dupla inclusao modulo alfa VALE sobre traces realizaveis (1 evento por instancia); transicoes 1->2 e @fail sao vacuas (2a construcao do mesmo objeto impossivel),procurei trace separador ate o limite da tabela (nenhum); procurei evento all-fail (nenhum),projecao satisfazedora do guard e parte de alfa; o ramo suprimido e julgado em ALFA-DHG-02/03,nenhum,minor,0.95,PASS,FIDELIDADE_DEMONSTRADA,minor,confirmada pelo walk do juiz (juiz_walk.py J1) sobre a tabela do artefato; indexacao MapOfMonitor por objeto verificada
ALFA-DHG-02,DHGenParameterSpecSpec/c1 condition(exponentSize<primeSize),bindings_clausulas,FEN-DHG-supressao-condition,FAIL,INCORRETA (constraint extra-oraculo sem registro; supressao silenciosa sem carrier),PROVADO-artefato+harness,"DHGenParameterSpecSpec.mop:24; DHGenParameterSpec.cryptsl (sem secao CONSTRAINTS; sha b5177f43); monitor gerado :110-118 (return false antes de handleEvent); harness T4a/T4b (alfa_jvm_harness_output.txt): (1024,1024) e (512,1024) retornam normalmente",a regra api30 nao restringe primeSize/exponentSize; o MOP suprime o evento quando exponentSize>=primeSize: nenhum evento e nenhum report; nenhuma variante gerada do MetaCrySL carrega a constraint (grep exponentSize em generated/*),"procurei registro em data/gh101/{conformance_record,divergence_record,predicate_omissions,predicate_edges}.csv e frozen_set_debt.md e openspec/changes/gh101-jca-spec-conformance/{tasks,design,proposal}.md - nenhum registra a condicao do DHG (a linha do conformance_record e sobre membership e descreve mal a regra - ver ALFA-DHG-06)",provavel origem CrySL 1.5.2 upstream (INFERIDO; javadoc do .mop aponta o repo) - nao muda o veredito sob o oraculo cru pre-registrado,FP-downstream+ENSURES-perdido,critica,0.9,FAIL,INCORRETA (constraint extra-oraculo; supressao silenciosa sem carrier; sem registro),critica,juiz executou J2 (3 reps): cadeia FP fim-a-fim confirmada; criterio pre-registro par.4 (FP em trace realizavel)
ALFA-DHG-03,DHGenParameterSpecSpec/ENSURES preparedDH[this],predicados_composicao,FEN-DHG-supressao-condition,FAIL,INCORRETA (ENSURES condicionalmente perdido gera FP inter-spec realizavel),PROVADO-estrutural,escrita so em @match (monitor :135-137); supressao de c1 impede o match; leitor KeyPairGeneratorSpec.mop:96-99 e 107-110 reporta UnsatisfiedConstraint quando PREPARED_DH ausente; KeyPairGenerator.cryptsl REQUIRES alg in {DH} => preparedDH[params]; harness T4a prova realizabilidade do ctor,"trace FP fim-a-fim: new DHGenParameterSpec(1024,1024) [valido sob api30] + KeyPairGenerator DH initialize(spec) -> report; o oraculo aceita e ensures preparedDH",procurei outro writer de PREPARED_DH no conjunto (grep: so DHGenParameterSpecSpec.mop:36); procurei registro (mesmos locais de ALFA-DHG-02: nada),cadeia provada estruturalmente e nao executada em device (G10 fora do escopo Alfa); disponibilidade de KeyPairGenerator DH em API 30 INFERIDA,FP,critica,0.85,FAIL,INCORRETA (ENSURES perdido gera FP inter-spec realizavel),critica,J2 executado: PREPARED_DH negado e KPG emite UnsatisfiedConstraint para construcao oracle-legal; elo final nao e mais INFERIDO
ALFA-DHG-04,DHGenParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-DHG-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,monitor indexado pelo objeto retornado s (aspecto :39-41 returning); ExecutionContext usa IdentityHashMap/identitySet (ExecutionContext.java:31-54) coincidindo com a identidade do indice JavaMOP (javadoc :18-27); 1 ctor por objeto => sem reuso/interleaving possivel,criacao do monitor no unico evento; instancias distintas isoladas por identidade; descarte via weak refs do mapa parametrico,procurei segundo evento possivel sobre o mesmo objeto (nenhum); procurei uso de equals no store (nenhum),caminho suprimido nao cria monitor nem estado aceitante - julgado em ALFA-DHG-03,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,MapOfMonitor por objeto e identitySet verificados pelo juiz no artefato e no fonte
ALFA-DHG-05,DHGenParameterSpecSpec/diagnostico da supressao,diagnostico,FEN-DHG-supressao-condition,FAIL,INCORRETA (acusacao deslocada e enganosa no leitor),PROVADO-estrutural,KeyPairGeneratorSpec.mop:98 mensagem 'initialize() for DH requires an AlgorithmParameterSpec established by a monitored DHGenParameterSpec sequence' emitida no caso FP de ALFA-DHG-03 em que a construcao monitorada OCORREU e foi suprimida,no FP a mensagem nega um fato verdadeiro (houve construcao monitorada); a causa raiz (condicao extra-oraculo no DHG) e inatribuivel a partir do report,procurei canal de diagnostico proprio no DHG para o caso suprimido (nenhum: c1 sem corpo de erro; @fail morto),magnitude em execucao real nao medida (G10),FP-diagnostico,major,0.8,FAIL,INCORRETA (acusacao deslocada e enganosa no leitor),major,J2: mensagem emitida nega fato verdadeiro (construcao monitorada ocorreu); causa raiz inatribuivel
ALFA-DHG-06,DHGenParameterSpecSpec/registro gh101,reprodutibilidade,FEN-DHG-registro-impreciso,FAIL,INCORRETA (registro descreve regra inexistente),MEDIDO,"data/gh101/conformance_record.csv linha DHGenParameterSpecSpec: reason 'the rule constrains key size through an implication, not a membership set'; DHGenParameterSpec.cryptsl nao tem secao CONSTRAINTS alguma (arquivo de 26 linhas, sha b5177f43)",a justificativa do verdict 'uncontradicted' descreve uma constraint que a regra derivada nao contem; mascara exatamente a divergencia de ALFA-DHG-02,procurei outra regra DHGen com implicacao nas variantes geradas do MetaCrySL (nenhuma tem CONSTRAINTS),pode referir-se a regra 1.5.2 upstream sem dizer - ainda assim impreciso como registro do par api30,nenhum-direto,minor,0.85,FAIL,INCORRETA (registro descreve regra inexistente),minor,conformance_record.csv:5 verificado pelo juiz: reason cita implicacao que a regra api30 nao contem
ALFA-HMC-01,HMACParameterSpecSpec/ORDER c1,linguagem_formal,FEN-HMC-linguagem,PASS,FIDELIDADE_DEMONSTRADA,PROVADO-verificacao-algoritmica,"alfa_automata_check.py; tabela efetiva c={1,2,2} em gen_HMACParameterSpecSpec/out/HMACParameterSpecSpecRuntimeMonitor.java:94 (sha adebef51); HMACParameterSpec.cryptsl:14-15","dupla inclusao VALE (evento unico, sem condition: nenhuma supressao possivel)",trace separador (nenhum); evento sem transicao (nenhum),-,nenhum,minor,0.95,FAIL,INCORRETA (inclusao L(CrySL) em alfa(L(MOP)) falha no artefato efetivo: monitor global),critica,REVERTIDO de PASS: J3 executado pelo juiz (3 reps) da o trace separador - 2 construcoes legais -> InvalidSequenceOfMethodCalls; premissa 1-evento-por-instancia e falsa para HMC (Tuple2 estatico verificado); D-piloto-3 exige o automato efetivo incluindo indexacao
ALFA-HMC-02,HMACParameterSpecSpec/classe-alvo em API 30,captura_eventos,FEN-HMC-classe-ausente-api30,FAIL,LIMITACAO_INEVITAVEL_DOCUMENTADA (anomalia do oraculo derivado; spec vacua na plataforma),MEDIDO,unzip -l android-30/android.jar (sha 96ccfdc8): 0 entradas javax/xml/crypto; batchA/alfa_api30_members_output.txt; HMACParameterSpec.cryptsl existe em api30 (sha 61d06431),javax.xml.crypto.dsig.spec.HMACParameterSpec NAO esta na API 30: Esperado da regra e vazio na plataforma; o pointcut nunca casa em codigo que usa a API do sistema; PREPARED_HMAC nunca e escrito on-platform (leitor MacSpec.mop:99),tentei javap -classpath (cai silenciosamente no JDK do host - fallback detectado e documentado no output); procurei registro da vacuidade em fase0/inventario (so nota de pacote) e data/gh101 (nada),"app que empacota copia propria da classe poderia ser tecido (INFERIDO; raro); o defeito e do gerador do perfil api30, nao da traducao (ALFA-SET-03)",FN-vacuidade+FP-indireto-em-MacSpec,major,0.9,FAIL,"LIMITACAO_INEVITAVEL_DOCUMENTADA (documentada NESTA RODADA: registro de vies do oraculo criado pela auditoria, a referendar pelo pesquisador; nenhum registro pre-existente em gh101/frozen_set_debt)",major,"0 entradas javax/xml/crypto no jar congelado verificado pelo juiz; vies do oraculo registrado (pre_registro par.1); nao excusa BETA-HMC-03; REV.2 (REF-B-08): proveniencia da documentacao explicitada - o registro nasce desta rodada, nao da change gh101"
ALFA-HMC-03,HMACParameterSpecSpec/binding outputLength,bindings_clausulas,FEN-HMC-binding,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"HMACParameterSpecSpec.mop:21-24 (after() sem args, returning s); HMACParameterSpec.cryptsl:5 (OBJECTS outputLength) sem clausula dependente (sem CONSTRAINTS; ENSURES usa this)",outputLength nao ligado e projecao anonima fiel: nenhuma clausula da regra api30 o consome,procurei constraint sobre outputLength na regra api30 (nenhuma),regra 1.5.2 upstream pode restringir outputLength (NAO_VERIFICADO) - oraculo cru nao restringe,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,outputLength sem clausula dependente na regra api30 (verificado); projecao anonima fiel
ALFA-HMC-04,HMACParameterSpecSpec/ENSURES preparedHMAC[this],predicados_composicao,FEN-HMC-predicado,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,escrita @match (mop:35) constante PREPARED_HMAC sobre spec (objeto retornado = this da regra); leitor MacSpec.mop:99 valida sobre params; edge registrado present (predicate_edges.csv:21),writer/reader com constante e objeto corretos; identidade do store = identidade do indice,procurei leitor com constante trocada (nenhum); procurei segundo writer (nenhum),on-platform o writer e inalcancavel (ALFA-HMC-02): o edge so existe fora do Android ou com classe empacotada,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,"constante/objeto do edge corretos (edges.csv:21 verificado); a negacao por-processo do 2o objeto e do fenomeno FEN-HMC-monitor-global (BETA-HMC-03), nao do shape do edge"
ALFA-HMC-05,HMACParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-HMC-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,mesma estrutura de ALFA-DHG-04 (indexacao pelo objeto retornado; identidade; 1 evento por instancia),ciclo de vida fiel: criacao no ctor; aceitacao imediata; sem reuso possivel,-,vacuidade on-platform (ALFA-HMC-02) torna o ciclo nunca exercitado no Android,nenhum,minor,0.9,FAIL,"INCORRETA (ciclo de vida por processo, nao por objeto)",critica,REVERTIDO de PASS: indexacao NAO e pelo objeto retornado - Tuple2 estatico unico (monitor :212-243 verificado pelo juiz); J3 executado; contraexemplo reproduzivel nao se descarta
ALFA-PBE-01,PBEParameterSpecSpec/ORDER Cons:=c1|c2 + carrier c3,linguagem_formal,FEN-PBE-linguagem-carrier,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene c3* como carrier do ramo violador),PROVADO-verificacao-algoritmica,"alfa_automata_check.py; tabelas c1/c2={1,2,2} c3={0,2,2} (gen_PBEParameterSpecSpec/...RuntimeMonitor.java:115-117, sha 42bf007b); PBEParameterSpec.cryptsl:19-23; reparo registrado em divergence_record.csv hunk 49b892006688",dupla inclusao VALE modulo alfa: projecao satisfazedora -> c1/c2 -> match; c3 loop em 0 sem match e sem @fail (nao e violacao de ORDER no CrySL),procurei trace separador (nenhum); c3 nao alcanca estado aceitante (verificado na tabela),equivalencia vale pela estrutura 1-ctor-por-objeto; nao generaliza,nenhum,minor,0.95,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene c3* registrado),minor,walk do juiz confirma; divergence_record hunk 49b892006688 verificado
ALFA-PBE-02,PBEParameterSpecSpec/CONSTRAINT iterationCount>=10000 + REQUIRES randomized[salt] (transcricao),bindings_clausulas,FEN-PBE-constraint-transcricao,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"mop:25-28 e 35-38 (c1 e c2: iterationCount>=10000 && validate(RANDOMIZED,salt)); PBEParameterSpec.cryptsl:27 (>=10000) e :32 (randomized[salt]); .rvm gerado confirma","valor 10000 e predicado transcritos exatamente, nos dois eventos, sobre os objetos corretos (salt por posicao)",procurei valor divergente entre c1/c2/c3 (todos 10000 no codigo; a MENSAGEM do c3 diz 1000 - ALFA-PBE-04),-,nenhum,minor,0.95,PASS,FIDELIDADE_DEMONSTRADA,minor,"transcricao 10000 + validate(RANDOMIZED,salt) verificada no .mop e .rvm pelo juiz"
ALFA-PBE-03,PBEParameterSpecSpec/violacao no ctor 3-args sem carrier,bindings_clausulas,FEN-PBE-supressao-c2,FAIL,INCORRETA (supressao silenciosa de misuse realizavel; carrier omitido sem registro),PROVADO-artefato+harness,"aspecto gerado: advice do ctor 3-args chama SO c2Event (PBEParameterSpecSpecMonitorAspect.aj:49-52); c2 com guard falso retorna false antes de handleEvent (monitor :186); harness T3b: new PBEParameterSpec(salt,100,ivSpec) retorna normalmente; nao existe evento violador 3-args no .mop (eventos: c1,c2,c3 - c3 e 2-args, mop:42-51)","misuse do oraculo (iterationCount<10000 ou salt nao randomizado, via ctor 3-args) nao gera evento, report, nem monitor: FN terminal realizavel; assimetria com o ctor 2-args (c3 reporta)","procurei registro em data/gh101/{divergence_record,predicate_omissions,conformance_record}.csv (linha PBE cobre so o reparo do c3 2-args), frozen_set_debt.md, proposal.md:39, design.md:168, tasks.md 3b (listam PBEParameterSpecSpec.c3 apenas) - a lacuna 3-args nao esta registrada em lugar algum",frequencia real do ctor 3-args em corpus nao medida; o FN em si e estrutural,FN,critica,0.9,FAIL,INCORRETA (misuse 3-args sem carrier: FN terminal silencioso; sem registro),critica,aspecto verificado pelo juiz (advice 3-args chama so c2Event); Beta executou PBE-c (0 eventos 0 erros); registros varridos sem cobertura da lacuna
ALFA-PBE-04,PBEParameterSpecSpec/c3 mensagem de erro,diagnostico,FEN-PBE-msg-1000,FAIL,INCORRETA (mensagem contradiz o limiar implementado),MEDIDO,mop:49-50: mensagem 'expecting at least 1000 iterations and a randomized salt.' vs guard iterationCount<10000 (mop:46); mesmo texto no .rvm:? e monitor gerado,o texto informa limiar 10x menor que o verificado; atribuivel (spec+LOC presentes) porem engana o triador,procurei segundo sitio com o texto correto (nenhum),-,nenhum-direto,minor,0.95,FAIL,INCORRETA (mensagem contradiz o limiar implementado 10x),minor,"mop:50 vs :46 verificado; deteccao inalterada, remediacao enganada; atribuivel (spec+LOC)"
ALFA-PBE-05,PBEParameterSpecSpec/c3 categoria de erro,diagnostico,FEN-PBE-errortype,FAIL,INCORRETA (categoria inconsistente com o padrao do conjunto),OBSERVADO_EM_ARTEFATO,mop:49 usa ErrorType.UnsafeAlgorithm para violacao de constraint/requires; IvParameterSpec.mop:48/55 e SecretKeySpecSpec.mop:48/55 usam UnsatisfiedConstraint para a mesma forma; ErrorType.java enumera ambos,mesma classe de fenomeno com categorias distintas entre specs irmas quebra estratificacao por categoria no errors.csv,procurei justificativa da escolha (nenhuma nos registros gh101),ErrorType nao tem categoria RequiredPredicate (limitacao de vocabulario comum as tres specs - nota no relatorio),nenhum-direto,minor,0.85,FAIL,INCORRETA (categoria UnsafeAlgorithm inconsistente com irmas),minor,verificado mop:49 vs IVP/SKS UnsatisfiedConstraint; quebra estratificacao por categoria
ALFA-PBE-06,PBEParameterSpecSpec/REQUIRES randomized + ENSURES preparedPBE (grafo),predicados_composicao,FEN-PBE-grafo,PASS,FIDELIDADE_DEMONSTRADA (com omissao de leitor registrada espelhando o oraculo),OBSERVADO_EM_ARTEFATO,reads RANDOMIZED em c1/c2/c3 sobre salt; writers de RANDOMIZED existem (SecureRandomSpec.mop:106-133); escrita PREPARED_PBE @match (mop:66); nenhum leitor de PREPARED_PBE no conjunto E nenhum consumidor de preparedPBE nas regras api30 (grep); registrado em predicate_omissions.csv (constant-write-no-read PREPARED_PBE),constantes e objetos corretos; writer-sem-leitor espelha a ausencia de consumidor no proprio oraculo api30 e esta registrado,procurei consumidor de preparedPBE em api30/*.cryptsl (so o proprio ENSURES); procurei leitor de PREPARED_PBE nos 23 .mop (nenhum),-,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA (write-no-read registrado espelha o oraculo),minor,predicate_omissions.csv linha PREPARED_PBE verificada pelo juiz; nenhum consumidor api30
ALFA-PBE-07,PBEParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-PBE-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,indexacao pelo objeto retornado s; paramSpec ligado em c2 e sem clausula dependente (fiel a regra que tambem nao o restringe); identidade conforme ALFA-DHG-04,ciclo fiel nos caminhos com evento; o caminho suprimido (ALFA-PBE-03) nao cria monitor - consequencia ja julgada la,-,-,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,mesma estrutura parametrica verificada (MapOfMonitor)
ALFA-IVP-01,IvParameterSpecSpec/ORDER Cons:=cons1|cons2 + carriers c3/c4,linguagem_formal,FEN-IVP-linguagem-carrier,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene (c3|c4)* registrado),PROVADO-verificacao-algoritmica,"alfa_automata_check.py; tabelas c1/c2={1,2,2} c3/c4={0,2,2} (gen_IvParameterSpec/...RuntimeMonitor.java:137-140, sha 0fb95150); IvParameterSpec.cryptsl:15-23; reparo registrado divergence_record.csv hunk f4fe01f5b82c",dupla inclusao VALE modulo alfa nos traces realizaveis; ramo violador reporta sem match e sem @fail,trace separador (nenhum),-,nenhum,minor,0.95,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (prefixo Kleene registrado),minor,walk do juiz confirma; hunk f4fe01f5b82c verificado
ALFA-IVP-02,IvParameterSpecSpec/c2 conjuntos extra (offset/len/length),bindings_clausulas,FEN-IVP-envelope-api,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (conjuntos vacuamente verdadeiros no join point after-returning),PROVADO-harness-JVM,"mop:33-38; harness T1a-T1d (alfa_jvm_harness_output.txt): IvParameterSpec(byte[],int,int) lanca AIOOBE/IAE exatamente quando offset<0, len<0 ou iv.length<offset+len; evento e after returning (aspecto)",apos retorno normal os tres conjuntos extras sao sempre verdadeiros: c2 dispara sse RANDOMIZED(iv); c2 e c4 particionam totalmente o join point (sem supressao silenciosa no IVP),procurei lacuna R&&!envelope (inalcancavel: ctor lanca); procurei overflow de offset+len (exige arrays irrealizaveis),provado no JDK do host (Temurin 25); implementacao ART/libcore segue o mesmo contrato documentado mas nao foi executada aqui (android.jar e stub),nenhum,minor,0.8,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (conjuntos vacuos no join point after-returning),minor,harness T1 MEDIDO + Beta IVP-e (inclui overflow) convergem; ameaca ART nomeada e mantida
ALFA-IVP-03,IvParameterSpecSpec/REQUIRES randomized[iv] + ENSURES preparedIV[this],predicados_composicao,FEN-IVP-grafo,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,"reads RANDOMIZED nos 4 eventos sobre iv (mop:25,34,46,54); writers SecureRandomSpec.mop:121 etc; escrita PREPARED_IV @match (mop:74); leitor CipherSpec.mop:84; edges registrados present (predicate_edges.csv:22-23)",constantes/objetos corretos nas duas pontas; violacao de requires reporta no proprio sitio (c3/c4) e a ausencia de PREPARED_IV reproduz no leitor o mesmo par de erros que o CrySL daria (dupla acusacao fiel),procurei leitor com objeto errado (nenhum); procurei writer de PREPARED_IV fora do @match (nenhum),categoria UnsatisfiedConstraint para requires: vocabulario sem RequiredPredicate (nota no relatorio; nao reclamo aqui),nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,constantes/objetos verificados nas duas pontas; dupla acusacao espelha CrySL
ALFA-IVP-04,IvParameterSpecSpec/parametrica-ciclo de vida (dim 5),predicados_composicao,FEN-IVP-lifecycle,PASS,FIDELIDADE_DEMONSTRADA,OBSERVADO_EM_ARTEFATO,indexacao pelo objeto retornado; identidade conforme ALFA-DHG-04; byte[] iv comparado por identidade no store (correto: equals de array ja e identidade),"instancias intercaladas isoladas; objeto construido por c3 permanece vivo nao-aceitante sem acusar (fiel: sob CrySL o erro e de predicado, ja reportado no sitio)",-,-,nenhum,minor,0.9,PASS,FIDELIDADE_DEMONSTRADA,minor,identidade e isolamento verificados
