spec,code,error_type,site_kind,event,file_line,label
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ALG-00,UnsafeAlgorithm,ALG,g3,KeyPairGeneratorSpec.mop:152,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ALG-01,UnsafeAlgorithm,ALG,g4,KeyPairGeneratorSpec.mop:188,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,init3,KeyPairGeneratorSpec.mop:271,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-NOBS-00,UnsatisfiedConstraint,NOBS,init3,KeyPairGeneratorSpec.mop:275,not-observed
KeyPairGeneratorSpec,KEYPAIRGENERATOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,init4,KeyPairGeneratorSpec.mop:306,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-NOBS-01,UnsatisfiedConstraint,NOBS,init4,KeyPairGeneratorSpec.mop:310,not-observed
KeyPairGeneratorSpec,KEYPAIRGENERATOR-KEYSIZE-00,InvalidKeySize,KEYSIZE,initError,KeyPairGeneratorSpec.mop:320,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-KEYSIZE-01,InvalidKeySize,KEYSIZE,initError2,KeyPairGeneratorSpec.mop:341,violation
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairGeneratorSpec.mop:376,creation-unobserved
KeyPairGeneratorSpec,KEYPAIRGENERATOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairGeneratorSpec.mop:380,sequence
KeyPairSpec,KEYPAIR-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,KeyPairSpec.mop:93,violation
KeyPairSpec,KEYPAIR-NOBS-00,UnsatisfiedConstraint,NOBS,c1,KeyPairSpec.mop:97,not-observed
KeyPairSpec,KEYPAIR-CONSTR-01,UnsatisfiedConstraint,CONSTR,c1,KeyPairSpec.mop:102,violation
KeyPairSpec,KEYPAIR-NOBS-01,UnsatisfiedConstraint,NOBS,c1,KeyPairSpec.mop:106,not-observed
KeyPairSpec,KEYPAIR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairSpec.mop:204,creation-unobserved
KeyPairSpec,KEYPAIR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyPairSpec.mop:208,sequence
KeyStoreBuilderParametersSpec,KEYSTOREBUILDERPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreBuilderParametersSpec.mop:70,creation-unobserved
KeyStoreBuilderParametersSpec,KEYSTOREBUILDERPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreBuilderParametersSpec.mop:74,sequence
KeyStoreSpec,KEYSTORE-KSTYPE-00,InvalidKeyStoreType,KSTYPE,gk1,KeyStoreSpec.mop:130,violation
KeyStoreSpec,KEYSTORE-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreSpec.mop:140,creation-unobserved
KeyStoreSpec,KEYSTORE-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,KeyStoreSpec.mop:144,sequence
MessageDigestSpec,MESSAGEDIGEST-ALG-02,UnsafeAlgorithm,ALG,g4,MessageDigestSpec.mop:113,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-00,UnsafeAlgorithm,ALG,update,MessageDigestSpec.mop:124,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-03,UnsafeAlgorithm,ALG,d1,MessageDigestSpec.mop:152,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-01,UnsafeAlgorithm,ALG,d2,MessageDigestSpec.mop:166,violation
MessageDigestSpec,MESSAGEDIGEST-ALG-04,UnsafeAlgorithm,ALG,d3,MessageDigestSpec.mop:181,violation
MessageDigestSpec,MESSAGEDIGEST-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,MessageDigestSpec.mop:207,creation-unobserved
MessageDigestSpec,MESSAGEDIGEST-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,MessageDigestSpec.mop:211,sequence
MGF1ParameterSpecSpec,MGF1PARAMETERSPEC-ALG-00,UnsafeAlgorithm,ALG,c1,MGF1ParameterSpecSpec.mop:71,violation
MGF1ParameterSpecSpec,MGF1PARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,MGF1ParameterSpecSpec.mop:92,creation-unobserved
MGF1ParameterSpecSpec,MGF1PARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,MGF1ParameterSpecSpec.mop:96,sequence
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-ALG-00,UnsafeAlgorithm,ALG,c1,OAEPParameterSpecSpec.mop:86,violation
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-ALG-01,UnsafeAlgorithm,ALG,c1,OAEPParameterSpecSpec.mop:91,violation
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,OAEPParameterSpecSpec.mop:98,violation
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-NOBS-00,UnsatisfiedConstraint,NOBS,c1,OAEPParameterSpecSpec.mop:103,not-observed
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,OAEPParameterSpecSpec.mop:120,creation-unobserved
OAEPParameterSpecSpec,OAEPPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,OAEPParameterSpecSpec.mop:124,sequence
PBEParameterSpecSpec,PBEPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,PBEParameterSpecSpec.mop:64,violation
PBEParameterSpecSpec,PBEPARAMETERSPEC-CONSTR-01,UnsatisfiedConstraint,CONSTR,c1,PBEParameterSpecSpec.mop:70,violation
PBEParameterSpecSpec,PBEPARAMETERSPEC-NOBS-00,UnsatisfiedConstraint,NOBS,c1,PBEParameterSpecSpec.mop:75,not-observed
PBEParameterSpecSpec,PBEPARAMETERSPEC-CONSTR-02,UnsatisfiedConstraint,CONSTR,c2,PBEParameterSpecSpec.mop:114,violation
PBEParameterSpecSpec,PBEPARAMETERSPEC-CONSTR-03,UnsatisfiedConstraint,CONSTR,c2,PBEParameterSpecSpec.mop:120,violation
PBEParameterSpecSpec,PBEPARAMETERSPEC-NOBS-01,UnsatisfiedConstraint,NOBS,c2,PBEParameterSpecSpec.mop:125,not-observed
PBEParameterSpecSpec,PBEPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,PBEParameterSpecSpec.mop:138,creation-unobserved
PBEParameterSpecSpec,PBEPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,PBEParameterSpecSpec.mop:142,sequence
PKIXBuilderParametersSpec,PKIXBUILDERPARAMETERS-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,PKIXBuilderParametersSpec.mop:55,violation
PKIXBuilderParametersSpec,PKIXBUILDERPARAMETERS-NOBS-00,UnsatisfiedConstraint,NOBS,c1,PKIXBuilderParametersSpec.mop:59,not-observed
PKIXBuilderParametersSpec,PKIXBUILDERPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,PKIXBuilderParametersSpec.mop:87,creation-unobserved
PKIXBuilderParametersSpec,PKIXBUILDERPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,PKIXBuilderParametersSpec.mop:91,sequence
PKIXParametersSpec,PKIXPARAMETERS-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,PKIXParametersSpec.mop:52,violation
PKIXParametersSpec,PKIXPARAMETERS-NOBS-00,UnsatisfiedConstraint,NOBS,c1,PKIXParametersSpec.mop:56,not-observed
PKIXParametersSpec,PKIXPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,PKIXParametersSpec.mop:94,creation-unobserved
PKIXParametersSpec,PKIXPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,PKIXParametersSpec.mop:98,sequence
RSAKeyGenParameterSpecSpec,RSAKEYGENPARAMETERSPEC-KEYSIZE-00,InvalidKeySize,KEYSIZE,c1,RSAKeyGenParameterSpecSpec.mop:80,violation
RSAKeyGenParameterSpecSpec,RSAKEYGENPARAMETERSPEC-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,RSAKeyGenParameterSpecSpec.mop:85,violation
RSAKeyGenParameterSpecSpec,RSAKEYGENPARAMETERSPEC-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,RSAKeyGenParameterSpecSpec.mop:104,creation-unobserved
RSAKeyGenParameterSpecSpec,RSAKEYGENPARAMETERSPEC-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,RSAKeyGenParameterSpecSpec.mop:108,sequence
SSLParametersSpec,SSLPARAMETERS-PROTO-00,UnsafeProtocol,PROTO,c3,SSLParametersSpec.mop:162,violation
SSLParametersSpec,SSLPARAMETERS-ALG-00,UnsafeAlgorithm,ALG,c3,SSLParametersSpec.mop:169,violation
SSLParametersSpec,SSLPARAMETERS-ALG-01,UnsafeAlgorithm,ALG,c3,SSLParametersSpec.mop:177,violation
SSLParametersSpec,SSLPARAMETERS-ALG-02,UnsafeAlgorithm,ALG,cs,SSLParametersSpec.mop:197,violation
SSLParametersSpec,SSLPARAMETERS-ALG-03,UnsafeAlgorithm,ALG,cs,SSLParametersSpec.mop:205,violation
SSLParametersSpec,SSLPARAMETERS-PROTO-01,UnsafeProtocol,PROTO,sp,SSLParametersSpec.mop:224,violation
SSLParametersSpec,SSLPARAMETERS-ALG-04,UnsafeAlgorithm,ALG,sp,SSLParametersSpec.mop:232,violation
SSLParametersSpec,SSLPARAMETERS-ALG-05,UnsafeAlgorithm,ALG,sp,SSLParametersSpec.mop:240,violation
SSLParametersSpec,SSLPARAMETERS-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,SSLParametersSpec.mop:257,creation-unobserved
SSLParametersSpec,SSLPARAMETERS-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,SSLParametersSpec.mop:261,sequence
TrustAnchorSpec,TRUSTANCHOR-CONSTR-00,UnsatisfiedConstraint,CONSTR,c1,TrustAnchorSpec.mop:56,violation
TrustAnchorSpec,TRUSTANCHOR-NOBS-00,UnsatisfiedConstraint,NOBS,c1,TrustAnchorSpec.mop:60,not-observed
TrustAnchorSpec,TRUSTANCHOR-CONSTR-01,UnsatisfiedConstraint,CONSTR,c3,TrustAnchorSpec.mop:87,violation
TrustAnchorSpec,TRUSTANCHOR-NOBS-01,UnsatisfiedConstraint,NOBS,c3,TrustAnchorSpec.mop:91,not-observed
TrustAnchorSpec,TRUSTANCHOR-ORDER-01,InvalidSequenceOfMethodCalls,ORDER,@fail,TrustAnchorSpec.mop:108,creation-unobserved
TrustAnchorSpec,TRUSTANCHOR-ORDER-00,InvalidSequenceOfMethodCalls,ORDER,@fail,TrustAnchorSpec.mop:112,sequence
