AlgorithmParametersSpec | ALGORITHMPARAMETERS-ALG-00 | get | org.fedorahosted.freeotp.encryptor.EncryptedKey.decrypt | lines=17 runkeys=17 | src={'EncryptedKey.java:54': 17} | apks=['org.fedorahosted.freeotp_48.apk']
AlgorithmParametersSpec | ALGORITHMPARAMETERS-ORDER-00 | encoded | org.fedorahosted.freeotp.encryptor.EncryptedKey.<init> | lines=17 runkeys=17 | src={'EncryptedKey.java:32': 17} | apks=['org.fedorahosted.freeotp_48.apk']
CipherSpec | CIPHER-ALG-01 | i2 | com.google.crypto.tink.prf.internal.PrfAesCmac.compute | lines=264 runkeys=99 | src={'PrfAesCmac.java:106': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ALG-01 | i2 | com.google.crypto.tink.prf.internal.PrfAesCmac.generateSubKeys | lines=264 runkeys=99 | src={'PrfAesCmac.java:155': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ALG-01 | i2 | com.google.crypto.tink.subtle.PrfAesCmac.compute | lines=967 runkeys=448 | src={'PrfAesCmac.java:69': 966, 'PrfAesCmac.java:62': 1} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ALG-01 | i2 | com.google.crypto.tink.subtle.PrfAesCmac.generateSubKeys | lines=1180 runkeys=546 | src={'PrfAesCmac.java:110': 966, 'PrfAesCmac.java:103': 214} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ALG-01 | i2 | org.flyve.inventory.CryptoUtil.encrypt | lines=92 runkeys=80 | src={'CryptoUtil.java:83': 92} | apks=['org.glpi.inventory.agent_39469.apk']
CipherSpec | CIPHER-CONSTR-00 | i2 | org.fedorahosted.freeotp.encryptor.EncryptedKey.encrypt | lines=17 runkeys=17 | src={'EncryptedKey.java:42': 17} | apks=['org.fedorahosted.freeotp_48.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.beemdevelopment.aegis.crypto.CryptoUtils.encrypt | lines=6 runkeys=6 | src={'CryptoUtils.java:78': 6} | apks=['com.beemdevelopment.aegis_81.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.google.android.gms.internal.ads.zzbbe.zzb | lines=243 runkeys=98 | src={'com.google.android.gms:play-services-ads@@25.3.0:11': 243} | apks=['com.tananaev.passportreader_22.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce.decrypt | lines=138 runkeys=86 | src={'InsecureNonceAesGcmJce.java:142': 138} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.google.crypto.tink.prf.internal.PrfAesCmac.generateSubKeys | lines=264 runkeys=99 | src={'PrfAesCmac.java:157': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.google.crypto.tink.subtle.PrfAesCmac.compute | lines=1934 runkeys=448 | src={'PrfAesCmac.java:103': 966, 'PrfAesCmac.java:98': 966, 'PrfAesCmac.java:96': 1, 'PrfAesCmac.java:91': 1} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | com.google.crypto.tink.subtle.PrfAesCmac.generateSubKeys | lines=1180 runkeys=546 | src={'PrfAesCmac.java:112': 966, 'PrfAesCmac.java:105': 214} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ORDER-00 | f2 | org.flyve.inventory.CryptoUtil.encrypt | lines=92 runkeys=80 | src={'CryptoUtil.java:84': 92} | apks=['org.glpi.inventory.agent_39469.apk']
CipherSpec | CIPHER-ORDER-00 | f5 | com.google.crypto.tink.prf.internal.PrfAesCmac.compute | lines=528 runkeys=99 | src={'PrfAesCmac.java:142': 264, 'PrfAesCmac.java:134': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | f6 | com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce.encrypt | lines=121 runkeys=112 | src={'InsecureNonceAesGcmJce.java:101': 121} | apks=['app.maskan.chat_90.apk', 'com.afkanerd.deku_83.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk']
CipherSpec | CIPHER-ORDER-00 | f6 | com.google.crypto.tink.subtle.AesGcmJce.encrypt | lines=1 runkeys=1 | src={'AesGcmJce.java:78': 1} | apks=['org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ORDER-00 | f6 | com.google.crypto.tink.subtle.AesSiv.encryptInternal | lines=62 runkeys=57 | src={'AesSiv.java:205': 62} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.android.gms.internal.ads.zzbbe.zzb | lines=243 runkeys=98 | src={'com.google.android.gms:play-services-ads@@25.3.0:10': 243} | apks=['com.tananaev.passportreader_22.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce.decrypt | lines=138 runkeys=86 | src={'InsecureNonceAesGcmJce.java:136': 138} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce.encrypt | lines=121 runkeys=112 | src={'InsecureNonceAesGcmJce.java:93': 121} | apks=['app.maskan.chat_90.apk', 'com.afkanerd.deku_83.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.prf.internal.PrfAesCmac.compute | lines=264 runkeys=99 | src={'PrfAesCmac.java:106': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.prf.internal.PrfAesCmac.generateSubKeys | lines=264 runkeys=99 | src={'PrfAesCmac.java:155': 264} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.subtle.AesGcmJce.encrypt | lines=1 runkeys=1 | src={'AesGcmJce.java:73': 1} | apks=['org.openhab.habdroid_589.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.subtle.AesSiv.encryptInternal | lines=62 runkeys=57 | src={'AesSiv.java:191': 62} | apks=['com.hegocre.nextcloudpasswords_38.apk']
CipherSpec | CIPHER-ORDER-00 | i2 | com.google.crypto.tink.subtle.PrfAesCmac.compute | lines=967 runkeys=448 | src={'PrfAesCmac.java:69': 966, 'PrfAesCmac.java:62': 1} | apks=['app.maskan.chat_90.apk', 'app.michaelwuensch.bitbanana_79.apk', 'com.afkanerd.deku_83.apk', 'com.tk.quicksearch_65.apk', 'dev.dettmer.simplenotes_41.apk', 'org.css_apps_m3.password_manager_16.apk', 'org.openhab.habdroid_589.apk']
