spec,code,site,cls,method,category,sec,runkeys,lines,apks,src,conf,why
AlgorithmParametersSpec,ALGORITHMPARAMETERS-ALG-00,EncryptedKey.decrypt,org.fedorahosted.freeotp.encryptor.EncryptedKey,decrypt,GENUINE_PER_RULE,no,17,17,1,EncryptedKey.java:54,high,"""GCM"" is the JCA name Conscrypt gives the parameters of an AES/GCM Cipher; the rule list simply lacks it"
AlgorithmParametersSpec,ALGORITHMPARAMETERS-ORDER-00,EncryptedKey.<init>,org.fedorahosted.freeotp.encryptor.EncryptedKey,<init>,UNOBSERVED_CREATION,,17,17,1,EncryptedKey.java:32,high,
CipherSpec,CIPHER-ALG-01,PrfAesCmac.compute,com.google.crypto.tink.prf.internal.PrfAesCmac,compute,GENUINE_PER_RULE,no,99,264,1,PrfAesCmac.java:106,high,"AES/ECB/NoPadding is the raw block-cipher primitive of CMAC (RFC 4493), one block per doFinal; not ECB-mode encryption of data"
CipherSpec,CIPHER-ALG-01,PrfAesCmac.generateSubKeys,com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,GENUINE_PER_RULE,no,99,264,1,PrfAesCmac.java:155,high,"AES/ECB/NoPadding is the raw block-cipher primitive of CMAC (RFC 4493), one block per doFinal; not ECB-mode encryption of data"
CipherSpec,CIPHER-ALG-01,PrfAesCmac.compute,com.google.crypto.tink.subtle.PrfAesCmac,compute,GENUINE_PER_RULE,no,448,967,7,PrfAesCmac.java:69,high,"AES/ECB/NoPadding is the raw block-cipher primitive of CMAC (RFC 4493), one block per doFinal; not ECB-mode encryption of data"
CipherSpec,CIPHER-ALG-01,PrfAesCmac.generateSubKeys,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,GENUINE_PER_RULE,no,546,1180,7,PrfAesCmac.java:110,high,"AES/ECB/NoPadding is the raw block-cipher primitive of CMAC (RFC 4493), one block per doFinal; not ECB-mode encryption of data"
CipherSpec,CIPHER-ALG-01,CryptoUtil.encrypt,org.flyve.inventory.CryptoUtil,encrypt,GENUINE_PER_RULE,debatable,80,92,1,CryptoUtil.java:83,high,RSA/ECB/OAEPWithSHA1AndMGF1Padding: OAEP with SHA-1 is not broken (RFC 8017 allows it); the rule admits OAEPWithMD5 but not SHA-1 (oracle wart)
CipherSpec,CIPHER-CONSTR-00,EncryptedKey.encrypt,org.fedorahosted.freeotp.encryptor.EncryptedKey,encrypt,GENUINE_PER_RULE,no,17,17,1,EncryptedKey.java:42,high,AES key derived by PBKDF2 (SecretKeyFactory) used directly for AES/GCM; algorithm-label mismatch only
CipherSpec,CIPHER-ORDER-00,CryptoUtils.encrypt,com.beemdevelopment.aegis.crypto.CryptoUtils,encrypt,CASCADE_OF_VALUE_FAILURE,,6,6,1,CryptoUtils.java:78,high,
CipherSpec,CIPHER-ORDER-00,zzbbe.zzb,com.google.android.gms.internal.ads.zzbbe,zzb,LEGAL_REUSE_REJECTED,,98,486,1,com.google.android.gms:play-services-ads@@25.3.0:10,high,
CipherSpec,CIPHER-ORDER-00,InsecureNonceAesGcmJce.decrypt,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,decrypt,LEGAL_REUSE_REJECTED,,86,276,4,InsecureNonceAesGcmJce.java:136,high,
CipherSpec,CIPHER-ORDER-00,InsecureNonceAesGcmJce.encrypt,com.google.crypto.tink.aead.internal.InsecureNonceAesGcmJce,encrypt,LEGAL_REUSE_REJECTED,,112,242,4,InsecureNonceAesGcmJce.java:93,high,
CipherSpec,CIPHER-ORDER-00,PrfAesCmac.compute,com.google.crypto.tink.prf.internal.PrfAesCmac,compute,CASCADE_OF_VALUE_FAILURE,,99,792,1,PrfAesCmac.java:106,high,
CipherSpec,CIPHER-ORDER-00,PrfAesCmac.generateSubKeys,com.google.crypto.tink.prf.internal.PrfAesCmac,generateSubKeys,CASCADE_OF_VALUE_FAILURE,,99,528,1,PrfAesCmac.java:155,high,
CipherSpec,CIPHER-ORDER-00,AesGcmJce.encrypt,com.google.crypto.tink.subtle.AesGcmJce,encrypt,LEGAL_REUSE_REJECTED,,1,2,1,AesGcmJce.java:73,high,
CipherSpec,CIPHER-ORDER-00,AesSiv.encryptInternal,com.google.crypto.tink.subtle.AesSiv,encryptInternal,LEGAL_REUSE_REJECTED,,57,124,1,AesSiv.java:191,high,
CipherSpec,CIPHER-ORDER-00,PrfAesCmac.compute,com.google.crypto.tink.subtle.PrfAesCmac,compute,CASCADE_OF_VALUE_FAILURE,,448,2901,7,PrfAesCmac.java:69,high,
CipherSpec,CIPHER-ORDER-00,PrfAesCmac.generateSubKeys,com.google.crypto.tink.subtle.PrfAesCmac,generateSubKeys,CASCADE_OF_VALUE_FAILURE,,546,2360,7,PrfAesCmac.java:110,high,
CipherSpec,CIPHER-ORDER-00,CryptoUtil.encrypt,org.flyve.inventory.CryptoUtil,encrypt,CASCADE_OF_VALUE_FAILURE,,80,184,1,CryptoUtil.java:83,high,
KeyPairSpec,KEYPAIR-ORDER-00,TLSClientHandshakeKt.generateECKeys,io.ktor.network.tls.TLSClientHandshakeKt,generateECKeys,UNOBSERVED_CREATION,,185,685,4,TLSClientHandshake.kt:525,high,
KeyPairSpec,KEYPAIR-ORDER-00,BaseSSHKeyGen.generateKey,io.treehouses.remote.bases.BaseSSHKeyGen,generateKey,UNOBSERVED_CREATION,,1,2,1,BaseSSHKeyGen.kt:115,high,
KeyPairSpec,KEYPAIR-ORDER-00,CryptoUtil.generateKeyPair,org.flyve.inventory.CryptoUtil,generateKeyPair,UNOBSERVED_CREATION,,80,184,1,CryptoUtil.java:65,high,
KeyPairSpec,KEYPAIR-ORDER-00,ScepClient.CertReq,systems.sieber.droid_scep.ScepClient,CertReq,UNOBSERVED_CREATION,,1,4,1,ScepClient.java:135,high,
MacSpec,MAC-ALG-00,HOTP.getHash,com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,GENUINE_PER_RULE,no,2,2,1,HOTP.java:41,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
MacSpec,MAC-ALG-00,HOTP.hmac_sha1,org.cry.otp.HOTP,hmac_sha1,GENUINE_PER_RULE,no,1,1,1,HOTP.java:32,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
MacSpec,MAC-ALG-00,TOTP.hmac_sha,org.cry.otp.TOTP,hmac_sha,GENUINE_PER_RULE,no,3,3,1,TOTP.java:46,high,"HMAC-SHA1 is what RFC 4226/6238 specify for HOTP/TOTP; the token secret, not the hash, carries the security"
MacSpec,MAC-ORDER-00,HOTP.getHash,com.beemdevelopment.aegis.crypto.otp.HOTP,getHash,CASCADE_OF_VALUE_FAILURE,,2,4,1,HOTP.java:41,high,
MacSpec,MAC-ORDER-00,Hkdf.computeHkdf,com.google.crypto.tink.subtle.Hkdf,computeHkdf,LEGAL_REUSE_REJECTED,,34,170,1,Hkdf.java:65,high,
MacSpec,MAC-ORDER-00,HashesKt.P_hash,io.ktor.network.tls.HashesKt,P_hash,LEGAL_REUSE_REJECTED,,184,1596,4,Hashes.kt:31,high,
MacSpec,MAC-ORDER-00,HOTP.hmac_sha1,org.cry.otp.HOTP,hmac_sha1,CASCADE_OF_VALUE_FAILURE,,1,2,1,HOTP.java:32,high,
MacSpec,MAC-ORDER-00,TOTP.hmac_sha,org.cry.otp.TOTP,hmac_sha,CASCADE_OF_VALUE_FAILURE,,3,6,1,TOTP.java:46,high,
MessageDigestSpec,MESSAGEDIGEST-ALG-00,HashUtils.digest,com.absinthe.rulesbundle.utils.HashUtils,digest,GENUINE_PER_RULE,no,98,162,1,HashUtils.kt:18,high,MD5 equality check of the bundled rules DB against the asset copy
MessageDigestSpec,MESSAGEDIGEST-ALG-00,PatternLockUtils.patternToSha1,com.andrognito.patternlockview.utils.PatternLockUtils,patternToSha1,GENUINE_PER_RULE,yes,5,5,1,PatternLockUtils.java:91,high,unsalted SHA-1 of the unlock pattern is the stored/compared secret (Fossify Commons PatternTab)
MessageDigestSpec,MESSAGEDIGEST-ALG-00,ExtensionFunctionsKt.getCurrentSignatures,com.crazylegend.crashyreporter.extensions.ExtensionFunctionsKt,getCurrentSignatures,GENUINE_PER_RULE,no,1,1,1,ExtensionFunctions.kt:298,high,SHA-1 of the signing certificate printed in a crash report
MessageDigestSpec,MESSAGEDIGEST-ALG-00,zzf.zzG,com.google.android.gms.ads.internal.util.client.zzf,zzG,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads-api@@25.3.0:2,high,MD5 of ANDROID_ID for the AdMob test-device id and of request bodies/cache keys
MessageDigestSpec,MESSAGEDIGEST-ALG-00,zzf.zzj,com.google.android.gms.ads.internal.util.client.zzf,zzj,GENUINE_PER_RULE,no,99,490,1,com.google.android.gms:play-services-ads-api@@25.3.0:6,high,MD5 of a random UUID for a per-process id
MessageDigestSpec,MESSAGEDIGEST-ALG-00,zzazv.zze,com.google.android.gms.internal.ads.zzazv,zze,GENUINE_PER_RULE,no,99,244,1,com.google.android.gms:play-services-ads@@25.3.0:5,high,MD5 integrity hash of SDK payloads/cache records
MessageDigestSpec,MESSAGEDIGEST-ALG-00,CommonUtils.hash,com.google.firebase.crashlytics.internal.common.CommonUtils,hash,GENUINE_PER_RULE,no,297,702,3,CommonUtils.java:169,high,Crashlytics session/instance ids and report file names
MessageDigestSpec,MESSAGEDIGEST-ALG-00,GettersKt.getChecksum,com.schwegelbin.openbible.logic.GettersKt,getChecksum,GENUINE_PER_RULE,no,64,156,1,Getters.kt:135,high,SHA-1 of a downloaded translation file compared with the index to decide updates
MessageDigestSpec,MESSAGEDIGEST-ALG-00,AccessPointsAdapterData.calculateChildType,com.vrem.wifianalyzer.wifi.accesspoint.AccessPointsAdapterData,calculateChildType,GENUINE_PER_RULE,no,99,180,1,AccessPointsAdapterData.kt:68,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-00,GraphWrapper.calculateGraphType,com.vrem.wifianalyzer.wifi.graphutils.GraphWrapper,calculateGraphType,GENUINE_PER_RULE,no,54,107,1,GraphWrapper.kt:168,high,MD5 of own package name compared with constants (anti-repackaging switch)
MessageDigestSpec,MESSAGEDIGEST-ALG-00,AeSimpleSHA1.SHA1,de.stephanlindauer.criticalmaps.utils.AeSimpleSHA1,SHA1,GENUINE_PER_RULE,no,98,172,1,AeSimpleSHA1.java:16,high,SHA-1(ANDROID_ID+date) as a daily pseudonymous device token; SHA-1(message+random) as a message id
MessageDigestSpec,MESSAGEDIGEST-ALG-00,DigestImpl.plusAssign-impl,io.ktor.util.DigestImpl,plusAssign-impl,GENUINE_PER_RULE,no,1,1,1,CryptoJvm.kt:51,high,SHA-1 of the WebSocket key (RFC 6455 Sec-WebSocket-Accept)
MessageDigestSpec,MESSAGEDIGEST-ALG-00,Schedule$Item.hashCode,net.gaast.giggity.Schedule$Item,hashCode,GENUINE_PER_RULE,no,86,117,1,Schedule.java:1152,high,MD5 of the item URL as Object.hashCode / notification id
MessageDigestSpec,MESSAGEDIGEST-ALG-00,ByteString.digest$okio,okio.ByteString,digest$okio,GENUINE_PER_RULE,no,699,1504,13,ByteString.kt:83,high,OkHttp disk-cache key MD5(url) / websocket accept SHA-1; libchecker and wikipedia call md5()/sha1() directly for fingerprints and cache names
MessageDigestSpec,MESSAGEDIGEST-ALG-00,PinTab.getHashedPin,org.fossify.commons.views.PinTab,getHashedPin,GENUINE_PER_RULE,yes,4,4,1,PinTab.kt:135,high,unsalted SHA-1 of the PIN is the stored/compared secret
MessageDigestSpec,MESSAGEDIGEST-ALG-01,APKParser.getCertificateFingerprint,com.apk.axml.APKParser,getCertificateFingerprint,GENUINE_PER_RULE,no,73,106,1,APKParser.java:124,high,certificate fingerprints displayed to the user
MessageDigestSpec,MESSAGEDIGEST-ALG-01,AndroidUtilsLight.getPackageCertificateHashBytes,com.google.android.gms.common.util.AndroidUtilsLight,getPackageCertificateHashBytes,GENUINE_PER_RULE,no,198,257,2,com.google.android.gms:play-services-basement@@18.9.0:4,high,SHA-1 fingerprint of the app signing certificate for the X-Android-Cert header
MessageDigestSpec,MESSAGEDIGEST-ALG-01,zzgi.zzh,com.google.android.gms.measurement.internal.zzgi,zzh,GENUINE_PER_RULE,no,212,551,3,com.google.android.gms:play-services-measurement-impl@@23.2.0:29,high,MD5 of the app signing certificate folded to a long (Firebase Analytics app metadata)
MessageDigestSpec,MESSAGEDIGEST-ALG-01,zzop.zza,com.google.android.gms.measurement.internal.zzop,zza,GENUINE_PER_RULE,no,99,164,1,com.google.android.gms:play-services-measurement-impl@@22.1.0:176,high,MD5 of the app signing certificate (Firebase Analytics)
