                           spec                               code        event                                                                                                    cls                          method  lines  runkeys  apks                                                                src                                  vals                                                                                         msg
0       AlgorithmParametersSpec         ALGORITHMPARAMETERS-ALG-00          get                                                        org.fedorahosted.freeotp.encryptor.EncryptedKey                         decrypt     17       17     1                                               EncryptedKey.java:54                                 [GCM]  expecting one of AES,DiffieHellman,DH,OAEP,PBEWithHmacSHA224AndAES_128,PBEWithHmacSHA256An
1       AlgorithmParametersSpec       ALGORITHMPARAMETERS-ORDER-00      encoded                                                        org.fedorahosted.freeotp.encryptor.EncryptedKey                          <init>     17       17     1                                               EncryptedKey.java:32                                    []                       the observed call sequence is not one AlgorithmParametersSpec accepts
5                    CipherSpec                      CIPHER-ALG-01           i2                                                               com.google.crypto.tink.subtle.PrfAesCmac                 generateSubKeys   1180      546     7                                                PrfAesCmac.java:110                   [AES/ECB/NoPadding]  expecting a transformation admitted by CipherTransformationUtil (expert Cipher.crysl) but 
4                    CipherSpec                      CIPHER-ALG-01           i2                                                               com.google.crypto.tink.subtle.PrfAesCmac                         compute    967      448     7                                                 PrfAesCmac.java:69                   [AES/ECB/NoPadding]  expecting a transformation admitted by CipherTransformationUtil (expert Cipher.crysl) but 
2                    CipherSpec                      CIPHER-ALG-01           i2                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                         compute    264       99     1                                                PrfAesCmac.java:106                   [AES/ECB/NoPadding]  expecting a transformation admitted by CipherTransformationUtil (expert Cipher.crysl) but 
3                    CipherSpec                      CIPHER-ALG-01           i2                                                         com.google.crypto.tink.prf.internal.PrfAesCmac                 generateSubKeys    264       99     1                                                PrfAesCmac.java:155                   [AES/ECB/NoPadding]  expecting a transformation admitted by CipherTransformationUtil (expert Cipher.crysl) but 
6                    CipherSpec                      CIPHER-ALG-01           i2                                                                         org.flyve.inventory.CryptoUtil                         encrypt     92       80     1                                                 CryptoUtil.java:83  [RSA/ECB/OAEPWithSHA1AndMGF1Padding]  expecting a transformation admitted by CipherTransformationUtil (expert Cipher.crysl) but 
7                    CipherSpec                   CIPHER-CONSTR-00           i2                                                        org.fedorahosted.freeotp.encryptor.EncryptedKey                         encrypt     17       17     1                                               EncryptedKey.java:42                                    []         the key given to Cipher.init carries a key-origin predicate the rule does not admit
13                   CipherSpec                    CIPHER-ORDER-00           f2                                                               com.google.crypto.tink.subtle.PrfAesCmac                 generateSubKeys   1180      546     7                                                PrfAesCmac.java:112                                    []                                    the observed call sequence is not one CipherSpec accepts
27                   CipherSpec                    CIPHER-ORDER-00           i2                                                               com.google.crypto.tink.subtle.PrfAesCmac                 generateSubKeys   1180      546     7                                                PrfAesCmac.java:110                                    []                                    the observed call sequence is not one CipherSpec accepts
