mop_file,rule,variable,rule_object,verdict,changed_from_jca,mop_literals,rule_literals,spelling_variants,aliases,unmatched,absent_from_mop,reason
jca_android/CipherInputStreamSpec.mop,generated/api30/CipherInputStream.cryptsl,-,CONSTRAINTS (len > off),no-allow-list,no,-,-,-,none,-,len > off,"the api30 rule declares no `in {...}` clause, so there is no allow-list to transcribe; its single clause (len > off) is a deferred constant, entered below."
jca_android/CipherOutputStreamSpec.mop,generated/api30/CipherOutputStream.cryptsl,-,CONSTRAINTS (len > off),no-allow-list,no,-,-,-,none,-,len > off,"the api30 rule declares no `in {...}` clause, so there is no allow-list to transcribe; its single clause (len > off) is a deferred constant, entered below."
jca_android/DHGenParameterSpecSpec.mop,generated/api30/DHGenParameterSpec.cryptsl,-,no CONSTRAINTS block,no-allow-list,no,exponentSize < primeSize,-,-,none,-,-,"the api30 rule declares no CONSTRAINTS at all; the .mop keeps its inherited exponentSize < primeSize test, which the constraint table records as MOP-SEM-BASE."
jca_android/HMACParameterSpecSpec.mop,generated/api30/HMACParameterSpec.cryptsl,-,no CONSTRAINTS block,no-allow-list,no,-,-,-,none,-,-,the api30 rule declares no CONSTRAINTS at all; nothing to transcribe.
jca_android/IvParameterSpec.mop,generated/api30/IvParameterSpec.cryptsl,-,no CONSTRAINTS block,no-allow-list,no,offset >= 0 && len >= 0 && iv.length >= offset + len,-,-,none,-,-,"the api30 rule declares no CONSTRAINTS at all; the .mop keeps its inherited bounds test on c2, which the constraint table records as MOP-SEM-BASE. The predicate half of every condition() left with the predicate removal."
jca_android/KeyPairSpec.mop,generated/api30/KeyPair.cryptsl,-,no CONSTRAINTS block,no-allow-list,no,-,-,-,none,-,-,the api30 rule declares no CONSTRAINTS at all; nothing to transcribe.
jca_android/CipherSpec.mop,generated/api30/Cipher.cryptsl,transformation,Cipher.cryptsl:121-169 (25 clauses),transcription,yes,"Api30CipherTransformationUtil (8 algorithms, mode and padding tables)","ChaCha20, AES_128, ARC4, RSA, DESede, AES, BLOWFISH, AES_256",case-insensitive,Cipher rows of alias_table.csv,-,-,"the list stays in Java (D-b) and moves to the new class Api30CipherTransformationUtil, which CipherSpec.mop names; the frozen CipherTransformationUtil covered 2 algorithm families, the api30 rule declares 8. Seven of the 25 clauses are transcribed (:121, :137, :141, :143, :145, :147, :149); the other 18 are deferred constants, entered below."
jca_android/GCMParameterSpecSpec.mop,generated/api30/GCMParameterSpec.cryptsl,tLen,"tLen in {128, 120, 96, 112, 104}",transcription,no,"96, 104, 112, 120, 128","128, 120, 96, 112, 104",-,none,-,-,"IGUAL: the seed list and the api30 clause are the same set, so the transcription is a no-op and the .mop is left unchanged."
jca_android/KeyGeneratorSpec.mop,generated/api30/KeyGenerator.cryptsl,alg,alg in {11 entries},transcription,yes,"ChaCha20, ARC4, HmacSHA224, DESede, HmacSHA256, HmacMD5, HmacSHA1, HmacSHA512, AES, BLOWFISH, HmacSHA384",same 11,-,KeyGenerator rows of alias_table.csv (23),-,-,"api30 adds ChaCha20, ARC4, DESede, BLOWFISH, HmacMD5, HmacSHA1 and HmacSHA224 to the seed. The seed hand-wrote the Conscrypt aliases HMAC-SHA256, HMAC/SHA256, HMAC-SHA384, HMAC/SHA384, HMAC/SHA512 and HMAC-SHA512 inside the list; they leave with it and are resolved by ConscryptAliasTable instead. alg in {AES} => keySize in {128,192,256} is a deferred constant, entered below."
jca_android/KeyManagerFactorySpec.mop,generated/api30/KeyManagerFactory.cryptsl,algo,algo in {PKIX},transcription,yes,PKIX,PKIX,case-insensitive,none in this service,-,SunX509,"narrowing hunk: the seed also admitted SunX509, which does not exist on Android; MOP-MAIS-PERMISSIVO row of constraint_table.csv against KeyManagerFactory.cryptsl:41. neverTypeOf(password, java.lang.String) is a deferred constant, entered below."
jca_android/KeyPairGeneratorSpec.mop,generated/api30/KeyPairGenerator.cryptsl,"alg, keySize","alg in {DSA, DH, RSA} + four keySize implications",transcription,yes,"DSA, DH, RSA, EC; RSA {4096, 2048}; DH 2048; DSA 2048; EC 256","DSA, DH, RSA; RSA {4096, 2048}; DH {2048}; DSA {2048}; EC {256}",case-insensitive,KeyPairGenerator rows of alias_table.csv (5),-,"DiffieHellman, RSA-3072","two narrowing hunks, both MOP-MAIS-PERMISSIVO rows of constraint_table.csv: the seed also admitted the spelling DiffieHellman beside DH (KeyPairGenerator.cryptsl:45 writes DH only) and the RSA key size 3072 (:51 gives {4096, 2048}). EC is kept against the literal rule and is a recorded divergence, not a transcription — see divergence_record.csv (task 2.6)."
