file,line,spec,event,class,lost_accusation,reason
CipherSpec.mop,70-72,CipherSpec,i2,provenance,"UnsafeAlgorithm: expecting one of {AES/CBC/PKCS5Padding, AES/PCBC/ISO10126Padding, ...} but found <transformation>.","the condition() was the GENERATED_KEY/GENERATED_PUBLIC_KEY/GENERATED_PRIVATE_KEY provenance read alone; the event, its report site and its transition row stay, only the provenance half is lost. Measured mitigation: keys from AndroidKeyStore, Tink and KeyGenParameterSpec never carry GENERATED_KEY (11,620 events / 80 misuses / 25 apps, ase-journal), so this check was already inoperative on Android."
GCMParameterSpecSpec.mop,28,GCMParameterSpecSpec,c1 (2-arg ctor),guard,,"guard only: the ctor is now accepted on validLengths alone. Removing the predicate is a net gain — an unmet predicate made the event fail its guard and the specification went silent."
GCMParameterSpecSpec.mop,39,GCMParameterSpecSpec,c1 (4-arg ctor),guard,,"guard only: the ctor is now accepted on validLengths plus the offset/len tests. Its transition row is {1,2,2} (start -> match), the same row as the 2-arg twin, so an unmet predicate never accused."
IvParameterSpec.mop,25,IvParameterSpecSpec,c1,guard,,"the condition() was the predicate alone; it goes entirely and the event fires unconditionally, which is the accepting transition the rule intends."
IvParameterSpec.mop,34,IvParameterSpecSpec,c2,guard,,"mixed condition: the predicate conjunct is stripped and offset >= 0 && len >= 0 && iv.length >= offset + len is kept."
IvParameterSpec.mop,46,IvParameterSpecSpec,c3,total-loss,"UnsatisfiedConstraint, IvParameterSpecSpec (three-argument report site, no free-text message)","purely predicate-guarded accuser, absent from the ere: kept with an emptied condition() it would accuse on every new IvParameterSpec(byte[]). Declaration deleted."
IvParameterSpec.mop,54,IvParameterSpecSpec,c4,total-loss,"UnsatisfiedConstraint, IvParameterSpecSpec (three-argument report site, no free-text message)","purely predicate-guarded accuser, absent from the ere: kept with an emptied condition() it would accuse on every new IvParameterSpec(byte[], int, int). Declaration deleted."
MacSpec.mop,47,MacSpec,i1,provenance,"UnsafeAlgorithm: expecting one of <safeAlgorithms> but found <algorithm>.","the condition() was the GENERATED_KEY read alone; the event, its report site and its row stay, only the provenance half is lost. Measured mitigation: keys from AndroidKeyStore, Tink and KeyGenParameterSpec never carry GENERATED_KEY (11,620 events / 80 misuses / 25 apps, ase-journal)."
MacSpec.mop,59,MacSpec,i2,provenance,"UnsafeAlgorithm: one of <safeAlgorithms> but found <algorithm>.","the condition() was the GENERATED_KEY read alone; the event, its report site and its row stay, only the provenance half is lost. Measured mitigation: keys from AndroidKeyStore, Tink and KeyGenParameterSpec never carry GENERATED_KEY (11,620 events / 80 misuses / 25 apps, ase-journal)."
PBEKeySpecSpec.mop,38-39,PBEKeySpecSpec,c1,guard,,"mixed condition: both RANDOMIZED conjuncts (password, salt) are stripped and iterationCount >= 10000 is kept."
PBEKeySpecSpec.mop,56,PBEKeySpecSpec,err2,total-loss,"UnsatisfiedConstraint: first argument should have been randomized","purely predicate-guarded accuser, absent from the ere: kept with an emptied condition() it would accuse on every four-argument PBEKeySpec construction. Declaration deleted."
PBEKeySpecSpec.mop,64,PBEKeySpecSpec,err3,total-loss,"UnsatisfiedConstraint: second argument should have been randomized","purely predicate-guarded accuser, absent from the ere: kept with an emptied condition() it would accuse on every four-argument PBEKeySpec construction. Declaration deleted."
PBEParameterSpecSpec.mop,27,PBEParameterSpecSpec,c1,guard,,"mixed condition: the predicate conjunct is stripped and iterationCount >= 10000 is kept. Dropping the whole condition would let a < 10000 constructor fire c1 (match) and c3 (fail + __RESET) on one call — a self-contradictory verdict."
PBEParameterSpecSpec.mop,37,PBEParameterSpecSpec,c2,guard,,"mixed condition: the predicate conjunct is stripped and iterationCount >= 10000 is kept, for the same reason as c1."
PBEParameterSpecSpec.mop,47,PBEParameterSpecSpec,c3,partial-loss,"UnsafeAlgorithm: expecting at least 1000 iterations and a randomized salt.","the !validate(RANDOMIZED, salt) disjunct is lost; the iterationCount < 10000 disjunct survives, so the event, its report site and its row stay."
SecretKeySpecSpec.mop,29,SecretKeySpecSpec,c1,guard,,"mixed condition: the predicate conjunct is stripped. The allow-list conjunct then goes with task 2.4 (the api30 SecretKeySpec rule declares nothing about the algorithm), so the condition() is dropped entirely and c1 fires unconditionally."
SecretKeySpecSpec.mop,46,SecretKeySpecSpec,c3,total-loss,"UnsatisfiedConstraint:  Using either an invalid algorithm or keyMaterial.length is not randomized.","predicate half lost here and allow-list half lost in task 2.4 (the api30 rule declares no algorithm clause), so the site loses both halves. Absent from the ere; declaration deleted."
SecureRandomSpec.mop,38,SecureRandomSpec,c2,guard,,"the condition() was the predicate alone; it goes entirely and c2 fires unconditionally, which is the accepting transition the fsm intends."
SecureRandomSpec.mop,46,SecureRandomSpec,c3,total-loss,"InvalidSequenceOfMethodCalls, SecureRandomSpec (raised by @fail, not by the body: the body only stored sr = r, but the row is {3,3,3,3} against fail = 3)","absent from the fsm; kept with an empty condition it would accuse on every new SecureRandom(byte[]). Declaration deleted."
SecureRandomSpec.mop,93,SecureRandomSpec,setSeed2,guard,,"the condition() was the predicate alone; it goes entirely and setSeed2 fires unconditionally, which is the accepting transition the fsm intends."
SecureRandomSpec.mop,99,SecureRandomSpec,setSeed3,total-loss,"UnsatisfiedConstraint: setSeed() expects a randomized byte array.","purely predicate-guarded accuser, absent from the fsm: kept with an emptied condition() it would accuse on every SecureRandom.setSeed(byte[]). Declaration deleted."
KeyGeneratorSpec.mop,75,KeyGeneratorSpec,@fail,remove,,"two-argument remove(Property, Object) of GENERATED_KEY; no NEGATES clause in the api30 corpus asks for it (the whole corpus declares 2, in SecretKey.cryptsl and PBEKeySpec.cryptsl)."
KeyManagerFactorySpec.mop,91,KeyManagerFactorySpec,@fail,remove,,"deprecated one-argument remove(Property) of GENERATED_KEY_MANAGERS; no NEGATES clause asks for it. Retires the deprecated one-argument API from this set."
KeyPairGeneratorSpec.mop,112,KeyPairGeneratorSpec,@fail,remove,,"two-argument remove(Property, Object) of GENERATED_KEY_PAIR; no NEGATES clause asks for it."
KeyStoreSpec.mop,79,KeyStoreSpec,@fail,remove,,"two-argument remove(Property, Object) of GENERATED_KEY; no NEGATES clause asks for it."
KeyStoreSpec.mop,80,KeyStoreSpec,@fail,remove,,"two-argument remove(Property, Object) of GENERATED_KEY_STORE; no NEGATES clause asks for it."
MacSpec.mop,87,MacSpec,@fail,remove,,"deprecated one-argument remove(Property) of GENERATED_MAC; no NEGATES clause asks for it. Retires the deprecated one-argument API from this set."
PBEKeySpecSpec.mop,72,PBEKeySpecSpec,c2,remove,,"two-argument remove(SPECCED_KEY, s) inside clearPassword(): the one site of the nine that does encode a rule — PBEKeySpec.cryptsl:48-50 NEGATES speccedKey[this,_] after cP — and it leaves with the property it revokes."
TrustManagerFactorySpec.mop,87,TrustManagerFactorySpec,@fail,remove,,"deprecated one-argument remove(Property) of GENERATED_TRUST_MANAGER; no NEGATES clause asks for it. Retires the deprecated one-argument API from this set."
