n,section,rule,predicate,arity,negated,guarded,bindable,counterparts,counterparts_with_mop,disposition,reason,rule_line,clause
1,REQUIRES,AlgorithmParameterGenerator,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),AlgorithmParameterGenerator.crysl:32,randomized[random]
2,REQUIRES,AlgorithmParameters,preparedAlg,2,no,no,yes,AlgorithmParameterGenerator|AlgorithmParameters,AlgorithmParameterGenerator|AlgorithmParameters,wireable,"consumer and producer both specified (AlgorithmParameterGenerator, AlgorithmParameters)",AlgorithmParameters.crysl:34,"preparedAlg[params, algorithm]"
3,REQUIRES,AlgorithmParameters,preparedIV,1,no,yes,yes,IvParameterSpec,IvParameterSpec,wireable,consumer and producer both specified (IvParameterSpec),AlgorithmParameters.crysl:35,"algorithm in {""AES""} => preparedIV[paramSpec]"
4,REQUIRES,AlgorithmParameters,preparedDH,1,no,yes,yes,DHGenParameterSpec|DHParameterSpec,DHGenParameterSpec|DHParameterSpec,wireable,"consumer and producer both specified (DHGenParameterSpec, DHParameterSpec)",AlgorithmParameters.crysl:36,"algorithm in {""DiffieHellman"", ""DH""} => preparedDH[paramSpec]"
5,REQUIRES,AlgorithmParameters,preparedPBE,1,no,yes,yes,PBEParameterSpec,PBEParameterSpec,wireable,consumer and producer both specified (PBEParameterSpec),AlgorithmParameters.crysl:37,"algorithm in {""PBEWithHmacSHA224AndAES_128"", ""PBEWithHmacSHA256AndAES_128"", ""PBEWithHmacSHA384AndAES_128"", ""PBEWithHmacSHA512AndAES_128"", ""PBEWithHmacSHA224AndAES_256"", ""PBEWithHmacSHA256AndAES_256"", ""PBEWithHmacSHA384AndAES_256"", ""PBEWithHmacSHA512AndAES_256""} => preparedPBE[paramSpec]"
6,REQUIRES,AlgorithmParameters,preparedOAEP,1,no,yes,yes,OAEPParameterSpec,OAEPParameterSpec,wireable,consumer and producer both specified (OAEPParameterSpec),AlgorithmParameters.crysl:40,"algorithm in {""OAEP""} => preparedOAEP[paramSpec]"
7,REQUIRES,CertPathTrustManagerParameters,generatedCertPathParameters,1,no,no,yes,PKIXBuilderParameters|PKIXParameters,PKIXBuilderParameters|PKIXParameters,wireable,"consumer and producer both specified (PKIXBuilderParameters, PKIXParameters)",CertPathTrustManagerParameters.crysl:14,generatedCertPathParameters[params]
8,REQUIRES,Cipher,generatedKey,2,no,no,yes,KeyGenerator|KeyStore|SecretKeyFactory|SecretKeySpec,KeyGenerator|KeyStore|SecretKeyFactory|SecretKeySpec,wireable,"consumer and producer both specified (KeyGenerator, KeyStore, SecretKeyFactory, SecretKeySpec)",Cipher.crysl:134,"generatedKey[key, alg(transformation)]"
9,REQUIRES,Cipher,randomized,1,no,no,yes,SecureRandom,SecureRandom,wireable,consumer and producer both specified (SecureRandom),Cipher.crysl:135,randomized[random]
10,REQUIRES,Cipher,preparedAlg,2,no,no,yes,AlgorithmParameterGenerator|AlgorithmParameters,AlgorithmParameterGenerator|AlgorithmParameters,wireable,"consumer and producer both specified (AlgorithmParameterGenerator, AlgorithmParameters)",Cipher.crysl:136,"preparedAlg[params, alg(transformation)]"
11,REQUIRES,Cipher,macced,2,yes,no,yes,Mac,Mac,wireable,consumer and producer both specified (Mac),Cipher.crysl:137,"!macced[_, plainText]"
12,REQUIRES,Cipher,preparedIV,1,no,yes,yes,IvParameterSpec,IvParameterSpec,wireable,consumer and producer both specified (IvParameterSpec),Cipher.crysl:138,"mode(transformation) in {""CBC"", ""PCBC"", ""CTR"", ""CTS"", ""CFB"", ""OFB""} && encmode == 1 => preparedIV[paramSpec]"
13,REQUIRES,Cipher,preparedGCM,1,no,yes,yes,GCMParameterSpec,GCMParameterSpec,wireable,consumer and producer both specified (GCMParameterSpec),Cipher.crysl:139,"mode(transformation) in {""GCM""} => preparedGCM[paramSpec]"
