spec,cryptsl_line,mop_line,verdict
CipherSpec,Cipher.cryptsl:121,CipherTransformationUtil.java:44-49,MOP-MAIS-RESTRITIVO
CipherSpec,Cipher.cryptsl:123,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:125,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:127,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:129,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:131,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:133,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:135,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:137,CipherTransformationUtil.java:33,DIVERGENTE
CipherSpec,Cipher.cryptsl:139,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:141,CipherTransformationUtil.java:35,MOP-MAIS-RESTRITIVO
CipherSpec,Cipher.cryptsl:143,CipherTransformationUtil.java:38-41,MOP-MAIS-PERMISSIVO
CipherSpec,Cipher.cryptsl:145,CipherTransformationUtil.java:64-65,IGUAL
CipherSpec,Cipher.cryptsl:147,CipherTransformationUtil.java:55-58,DIVERGENTE
CipherSpec,Cipher.cryptsl:149,CipherTransformationUtil.java:37,MOP-MAIS-PERMISSIVO
CipherSpec,Cipher.cryptsl:151,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:153,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:155,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:157,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:159,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:161,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:163,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:165,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:167,,CRYSL-NAO-IMPLEMENTADO
CipherSpec,Cipher.cryptsl:169,,CRYSL-NAO-IMPLEMENTADO
CipherInputStreamSpec,CipherInputStream.cryptsl:41,,CRYSL-NAO-IMPLEMENTADO
CipherOutputStreamSpec,CipherOutputStream.cryptsl:43,,CRYSL-NAO-IMPLEMENTADO
GCMParameterSpecSpec,GCMParameterSpec.cryptsl:29,GCMParameterSpecSpec.mop:21,IGUAL
GCMParameterSpecSpec,,GCMParameterSpecSpec.mop:40-42,MOP-SEM-BASE
DHGenParameterSpecSpec,,DHGenParameterSpecSpec.mop:24,MOP-SEM-BASE
IvParameterSpecSpec,,IvParameterSpec.mop:35-37,MOP-SEM-BASE
KeyGeneratorSpec,KeyGenerator.cryptsl:45,KeyGeneratorSpec.mop:20,DIVERGENTE
KeyGeneratorSpec,KeyGenerator.cryptsl:47,,CRYSL-NAO-IMPLEMENTADO
KeyManagerFactorySpec,KeyManagerFactory.cryptsl:39,,CRYSL-NAO-IMPLEMENTADO
KeyManagerFactorySpec,KeyManagerFactory.cryptsl:41,KeyManagerFactorySpec.mop:20,MOP-MAIS-PERMISSIVO
