rule,disposition,api30_line,api30_clause,expert_line,expert_clause,note
Cipher,withdrawn,121,"part(0,""/"",transformation) in {""ChaCha20"", ""AES_128"", ""ARC4"", ""RSA"", ""DESede"", ""AES"", ""BLOWFISH"", ""AES_256""}",-,-,
Cipher,identical,123,"part(1,""/"",transformation) in {""CFB"", ""PCBC"", ""OFB"", ""CBC"", ""CTS"", ""CTR""} && encmode != 1 => noCallTo(IWOIV)",115,"mode(transformation) in {""CBC"", ""PCBC"", ""CTR"", ""CTS"", ""CFB"", ""OFB""} && encmode != 1 => noCallTo[IWOIV]",
Cipher,identical,125,"part(1,""/"",transformation) in {""OFB"", ""CBC"", ""CTS"", ""CTR"", ""CFB"", ""PCBC""} && encmode == 1 => callTo(iv)",116,"mode(transformation) in {""CBC"", ""PCBC"", ""CTR"", ""CTS"", ""CFB"", ""OFB""} && encmode == 1 => callTo[IV]",
Cipher,identical,127,"encmode in {2, 4, 1, 3}",121,"encmode in {1,2,3,4}",
Cipher,renamed,129,length(pre_plaintext) >= pre_plain_off + len,122,length[prePlainText] >= prePlainTextOffset + prePlainTextLen,"`length(pre_plaintext) >= pre_plain_off + len` is `length[prePlainText] >= prePlainTextOffset + prePlainTextLen`. The stage that erases object names sees two clauses of this shape in the expert rule -- the `pre` family at :122 and the plain family at :127 -- and refuses both. The `pre` prefix is what tells them apart, and it survives the rename in both catalogues"
Cipher,inverted,131,length(pre_ciphertext) <= pre_ciphertext_off,123,length[preCipherText] >= preCipherTextOffset,"`length(pre_ciphertext) <= pre_ciphertext_off` against `length[preCipherText] >= preCipherTextOffset`. Same objects, same arithmetic, the comparison the other way round: the generated clause is satisfied exactly where the oracle's is violated. No stage pairs them, because a clause that says the opposite thing is not the same clause -- and recording them as one withdrawal and one restoration would hide the finding, which is that the generated chain inverts semantics in the arithmetic too, the same defect that took its value dimension away in D-15"
Cipher,inverted,133,length(plainText) <= plain_off + len,127,length[plainText] >= plainTextOffset + plainTextLen,"`length(plainText) <= plain_off + len` against `length[plainText] >= plainTextOffset + plainTextLen` -- the same inversion as :131, over renamed objects"
Cipher,inverted,135,length(cipherText) <= ciphertext_off,128,length[cipherText] >= cipherTextOffset,"`length(cipherText) <= ciphertext_off` against `length[cipherText] >= cipherTextOffset` -- the same inversion as :131. Three of the four bounds clauses the generated rule carries in this family are inverted; the fourth (:129) is the `renamed` pair above, which is what makes the other three a defect and not a dialect"
Cipher,values-differ,137,"part(0,""/"",transformation) in {""AES""} => part(1,""/"",transformation) in {""CFB"", ""GCM"", ""OFB"", ""CTS"", ""CTR"", ""ECB"", ""CBC""}",97,"alg(transformation) in {""AES""} => mode(transformation) in {""CBC"", ""CCM"", ""GCM"", ""PCBC"", ""CTR"", ""CTS"", ""CFB"", ""OFB""}","AES to mode, in both. The stage that erases values sees six antecedent families in api30 and three in the expert rule and cannot tell which is which; the antecedent value `AES` is unique on both sides and is what pairs them. The consequent lists differ -- api30 admits ECB, the expert rule does not, which is the D-15 finding on this clause"
Cipher,withdrawn,139,"part(0,""/"",transformation) in {""DESede""} => part(1,""/"",transformation) in {""CTS"", ""CTR"", ""CFB"", ""OFB"", ""ECB"", ""CBC""}",-,-,
