# The event-alphabet mapping re-anchored on the sole oracle (task 11.2, D-16). One row per
# (`.mop` event -> `ORDER` symbol) association, per specification, exactly as
# `order_alphabet_map.csv` carries it -- same associations, same dispositions, same
# reasons -- with `order_symbol`, `symbol_kind`, `rule` and `rule_line` re-derived against
# `RVSec-replication-package/tools/rules/`.
#
# Derived, never hand-written: `scripts/gh105_expert_alphabet.py --emit map` reproduces
# this file byte for byte, and `--check` fails if it does not. The pairing between the two
# catalogues is by signature and never by name -- `KeyPairGenerator`'s `i1..i4` are a
# permutation between them and `Signature`'s `u1`/`u2` are swapped, so a re-anchoring by
# name would look mechanical and be wrong exactly where it matters.
#
# What moved, and what did not: `order_alphabet_map_delta.csv` is the row-by-row account,
# including the symbols each catalogue declares that no event of this set covers. Nothing
# in either file moves a specification. Three rows change disposition under the expert
# alphabet -- `MacSpec.updateBuffer`, `SecureRandomSpec.next1` and `next3`, erased under
# api30 because the generated rule named no such call. Task 11.6 decided the first: it is
# mapped to `Mac.crysl`'s `u4` here and stays erased in the api30 map, which is the record
# of a different catalogue. The two `SecureRandomSpec` rows are undecided and stay erased;
# reopening either widens the language G-ORDER compares and needs a decision of its own.
#
# The two declared G-ORDER skips are unchanged and stay prose, never a data row:
# `RandomStringPassword` and `IvChainJunction`. The expert catalogue enunciates no rule for
# either -- there is no `RandomStringPassword.crysl` and no `IvChainJunction.crysl` among
# the 49 -- so the reason the api30 map gives for each holds verbatim against the sole
# oracle: the first bridges two JDK conversions no rule of the catalogue orders, and the
# second states no ordering of its own and would compare a free star against Cipher's.
spec,mop_event,order_symbol,symbol_kind,rule,rule_line,disposition,reason
AlgorithmParameterGeneratorSpec,get,Get,aggregate,AlgorithmParameterGenerator.crysl,13,mapped,"one event over `getInstance(String)` and `getInstance(String, String)`, the rule's `Get := g1 | g2` whole"
AlgorithmParameterGeneratorSpec,initSize,i1,event,AlgorithmParameterGenerator.crysl,15,mapped,"`init(size)`. The two size overloads are events apart and not one fused event, because only the two-argument one binds the `random` the rule's REQUIRES names, and a fused event beside a random-binding one would put two letters where the ORDER has one Init"
AlgorithmParameterGeneratorSpec,initSizeRandom,i2,event,AlgorithmParameterGenerator.crysl,16,mapped,"`init(size, random)`, the only event of the file that binds the SecureRandom `randomized[random]` names"
AlgorithmParameterGeneratorSpec,initSpec,i3,event,AlgorithmParameterGenerator.crysl,17,mapped,"`init(genParamSpec)`. No clause of the rule names its argument, so the event has an empty body; it exists because an Init alternative with no event leaves the rule accepting a sequence the specification rejects, which G-ORDER measured on this file"
AlgorithmParameterGeneratorSpec,initSpecRandom,i4,event,AlgorithmParameterGenerator.crysl,18,mapped,"`init(genParamSpec, random)`, the second site of `randomized[random]`"
AlgorithmParameterGeneratorSpec,gen,gp1,event,AlgorithmParameterGenerator.crysl,21,mapped,"`algParams = generateParameters()`, the whole of `GenParam`"
AlgorithmParametersSpec,get,Get,aggregate,AlgorithmParameters.crysl,13,mapped,"one event over `getInstance(String)` and `getInstance(String, String)`, which is the rule's `Get := g1 | g2` whole"
AlgorithmParametersSpec,init,Init,aggregate,AlgorithmParameters.crysl,18,mapped,"one event over `init(AlgorithmParameterSpec)`, `init(byte[])` and `init(byte[], String)`, which is the rule's `Init := i1 | i2 | i3` whole; the body discriminates by runtime type, which is what separates the rule's `paramSpec` from its `params`"
AlgorithmParametersSpec,encoded,GetEncoded,aggregate,AlgorithmParameters.crysl,22,mapped,"one event over `getEncoded()` and `getEncoded(String)`, which is the rule's `GetEncoded := e1 | e2` whole; no clause names the format the second overload takes"
CertificateFactorySpec,get,Get,aggregate,CertificateFactory.crysl,11,mapped,"one event over the three `getInstance` overloads api30 declares, which is the rule's `Get := g1 | g2` whole"
CertificateFactorySpec,genCert,gc1,event,CertificateFactory.crysl,13,mapped,"`generateCertificate(inStream)`, the whole of `GenCert`"
CertificateFactorySpec,genCertPath,gen1,event,CertificateFactory.crysl,16,mapped,"the rule's `generateCertPath(_)`, whose anonymous argument api30 spells in two ways -- over an `InputStream` and over a `List` -- so one event covers both"
CertificateFactorySpec,genCertPathEncoded,gen2,event,CertificateFactory.crysl,17,mapped,"`generateCertPath(inStream, encoding)`, the only overload whose second argument a CONSTRAINTS clause names, which is why it is an event of its own"
CertificateFactorySpec,genCrl,gcrl1,event,CertificateFactory.crysl,20,mapped,"`generateCRL(inStream)`, the whole of `GenCRL`"
DigestInputStreamSpec,c1,c1,event,DigestInputStream.crysl,14,mapped,"`DigestInputStream(stream, digest)`, the whole of `Con`"
DigestInputStreamSpec,r1,r1,event,DigestInputStream.crysl,17,mapped,`read()`
DigestInputStreamSpec,r2,r2,event,DigestInputStream.crysl,18,mapped,"`read(data, offset, len)`"
DigestInputStreamSpec,cl1,cl1,event,DigestInputStream.crysl,21,mapped,"`close()`, which the class inherits from `java.io.FilterInputStream` and the pointcut names on the subtype; javac emits the call site's static receiver type as the invoke owner, so the association is with the call the rule means"
DigestInputStreamSpec,on,,,DigestInputStream.crysl,,order-unmapped,"the FORBIDDEN accuser (`DigestInputStream.crysl:11`). A FORBIDDEN clause states that a call must not happen, not where it happens, so the event has no ORDER counterpart at all; it accuses in its body and self-loops at every state, which is the disposition `SSLContextSpec.getDefault` and `PBEKeySpecSpec.f1`/`f2` already carry"
DigestOutputStreamSpec,c1,c1,event,DigestOutputStream.crysl,15,mapped,"`DigestOutputStream(stream, digest)`, the whole of `Con`"
DigestOutputStreamSpec,w1,r1,event,DigestOutputStream.crysl,18,mapped,"`write(specifiedByte)`; the rule numbers the two `Write` alternatives `r1` and `r2`, which is a copy-paste of its input-stream sibling and not a claim about reading"
DigestOutputStreamSpec,w2,r2,event,DigestOutputStream.crysl,19,mapped,"`write(data, offset, len)`"
DigestOutputStreamSpec,cl1,cl1,event,DigestOutputStream.crysl,22,mapped,"`close()`, inherited from `java.io.FilterOutputStream` and named on the subtype; see the input-stream twin for the measurement"
DigestOutputStreamSpec,on,,,DigestOutputStream.crysl,,order-unmapped,"the FORBIDDEN accuser (`DigestOutputStream.crysl:12`), same disposition as its input-stream twin"
IvParameterSpec,c1,c1,event,IvParameterSpec.crysl,9,mapped,
IvParameterSpec,c2,c2,event,IvParameterSpec.crysl,10,mapped,
KeyFactorySpec,get,Get,aggregate,KeyFactory.crysl,12,mapped,"one event over the three `getInstance` overloads api30 declares, which is the rule's `Get := g1 | g2` whole"
KeyFactorySpec,genPrivate,gpr1,event,KeyFactory.crysl,14,mapped,"`privateKey = generatePrivate(keySpec)`, the whole of `GenPriv`"
KeyFactorySpec,genPublic,gpu1,event,KeyFactory.crysl,17,mapped,"`publicKey = generatePublic(keySpec)`, the whole of `GenPubl`"
KeyPairGeneratorSpec,g1,g1,event,KeyPairGenerator.crysl,10,mapped,
