section,consumer,predicate,arity,negated,guarded,kind,expert_disposition,api30_disposition,expert_line,api30_line,note
ENSURES,AlgorithmParameterGenerator,preparedAlg,2,no,no,expert-only,producible,-,AlgorithmParameterGenerator.crysl:35,-,the api30 rule does not declare the clause
ENSURES,CertPathTrustManagerParameters,generatedManagerFactoryParameters,1,no,no,changed,producible,unread,CertPathTrustManagerParameters.crysl:17,CertPathTrustManagerParameters.cryptsl:25,disposition unread -> producible
ENSURES,CertificateFactory,generatedCert,1,no,no,expert-only,unread,-,CertificateFactory.crysl:31,-,the api30 rule does not declare the clause
ENSURES,Cipher,generatedCipher,1,no,no,expert-only,producible,-,Cipher.crysl:144,-,the api30 rule does not declare the clause
ENSURES,Cipher,wrappedKey,2,no,no,expert-only,unread,-,Cipher.crysl:148,-,the api30 rule does not declare the clause
ENSURES,Cookie,generatedCookie,1,no,no,expert-only,unmonitored-producer-side,-,Cookie.crysl:22,-,the api30 rule does not declare the clause
ENSURES,DHParameterSpec,preparedDH,1,no,no,expert-only,producible,-,DHParameterSpec.crysl:21,-,the api30 rule does not declare the clause
ENSURES,DSAParameterSpec,preparedDSA,1,no,no,expert-only,producible,-,DSAParameterSpec.crysl:20,-,the api30 rule does not declare the clause
ENSURES,ECGenParameterSpec,preparedEC,1,no,no,expert-only,producible,-,ECGenParameterSpec.crysl:25,-,the api30 rule does not declare the clause
ENSURES,ECParameterSpec,preparedEC,1,no,no,expert-only,producible,-,ECParameterSpec.crysl:17,-,the api30 rule does not declare the clause
ENSURES,KeyAgreement,preparedKeyMaterial,1,no,no,expert-only,producible,-,KeyAgreement.crysl:51,-,the api30 rule does not declare the clause
ENSURES,KeyFactory,generatedKeyFactory,2,no,no,expert-only,unread,-,KeyFactory.crysl:30,-,the api30 rule does not declare the clause
ENSURES,KeyFactory,generatedPrivkey,1,no,no,expert-only,producible,-,KeyFactory.crysl:31,-,the api30 rule does not declare the clause
ENSURES,KeyFactory,generatedPubkey,1,no,no,expert-only,producible,-,KeyFactory.crysl:32,-,the api30 rule does not declare the clause
ENSURES,KeyStoreBuilderParameters,generatedManagerFactoryParameters,1,no,no,changed,producible,unread,KeyStoreBuilderParameters.crysl:14,KeyStoreBuilderParameters.cryptsl:21,disposition unread -> producible
ENSURES,MGF1ParameterSpec,preparedMGF1,2,no,no,expert-only,producible,-,MGF1ParameterSpec.crysl:17,-,the api30 rule does not declare the clause
