apk,measure,dex,caller,target,event,detail
app.pachli_50.apk,keystore,classes23.dex,org.conscrypt.KeyManagerImpl.<init>:(Ljava/security/KeyStore;[C)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
app.pachli_50.apk,keystore,classes23.dex,org.unifiedpush.android.connector.keys.WebPushKeysEntries23.getSecretKey:()Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
app.pachli_50.apk,keystore,classes23.dex,org.unifiedpush.android.connector.keys.WebPushKeysEntries23.hasWebPushKeys:()Z,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
ch.rmy.android.http_shortcuts_1104060001.apk,keystore,classes31.dex,org.conscrypt.KeyManagerImpl.<init>:(Ljava/security/KeyStore;[C)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.afkanerd.deku_83.apk,keystore,classes2.dex,com.afkanerd.smswithoutborders.libsignal_doubleratchet.extensions.ContextKt.getKeypairFromKeystore:(Landroid/content/Context;Ljava/lang/String;)Ljava/security/KeyPair;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.afkanerd.deku_83.apk,keystore,classes2.dex,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography.decryptWithKeyStore:([BLjava/lang/String;)[B,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.afkanerd.deku_83.apk,keystore,classes2.dex,com.afkanerd.smswithoutborders_libsmsmms.data.Cryptography.encryptWithKeyStore:(Landroid/content/Context;[BLjava/lang/String;)[B,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.afkanerd.deku_83.apk,keystore,classes2.dex,org.conscrypt.KeyManagerImpl.<init>:(Ljava/security/KeyStore;[C)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.arslan.shizuwall_40.apk,keystore,classes15.dex,org.conscrypt.KeyManagerImpl.<init>:(Ljava/security/KeyStore;[C)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.craxiom.networksurvey_114.apk,keystore,classes8.dex,com.craxiom.networksurvey.util.CryptoManager.getOrCreateKey:()Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.craxiom.networksurvey_114.apk,keystore,classes8.dex,com.craxiom.networksurvey.util.NsAnalyticsCryptoManager.getOrCreateKey:()Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.darkrockstudios.app.securecamera_31.apk,keystore,classes8.dex,com.darkrockstudios.app.securecamera.security.schemes.HardwareBackedEncryptionScheme.getHardwareEncryptionKey:(Ljava/lang/String;)Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.defname.localshare_14.apk,keystore,classes16.dex,io.netty.handler.ssl.util.KeytoolSelfSignedCertGenerator.generate:(Lio/netty/handler/ssl/util/SelfSignedCertificate$Builder;)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.etesync.syncadapter_20700.apk,keystore,classes.dex,org.conscrypt.KeyManagerImpl.<init>:(Ljava/security/KeyStore;[C)V,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.ivanovsky.passnotes_11700.apk,keystore,classes12.dex,com.ivanovsky.passnotes.data.crypto.keyprovider.FileSecretKeyProvider.obtainSecretKeyFromKeyStore:(Ljava/security/KeyStore;)Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.ivanovsky.passnotes_11700.apk,keystore,classes12.dex,com.ivanovsky.passnotes.data.crypto.keyprovider.FileSecretKeyProvider.saveKey:(Ljavax/crypto/SecretKey;)Z,Ljava/security/KeyStore;.setEntry:(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V,KeyStoreSpec_se1Event,woven-inline
com.ivanovsky.passnotes_11700.apk,keystore,classes12.dex,com.ivanovsky.passnotes.data.crypto.keyprovider.KeyStoreSecretKeyProvider.obtainSecretKeyFromKeyStore:(Ljava/security/KeyStore;)Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
com.leekleak.trafficlight_38.apk,keystore,classes6.dex,com.leekleak.trafficlight.database.CryptoManager.getSecretKey:(Ljava/lang/String;)Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
eu.faircode.email_2322.apk,keystore,classes22.dex,org.bouncycastle.jsse.provider.ProvX509KeyManager.loadPrivateKeyEntry:(Ljava/lang/String;)Ljava/security/KeyStore$PrivateKeyEntry;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
me.diamondforge.tokn_19.apk,keystore,classes14.dex,me.diamondforge.tokn.security.KeystoreManager.getOrCreateKey:()Ljavax/crypto/SecretKey;,Ljava/security/KeyStore;.getEntry:(Ljava/lang/String;Ljava/security/KeyStore$ProtectionParameter;)Ljava/security/KeyStore$Entry;,KeyStoreSpec_ge1Event,woven-inline
org.fedorahosted.freeotp_48.apk,keystore,classes3.dex,org.fedorahosted.freeotp.TokenPersistence.provision:(Ljava/lang/String;)Z,Ljava/security/KeyStore;.setEntry:(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V,KeyStoreSpec_se1Event,woven-inline
org.fedorahosted.freeotp_48.apk,keystore,classes3.dex,org.fedorahosted.freeotp.TokenPersistence.restore:(Ljava/lang/String;)Ljava/util/List;,Ljava/security/KeyStore;.setEntry:(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V,KeyStoreSpec_se1Event,woven-inline
org.fedorahosted.freeotp_48.apk,keystore,classes7.dex,org.fedorahosted.freeotp.main.Adapter.add:(Ljavax/crypto/SecretKey;Lorg/fedorahosted/freeotp/Token;ZLjava/lang/String;)I,Ljava/security/KeyStore;.setEntry:(Ljava/lang/String;Ljava/security/KeyStore$Entry;Ljava/security/KeyStore$ProtectionParameter;)V,KeyStoreSpec_se1Event,woven-inline
