admissibilidade (colunas, nao filtro): {'admissivel': 15653, 'inadmissivel': 22, 'estrutural': 171, 'parada_ferramenta': 246, 'lancamento_externo': 45}
unidades (apk, timeout) pareadas: 489 | timeouts: [60, 180, 300] | tasks: 16137 | tools: ['monkey', 'droidbot:dfs_greedy', 'droidbot:bfs_greedy', 'droidbot:dfs_naive', 'droidbot:bfs_naive', 'ape', 'droidmate', 'humanoid', 'ares', 'fastbot', 'qtesting']
CSVs em: /pedro/desenvolvimento/workspaces/workspaces-doutorado/workspace-rv/rvsec/rv-android/data/results/estudo02-20260916_consolidado

   T A                      B                      metric        medA    medB  A>B  A<B        p sig
  60 monkey                 droidbot:dfs_greedy    cov_mop     11.139   9.132  102   38      0.0 sim
  60 monkey                 droidbot:dfs_greedy    mop_unique       0       0   22   10   0.0167 sim
  60 monkey                 droidbot:dfs_greedy    mop_unique4       0       0   21    9  0.01885 sim
  60 monkey                 droidbot:dfs_greedy    cov_method  14.385  12.654  119   42      0.0 sim
  60 monkey                 droidbot:dfs_greedy    mop_total        0       0   23   12  0.05255 nao
  60 monkey                 droidbot:bfs_greedy    cov_mop     11.139   9.086  110   30      0.0 sim
  60 monkey                 droidbot:bfs_greedy    mop_unique       0       0   22   10  0.01004 sim
  60 monkey                 droidbot:bfs_greedy    mop_unique4       0       0   21    9  0.01964 sim
  60 monkey                 droidbot:bfs_greedy    cov_method  14.385  11.957  124   38      0.0 sim
  60 monkey                 droidbot:bfs_greedy    mop_total        0       0   23   12  0.03533 sim
  60 monkey                 droidbot:dfs_naive     cov_mop     11.139   8.927  110   30      0.0 sim
  60 monkey                 droidbot:dfs_naive     mop_unique       0       0   27    8  0.00105 sim
  60 monkey                 droidbot:dfs_naive     mop_unique4       0       0   24    8  0.00979 sim
  60 monkey                 droidbot:dfs_naive     cov_method  14.385  12.188  123   39      0.0 sim
  60 monkey                 droidbot:dfs_naive     mop_total        0       0   27    9  0.00426 sim
  60 monkey                 droidbot:bfs_naive     cov_mop     11.139   8.322  111   29      0.0 sim
  60 monkey                 droidbot:bfs_naive     mop_unique       0       0   23    9   0.0038 sim
  60 monkey                 droidbot:bfs_naive     mop_unique4       0       0   22    8  0.00881 sim
  60 monkey                 droidbot:bfs_naive     cov_method  14.385  11.581  125   36      0.0 sim
  60 monkey                 droidbot:bfs_naive     mop_total        0       0   24   12  0.01292 sim
  60 monkey                 ape                    cov_mop     11.139  13.931   36  101      0.0 sim
  60 monkey                 ape                    mop_unique       0       0   13   19  0.04336 sim
  60 monkey                 ape                    mop_unique4       0       0   12   19  0.02578 sim
  60 monkey                 ape                    cov_method  14.385  16.824   35  126      0.0 sim
  60 monkey                 ape                    mop_total        0       0    9   44      0.0 sim
  60 monkey                 droidmate              cov_mop     11.139  10.904   73   66  0.35056 nao
  60 monkey                 droidmate              mop_unique       0       0   17   16  0.40396 nao
  60 monkey                 droidmate              mop_unique4       0       0   15   16   0.5363 nao
  60 monkey                 droidmate              cov_method  14.385   14.59   89   72  0.08438 nao
  60 monkey                 droidmate              mop_total        0       0   17   18  0.34869 nao
  60 monkey                 humanoid               cov_mop     11.139   9.146   94   47      0.0 sim
  60 monkey                 humanoid               mop_unique       0       0   19   10  0.06666 nao
  60 monkey                 humanoid               mop_unique4       0       0   19    9  0.14088 nao
  60 monkey                 humanoid               cov_method  14.385  13.448  108   54      0.0 sim
  60 monkey                 humanoid               mop_total        0       0   20   12  0.19592 nao
  60 monkey                 ares                   cov_mop     11.139   8.512  119   20      0.0 sim
  60 monkey                 ares                   mop_unique       0       0   22   11  0.00827 sim
  60 monkey                 ares                   mop_unique4       0       0   21   11  0.01973 sim
  60 monkey                 ares                   cov_method  14.385  11.561  136   26      0.0 sim
  60 monkey                 ares                   mop_total        0       0   17   46    4e-05 sim
  60 monkey                 fastbot                cov_mop     11.139  11.458   63   80  0.05582 nao
  60 monkey                 fastbot                mop_unique       0       0   15   17  0.27674 nao
  60 monkey                 fastbot                mop_unique4       0       0   14   17  0.33132 nao
  60 monkey                 fastbot                cov_method  14.385  14.543   63   96  0.00566 sim
  60 monkey                 fastbot                mop_total        0       0   15   26  0.01801 sim
  60 monkey                 qtesting               cov_mop     11.139   8.655   84   54    2e-05 sim
  60 monkey                 qtesting               mop_unique       0       0   19   12  0.12842 nao
  60 monkey                 qtesting               mop_unique4       0       0   18   13  0.10567 nao
  60 monkey                 qtesting               cov_method  14.385  12.158   97   65    1e-05 sim
  60 monkey                 qtesting               mop_total        0       0   17   44  0.00017 sim
  60 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_mop      9.132   9.086   77   45  0.00363 sim
  60 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique       0       0    6    7  0.39864 nao
  60 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_unique4       0       0    5    6  0.68821 nao
  60 droidbot:dfs_greedy    droidbot:bfs_greedy    cov_method  12.654  11.957  100   60    6e-05 sim
  60 droidbot:dfs_greedy    droidbot:bfs_greedy    mop_total        0       0    8    9  0.83105 nao
  60 droidbot:dfs_greedy    droidbot:dfs_naive     cov_mop      9.132   8.927   80   46  0.00227 sim
  60 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique       0       0   12    5  0.20769 nao
  60 droidbot:dfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   10    5  0.58912 nao
  60 droidbot:dfs_greedy    droidbot:dfs_naive     cov_method  12.654  12.188  106   52    1e-05 sim
  60 droidbot:dfs_greedy    droidbot:dfs_naive     mop_total        0       0   12    7  0.34308 nao
  60 droidbot:dfs_greedy    droidbot:bfs_naive     cov_mop      9.132   8.322   85   37   0.0001 sim
  60 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique       0       0    9    3  0.04257 sim
  60 droidbot:dfs_greedy    droidbot:bfs_naive     mop_unique4       0       0    8    2  0.23867 nao
  60 droidbot:dfs_greedy    droidbot:bfs_naive     cov_method  12.654  11.581  113   47      0.0 sim
  60 droidbot:dfs_greedy    droidbot:bfs_naive     mop_total        0       0   11    6  0.14559 nao
  60 droidbot:dfs_greedy    ape                    cov_mop      9.132  13.931   19  120      0.0 sim
  60 droidbot:dfs_greedy    ape                    mop_unique       0       0    9   26  0.00094 sim
  60 droidbot:dfs_greedy    ape                    mop_unique4       0       0    7   26  0.00036 sim
  60 droidbot:dfs_greedy    ape                    cov_method  12.654  16.824   18  144      0.0 sim
  60 droidbot:dfs_greedy    ape                    mop_total        0       0    3   52      0.0 sim
  60 droidbot:dfs_greedy    droidmate              cov_mop      9.132  10.904   42   88    1e-05 sim
  60 droidbot:dfs_greedy    droidmate              mop_unique       0       0    6   16    0.006 sim
  60 droidbot:dfs_greedy    droidmate              mop_unique4       0       0    5   16  0.01418 sim
  60 droidbot:dfs_greedy    droidmate              cov_method  12.654   14.59   67   94   0.0018 sim
  60 droidbot:dfs_greedy    droidmate              mop_total        0       0    7   17  0.02864 sim
  60 droidbot:dfs_greedy    humanoid               cov_mop      9.132   9.146   53   78  0.17751 nao
  60 droidbot:dfs_greedy    humanoid               mop_unique       0       0    6   11   0.0634 nao
  60 droidbot:dfs_greedy    humanoid               mop_unique4       0       0    5   10  0.07793 nao
  60 droidbot:dfs_greedy    humanoid               cov_method  12.654  13.448   67   95  0.15592 nao
  60 droidbot:dfs_greedy    humanoid               mop_total        0       0    9   12  0.24284 nao
  60 droidbot:dfs_greedy    ares                   cov_mop      9.132   8.512   94   41    7e-05 sim
  60 droidbot:dfs_greedy    ares                   mop_unique       0       0   10    9  0.32215 nao
  60 droidbot:dfs_greedy    ares                   mop_unique4       0       0    8    9  0.75792 nao
  60 droidbot:dfs_greedy    ares                   cov_method  12.654  11.561  118   42      0.0 sim
  60 droidbot:dfs_greedy    ares                   mop_total        0       0    6   49      0.0 sim
  60 droidbot:dfs_greedy    fastbot                cov_mop      9.132  11.458   41  100      0.0 sim
  60 droidbot:dfs_greedy    fastbot                mop_unique       0       0    5   21   0.0001 sim
  60 droidbot:dfs_greedy    fastbot                mop_unique4       0       0    4   21  0.00022 sim
  60 droidbot:dfs_greedy    fastbot                cov_method  12.654  14.543   43  118      0.0 sim
  60 droidbot:dfs_greedy    fastbot                mop_total        0       0    6   32    1e-05 sim
  60 droidbot:dfs_greedy    qtesting               cov_mop      9.132   8.655   55   77  0.47855 nao
  60 droidbot:dfs_greedy    qtesting               mop_unique       0       0    9   14  0.76064 nao
  60 droidbot:dfs_greedy    qtesting               mop_unique4       0       0    8   14  0.72086 nao
  60 droidbot:dfs_greedy    qtesting               cov_method  12.654  12.158   63   97  0.22578 nao
  60 droidbot:dfs_greedy    qtesting               mop_total        0       0    8   45    1e-05 sim
  60 droidbot:bfs_greedy    droidbot:dfs_naive     cov_mop      9.086   8.927   64   57  0.78693 nao
  60 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique       0       0   11    5  0.39236 nao
  60 droidbot:bfs_greedy    droidbot:dfs_naive     mop_unique4       0       0   10    5  0.66969 nao
  60 droidbot:bfs_greedy    droidbot:dfs_naive     cov_method  11.957  12.188   86   73  0.58802 nao
  60 droidbot:bfs_greedy    droidbot:dfs_naive     mop_total        0       0   14    6  0.28671 nao
  60 droidbot:bfs_greedy    droidbot:bfs_naive     cov_mop      9.086   8.322   67   52  0.15139 nao
  60 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique       0       0    9    2  0.15056 nao
  60 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique4       0       0    9    2  0.18058 nao
  60 droidbot:bfs_greedy    droidbot:bfs_naive     cov_method  11.957  11.581   88   62  0.09891 nao
  60 droidbot:bfs_greedy    droidbot:bfs_naive     mop_total        0       0   11    4  0.22756 nao
  60 droidbot:bfs_greedy    ape                    cov_mop      9.086  13.931   17  122      0.0 sim
  60 droidbot:bfs_greedy    ape                    mop_unique       0       0    6   24  0.00038 sim
  60 droidbot:bfs_greedy    ape                    mop_unique4       0       0    5   24   0.0004 sim
  60 droidbot:bfs_greedy    ape                    cov_method  11.957  16.824   13  147      0.0 sim
  60 droidbot:bfs_greedy    ape                    mop_total        0       0    4   49      0.0 sim
  60 droidbot:bfs_greedy    droidmate              cov_mop      9.086  10.904   41   91      0.0 sim
  60 droidbot:bfs_greedy    droidmate              mop_unique       0       0    6   15  0.00501 sim
  60 droidbot:bfs_greedy    droidmate              mop_unique4       0       0    5   15  0.01218 sim
  60 droidbot:bfs_greedy    droidmate              cov_method  11.957   14.59   58  101      0.0 sim
  60 droidbot:bfs_greedy    droidmate              mop_total        0       0    7   17  0.03801 sim
  60 droidbot:bfs_greedy    humanoid               cov_mop      9.086   9.146   48   82  0.00089 sim
  60 droidbot:bfs_greedy    humanoid               mop_unique       0       0    6   11  0.01267 sim
  60 droidbot:bfs_greedy    humanoid               mop_unique4       0       0    5   10   0.1053 nao
  60 droidbot:bfs_greedy    humanoid               cov_method  11.957  13.448   53  104      0.0 sim
  60 droidbot:bfs_greedy    humanoid               mop_total        0       0    9   14  0.06974 nao
  60 droidbot:bfs_greedy    ares                   cov_mop      9.086   8.512   80   49  0.00637 sim
  60 droidbot:bfs_greedy    ares                   mop_unique       0       0   10    9  0.64046 nao
  60 droidbot:bfs_greedy    ares                   mop_unique4       0       0    8    9  0.70451 nao
  60 droidbot:bfs_greedy    ares                   cov_method  11.957  11.561  101   59  0.00219 sim
  60 droidbot:bfs_greedy    ares                   mop_total        0       0    8   49      0.0 sim
  60 droidbot:bfs_greedy    fastbot                cov_mop      9.086  11.458   27  110      0.0 sim
  60 droidbot:bfs_greedy    fastbot                mop_unique       0       0    7   21  0.00031 sim
  60 droidbot:bfs_greedy    fastbot                mop_unique4       0       0    6   21   0.0009 sim
  60 droidbot:bfs_greedy    fastbot                cov_method  11.957  14.543   29  129      0.0 sim
  60 droidbot:bfs_greedy    fastbot                mop_total        0       0    8   31    7e-05 sim
  60 droidbot:bfs_greedy    qtesting               cov_mop      9.086   8.655   45   89  0.02237 sim
  60 droidbot:bfs_greedy    qtesting               mop_unique       0       0    8   14  0.51519 nao
  60 droidbot:bfs_greedy    qtesting               mop_unique4       0       0    7   14  0.67638 nao
  60 droidbot:bfs_greedy    qtesting               cov_method  11.957  12.158   47  110  0.00031 sim
  60 droidbot:bfs_greedy    qtesting               mop_total        0       0    8   48      0.0 sim
  60 droidbot:dfs_naive     droidbot:bfs_naive     cov_mop      8.927   8.322   60   58   0.2326 nao
  60 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique       0       0    5    9  0.94988 nao
  60 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique4       0       0    5    7  0.66553 nao
  60 droidbot:dfs_naive     droidbot:bfs_naive     cov_method  12.188  11.581   77   72  0.14166 nao
  60 droidbot:dfs_naive     droidbot:bfs_naive     mop_total        0       0    6   12  0.82732 nao
  60 droidbot:dfs_naive     ape                    cov_mop      8.927  13.931   17  122      0.0 sim
  60 droidbot:dfs_naive     ape                    mop_unique       0       0    5   28    1e-05 sim
  60 droidbot:dfs_naive     ape                    mop_unique4       0       0    5   27    3e-05 sim
  60 droidbot:dfs_naive     ape                    cov_method  12.188  16.824   16  146      0.0 sim
  60 droidbot:dfs_naive     ape                    mop_total        0       0    0   55      0.0 sim
  60 droidbot:dfs_naive     droidmate              cov_mop      8.927  10.904   45   86      0.0 sim
  60 droidbot:dfs_naive     droidmate              mop_unique       0       0    7   20  0.00233 sim
  60 droidbot:dfs_naive     droidmate              mop_unique4       0       0    6   20     0.02 sim
  60 droidbot:dfs_naive     droidmate              cov_method  12.188   14.59   62  100    3e-05 sim
  60 droidbot:dfs_naive     droidmate              mop_total        0       0    8   21  0.01445 sim
  60 droidbot:dfs_naive     humanoid               cov_mop      8.927   9.146   49   86  0.00709 sim
  60 droidbot:dfs_naive     humanoid               mop_unique       0       0    6   16  0.00729 sim
  60 droidbot:dfs_naive     humanoid               mop_unique4       0       0    6   14  0.06166 nao
  60 droidbot:dfs_naive     humanoid               cov_method  12.188  13.448   56  106    9e-05 sim
  60 droidbot:dfs_naive     humanoid               mop_total        0       0    8   18  0.04056 sim
  60 droidbot:dfs_naive     ares                   cov_mop      8.927   8.512   77   57  0.10427 nao
  60 droidbot:dfs_naive     ares                   mop_unique       0       0   10   12  0.79467 nao
  60 droidbot:dfs_naive     ares                   mop_unique4       0       0    9   12   0.9584 nao
  60 droidbot:dfs_naive     ares                   cov_method  12.188  11.561   96   62  0.06486 nao
  60 droidbot:dfs_naive     ares                   mop_total        0       0    6   46      0.0 sim
  60 droidbot:dfs_naive     fastbot                cov_mop      8.927  11.458   24  113      0.0 sim
  60 droidbot:dfs_naive     fastbot                mop_unique       0       0    4   28    1e-05 sim
  60 droidbot:dfs_naive     fastbot                mop_unique4       0       0    3   27    5e-05 sim
  60 droidbot:dfs_naive     fastbot                cov_method  12.188  14.543   30  132      0.0 sim
  60 droidbot:dfs_naive     fastbot                mop_total        0       0    5   37      0.0 sim
  60 droidbot:dfs_naive     qtesting               cov_mop      8.927   8.655   42   93  0.01307 sim
  60 droidbot:dfs_naive     qtesting               mop_unique       0       0    7   18  0.25219 nao
  60 droidbot:dfs_naive     qtesting               mop_unique4       0       0    6   18  0.32398 nao
  60 droidbot:dfs_naive     qtesting               cov_method  12.188  12.158   49  112  0.00048 sim
  60 droidbot:dfs_naive     qtesting               mop_total        0       0    7   47      0.0 sim
  60 droidbot:bfs_naive     ape                    cov_mop      8.322  13.931   15  126      0.0 sim
  60 droidbot:bfs_naive     ape                    mop_unique       0       0    7   27  0.00011 sim
  60 droidbot:bfs_naive     ape                    mop_unique4       0       0    6   27   0.0001 sim
  60 droidbot:bfs_naive     ape                    cov_method  11.581  16.824   15  147      0.0 sim
  60 droidbot:bfs_naive     ape                    mop_total        0       0    2   53      0.0 sim
  60 droidbot:bfs_naive     droidmate              cov_mop      8.322  10.904   43   88      0.0 sim
  60 droidbot:bfs_naive     droidmate              mop_unique       0       0    6   18   0.0029 sim
  60 droidbot:bfs_naive     droidmate              mop_unique4       0       0    5   18   0.0096 sim
  60 droidbot:bfs_naive     droidmate              cov_method  11.581   14.59   57  102      0.0 sim
  60 droidbot:bfs_naive     droidmate              mop_total        0       0    9   20  0.01877 sim
  60 droidbot:bfs_naive     humanoid               cov_mop      8.322   9.146   45   90    9e-05 sim
  60 droidbot:bfs_naive     humanoid               mop_unique       0       0    6   15  0.00356 sim
  60 droidbot:bfs_naive     humanoid               mop_unique4       0       0    5   14  0.02954 sim
  60 droidbot:bfs_naive     humanoid               cov_method  11.581  13.448   47  113      0.0 sim
  60 droidbot:bfs_naive     humanoid               mop_total        0       0   10   17   0.0256 sim
  60 droidbot:bfs_naive     ares                   cov_mop      8.322   8.512   71   60  0.33809 nao
  60 droidbot:bfs_naive     ares                   mop_unique       0       0    8   11   0.7155 nao
  60 droidbot:bfs_naive     ares                   mop_unique4       0       0    6   11  0.65242 nao
  60 droidbot:bfs_naive     ares                   cov_method  11.581  11.561   87   74  0.32056 nao
  60 droidbot:bfs_naive     ares                   mop_total        0       0    5   47      0.0 sim
  60 droidbot:bfs_naive     fastbot                cov_mop      8.322  11.458   22  117      0.0 sim
  60 droidbot:bfs_naive     fastbot                mop_unique       0       0    5   24    5e-05 sim
  60 droidbot:bfs_naive     fastbot                mop_unique4       0       0    4   24    6e-05 sim
  60 droidbot:bfs_naive     fastbot                cov_method  11.581  14.543   27  133      0.0 sim
  60 droidbot:bfs_naive     fastbot                mop_total        0       0    7   33    2e-05 sim
  60 droidbot:bfs_naive     qtesting               cov_mop      8.322   8.655   41   95  0.00274 sim
  60 droidbot:bfs_naive     qtesting               mop_unique       0       0    6   18  0.18742 nao
  60 droidbot:bfs_naive     qtesting               mop_unique4       0       0    5   18  0.21754 nao
  60 droidbot:bfs_naive     qtesting               cov_method  11.581  12.158   46  114    4e-05 sim
  60 droidbot:bfs_naive     qtesting               mop_total        0       0    5   48      0.0 sim
  60 ape                    droidmate              cov_mop     13.931  10.904  107   31      0.0 sim
  60 ape                    droidmate              mop_unique       0       0   18   12  0.54255 nao
  60 ape                    droidmate              mop_unique4       0       0   18   12  0.30316 nao
  60 ape                    droidmate              cov_method  16.824   14.59  130   31      0.0 sim
  60 ape                    droidmate              mop_total        0       0   42    8    1e-05 sim
  60 ape                    humanoid               cov_mop     13.931   9.146  125   14      0.0 sim
  60 ape                    humanoid               mop_unique       0       0   24   10  0.00299 sim
  60 ape                    humanoid               mop_unique4       0       0   24    8   0.0031 sim
  60 ape                    humanoid               cov_method  16.824  13.448  145   17      0.0 sim
  60 ape                    humanoid               mop_total        0       0   49    6      0.0 sim
  60 ape                    ares                   cov_mop     13.931   8.512  130   11      0.0 sim
  60 ape                    ares                   mop_unique       0       0   26    7   0.0001 sim
  60 ape                    ares                   mop_unique4       0       0   26    7  0.00047 sim
  60 ape                    ares                   cov_method  16.824  11.561  154    8      0.0 sim
  60 ape                    ares                   mop_total        0       0   36   29  0.44964 nao
  60 ape                    fastbot                cov_mop     13.931  11.458   90   52    7e-05 sim
  60 ape                    fastbot                mop_unique       0       0   19   19  0.60521 nao
  60 ape                    fastbot                mop_unique4       0       0   20   17  0.45466 nao
  60 ape                    fastbot                cov_method  16.824  14.543  101   59    3e-05 sim
  60 ape                    fastbot                mop_total        0       0   43   16    4e-05 sim
  60 ape                    qtesting               cov_mop     13.931   8.655  115   24      0.0 sim
  60 ape                    qtesting               mop_unique       0       0   23   13  0.00897 sim
  60 ape                    qtesting               mop_unique4       0       0   23   13  0.02459 sim
  60 ape                    qtesting               cov_method  16.824  12.158  138   22      0.0 sim
  60 ape                    qtesting               mop_total        0       0   33   32  0.50259 nao
  60 droidmate              humanoid               cov_mop     10.904   9.146   81   55  0.00078 sim
  60 droidmate              humanoid               mop_unique       0       0   16   10  0.06886 nao
  60 droidmate              humanoid               mop_unique4       0       0   16    9  0.12151 nao
  60 droidmate              humanoid               cov_method   14.59  13.448   87   74  0.01962 sim
  60 droidmate              humanoid               mop_total        0       0   18   11   0.1296 nao
  60 droidmate              ares                   cov_mop     10.904   8.512  100   34      0.0 sim
  60 droidmate              ares                   mop_unique       0       0   17    7  0.00598 sim
  60 droidmate              ares                   mop_unique4       0       0   17    7  0.03427 sim
  60 droidmate              ares                   cov_method   14.59  11.561  112   47      0.0 sim
  60 droidmate              ares                   mop_total        0       0   13   45  0.00027 sim
  60 droidmate              fastbot                cov_mop     10.904  11.458   60   80  0.03422 sim
  60 droidmate              fastbot                mop_unique       0       0   14   18  0.91784 nao
  60 droidmate              fastbot                mop_unique4       0       0   14   17  0.86764 nao
  60 droidmate              fastbot                cov_method   14.59  14.543   63   98  0.00041 sim
  60 droidmate              fastbot                mop_total        0       0   14   28  0.09108 nao
  60 droidmate              qtesting               cov_mop     10.904   8.655   78   54  0.00049 sim
  60 droidmate              qtesting               mop_unique       0       0   18   11  0.02722 sim
  60 droidmate              qtesting               mop_unique4       0       0   18   11  0.11401 nao
  60 droidmate              qtesting               cov_method   14.59  12.158   87   75  0.01459 sim
  60 droidmate              qtesting               mop_total        0       0   13   44  0.00027 sim
  60 humanoid               ares                   cov_mop      9.146   8.512   89   42    4e-05 sim
  60 humanoid               ares                   mop_unique       0       0   15    8  0.03389 sim
  60 humanoid               ares                   mop_unique4       0       0   13    8  0.09157 nao
  60 humanoid               ares                   cov_method  13.448  11.561  118   43      0.0 sim
  60 humanoid               ares                   mop_total        0       0    9   47    1e-05 sim
  60 humanoid               fastbot                cov_mop      9.146  11.458   42  100      0.0 sim
  60 humanoid               fastbot                mop_unique       0       0   10   22  0.00764 sim
  60 humanoid               fastbot                mop_unique4       0       0    8   22  0.01591 sim
  60 humanoid               fastbot                cov_method  13.448  14.543   43  119      0.0 sim
  60 humanoid               fastbot                mop_total        0       0   12   34  0.00048 sim
  60 humanoid               qtesting               cov_mop      9.146   8.655   62   69  0.99633 nao
  60 humanoid               qtesting               mop_unique       0       0   13   13  0.54169 nao
  60 humanoid               qtesting               mop_unique4       0       0   11   13  0.51083 nao
  60 humanoid               qtesting               cov_method  13.448  12.158   70   90  0.71034 nao
  60 humanoid               qtesting               mop_total        0       0   12   44    6e-05 sim
  60 ares                   fastbot                cov_mop      8.512  11.458   20  121      0.0 sim
  60 ares                   fastbot                mop_unique       0       0    5   26   0.0001 sim
  60 ares                   fastbot                mop_unique4       0       0    5   25    8e-05 sim
  60 ares                   fastbot                cov_method  11.561  14.543   17  145      0.0 sim
  60 ares                   fastbot                mop_total        0       0   39   22  0.00259 sim
  60 ares                   qtesting               cov_mop      8.512   8.655   40   93  0.00665 sim
  60 ares                   qtesting               mop_unique       0       0    9   13   0.5693 nao
  60 ares                   qtesting               mop_unique4       0       0    9   12  0.82113 nao
  60 ares                   qtesting               cov_method  11.561  12.158   38  121    2e-05 sim
  60 ares                   qtesting               mop_total        0       0   16   36  0.00919 sim
  60 fastbot                qtesting               cov_mop     11.458   8.655   90   52      0.0 sim
  60 fastbot                qtesting               mop_unique       0       0   22   10   0.0104 sim
  60 fastbot                qtesting               mop_unique4       0       0   21   10  0.02462 sim
  60 fastbot                qtesting               cov_method  14.543  12.158  107   54      0.0 sim
  60 fastbot                qtesting               mop_total        0       0   19   40  0.00075 sim
 180 monkey                 droidbot:dfs_greedy    cov_mop     16.971  15.578  103   40      0.0 sim
 180 monkey                 droidbot:dfs_greedy    mop_unique       0       0   25   17  0.42651 nao
 180 monkey                 droidbot:dfs_greedy    mop_unique4       0       0   24   17  0.28183 nao
 180 monkey                 droidbot:dfs_greedy    cov_method  20.322  18.152  109   52      0.0 sim
 180 monkey                 droidbot:dfs_greedy    mop_total        0       0   35   23  0.80105 nao
 180 monkey                 droidbot:bfs_greedy    cov_mop     16.971  15.618   99   41      0.0 sim
 180 monkey                 droidbot:bfs_greedy    mop_unique       0       0   20   21  0.79522 nao
 180 monkey                 droidbot:bfs_greedy    mop_unique4       0       0   20   19  0.75329 nao
 180 monkey                 droidbot:bfs_greedy    cov_method  20.322  18.768  112   49      0.0 sim
 180 monkey                 droidbot:bfs_greedy    mop_total        0       0   31   24  0.71181 nao
 180 monkey                 droidbot:dfs_naive     cov_mop     16.971  14.103  111   30      0.0 sim
 180 monkey                 droidbot:dfs_naive     mop_unique       0       0   25   15  0.01456 sim
 180 monkey                 droidbot:dfs_naive     mop_unique4       0       0   26   11  0.00172 sim
